cluster_id,map_id,n_points,point_ids_in,pairwise_distances_m,decision,point_ids_kept,merged_subtype,merged_centroid_x,merged_centroid_y,timestamp
K-35-050-4_c03487,K-35-050-4,2,3487;3529,5.28,merge,,burial_mound,331060.8660,4702222.0897,2026-04-19T04:20:38.939265+00:00
K-35-050-4_c03496,K-35-050-4,2,3496;3497,59.00,keep_all,3496;3497,,,,2026-04-19T05:29:05.151431+00:00
K-35-050-4_c03517,K-35-050-4,2,3517;3518,64.94,keep_all,3517;3518,,,,2026-04-19T05:29:11.806839+00:00
K-35-050-4_c03556,K-35-050-4,2,3556;3558,56.10,keep_all,3556;3558,,,,2026-04-19T05:29:13.311307+00:00
K-35-050-4_c03653,K-35-050-4,2,3653;3723,19.31,merge,,burial_mound,318510.9358,4693888.3183,2026-04-19T04:23:25.592550+00:00
K-35-050-4_c03655,K-35-050-4,2,3655;3722,6.12,merge,,bench_mark_on_mound,318768.8056,4693922.9988,2026-04-19T04:23:42.946316+00:00
K-35-050-4_c03679,K-35-050-4,2,3679;3680,74.45,keep_all,3679;3680,,,,2026-04-19T05:29:14.295504+00:00
K-35-051-3_c03134,K-35-051-3,2,3134;3137,64.81,keep_all,3134;3137,,,,2026-04-19T05:29:15.085334+00:00
K-35-051-3_c03359,K-35-051-3,2,3359;3363,55.27,keep_all,3359;3363,,,,2026-04-19T05:29:15.880898+00:00
K-35-051-3_c03377,K-35-051-3,2,3377;3378,65.74,keep_all,3377;3378,,,,2026-04-19T05:29:16.706442+00:00
K-35-052-2_c03009,K-35-052-2,2,3009;3010,64.34,keep_all,3009;3010,,,,2026-04-19T05:29:17.511968+00:00
K-35-052-2_c03030,K-35-052-2,2,3030;3031,64.01,keep_all,3030;3031,,,,2026-04-19T05:29:18.392723+00:00
K-35-052-3_c03445,K-35-052-3,2,3445;3448,65.57,keep_all,3445;3448,,,,2026-04-19T05:29:19.278531+00:00
K-35-053-4_Boyadzhik_c00648,K-35-053-4_Boyadzhik,2,648;660,20.28,merge,,bench_mark_on_mound,452413.2279,4699162.3048,2026-04-19T04:24:51.178906+00:00
K-35-053-4_Boyadzhik_c00687,K-35-053-4_Boyadzhik,2,687;688,5.82,merge,,trig_point_on_mound,446343.6899,4696352.8701,2026-04-19T04:25:01.736474+00:00
K-35-053-4_Boyadzhik_c00779,K-35-053-4_Boyadzhik,2,779;780,74.09,keep_all,779;780,,,,2026-04-19T05:29:20.917808+00:00
K-35-054-2_Atolov_4326_c01159,K-35-054-2_Atolov_4326,2,1159;1219,16.72,merge,,burial_mound,487883.3709,4720959.6124,2026-04-19T04:25:09.561451+00:00
K-35-054-3_Yambol_c00336,K-35-054-3_Yambol,2,336;4687,57.16,keep_all,336;4687,,,,2026-04-19T05:29:22.902818+00:00
K-35-054-3_Yambol_c00436,K-35-054-3_Yambol,2,436;440,68.80,keep_all,436;440,,,,2026-04-19T05:29:23.785020+00:00
K-35-054-3_Yambol_c00499,K-35-054-3_Yambol,3,499;500;4706,58.37;68.43;114.67,keep_all,499;500;4706,,,,2026-04-19T05:29:24.737898+00:00
K-35-054-3_Yambol_c04748,K-35-054-3_Yambol,2,4748;4750,17.02,merge,,burial_mound,476733.2113,4691544.2146,2026-04-19T04:25:17.361776+00:00
K-35-054-3_Yambol_c04749,K-35-054-3_Yambol,2,4749;4751,4.20,merge,,burial_mound,477007.2313,4691413.8576,2026-04-19T04:25:20.279465+00:00
K-35-055-2_c02610,K-35-055-2,2,2610;2611,52.42,keep_all,2610;2611,,,,2026-04-19T05:29:25.796510+00:00
K-35-055-2_c02716,K-35-055-2,2,2716;2718,71.09,keep_all,2716;2718,,,,2026-04-19T05:29:26.628236+00:00
K-35-055-2_c02732,K-35-055-2,2,2732;2733,71.37,keep_all,2732;2733,,,,2026-04-19T05:29:27.548326+00:00
K-35-062-4_Asenovgrad_4326_c01669,K-35-062-4_Asenovgrad_4326,2,1669;1688,5.26,merge,,bench_mark_on_mound,327611.0591,4661900.4521,2026-04-19T04:25:35.835295+00:00
K-35-063-1_Granit_4326_c01828,K-35-063-1_Granit_4326,2,1828;1830,70.96,keep_all,1828;1830,,,,2026-04-19T05:29:28.376879+00:00
K-35-063-1_Granit_4326_c01932,K-35-063-1_Granit_4326,2,1932;1934,71.98,keep_all,1932;1934,,,,2026-04-19T05:29:29.097163+00:00
K-35-063-1_Granit_4326_c01990,K-35-063-1_Granit_4326,2,1990;1994,66.02,keep_all,1990;1994,,,,2026-04-19T05:29:33.252451+00:00
K-35-063-1_Granit_4326_c02042,K-35-063-1_Granit_4326,2,2042;2045,72.47,keep_all,2042;2045,,,,2026-04-19T05:29:34.333471+00:00
K-35-063-1_Granit_4326_c02293,K-35-063-1_Granit_4326,2,2293;2294,73.87,keep_all,2293;2294,,,,2026-04-19T05:29:35.238634+00:00
K-35-063-1_Granit_4326_c02458,K-35-063-1_Granit_4326,3,2458;2459;2462,88.90;72.00;60.53,keep_all,2458;2459;2462,,,,2026-04-19T05:29:38.091556+00:00
K-35-063-1_Granit_4326_c02486,K-35-063-1_Granit_4326,2,2486;2487,70.05,keep_all,2486;2487,,,,2026-04-19T05:29:38.921771+00:00
K-35-063-2_Chirpan_4326_c01756,K-35-063-2_Chirpan_4326,2,1756;1757,72.19,keep_all,1756;1757,,,,2026-04-19T05:29:39.856364+00:00
K-35-063-2_Chirpan_4326_c01810,K-35-063-2_Chirpan_4326,2,1810;1811,65.77,keep_all,1810;1811,,,,2026-04-19T05:29:40.923508+00:00
K-35-063-2_Chirpan_4326_c01841,K-35-063-2_Chirpan_4326,2,1841;1842,49.81,keep_all,1841;1842,,,,2026-04-19T04:25:45.703262+00:00
K-35-063-2_Chirpan_4326_c01849,K-35-063-2_Chirpan_4326,3,1849;1850;1852,51.60;118.94;68.03,keep_all,1849;1850;1852,,,,2026-04-19T05:29:42.250968+00:00
K-35-063-2_Chirpan_4326_c01910,K-35-063-2_Chirpan_4326,2,1910;1912,68.49,keep_all,1910;1912,,,,2026-04-19T05:29:43.075642+00:00
K-35-063-2_Chirpan_4326_c01942,K-35-063-2_Chirpan_4326,2,1942;1945,63.69,keep_all,1942;1945,,,,2026-04-19T05:29:44.060981+00:00
