label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
verified-adv-pro-text-pro-vf-3of5,5,0.1711,0.1353,0.2106,0.1925,0.1524,0.2363,0.154,0.1207,0.1918,0.7302,0.6757,0.7802,0.7031,0.9884,sparse_cross_grid,True,0.5749486652977412,487,zero_fraction_heuristic,
verified-adv-pro-text-pro-vf-3of5,10,0.5441,0.4938,0.5935,0.6121,0.5579,0.6635,0.4897,0.4361,0.5448,0.7302,0.6757,0.7802,0.7031,0.9884,sparse_cross_grid,True,0.5831622176591376,487,zero_fraction_heuristic,
verified-adv-pro-text-pro-vf-3of5,15,0.7637,0.7177,0.8057,0.8592,0.8175,0.8939,0.6874,0.6278,0.741,0.7302,0.6757,0.7802,0.7031,0.9884,sparse_cross_grid,True,0.5913757700205339,487,zero_fraction_heuristic,
verified-adv-pro-text-pro-vf-3of5,20,0.8506,0.8104,0.8831,0.9569,0.9301,0.9753,0.7655,0.7053,0.8152,0.7302,0.6757,0.7802,0.7031,0.9884,sparse_cross_grid,True,0.5934291581108829,487,zero_fraction_heuristic,
verified-adv-pro-text-pro-vf-3of5,25,0.8659,0.8272,0.8966,0.9741,0.9497,0.9882,0.7793,0.72,0.8276,0.7302,0.6757,0.7802,0.7031,0.9884,sparse_cross_grid,True,0.5934291581108829,487,zero_fraction_heuristic,
verified-adv-pro-text-pro-vf-3of5,30,0.8659,0.8272,0.8966,0.9741,0.9497,0.9882,0.7793,0.72,0.8276,0.7302,0.6757,0.7802,0.7031,0.9884,sparse_cross_grid,True,0.5934291581108829,487,zero_fraction_heuristic,
verified-adv-pro-text-pro-vf-3of5,35,0.8685,0.8311,0.8984,0.977,0.9533,0.9903,0.7816,0.7227,0.8296,0.7302,0.6757,0.7802,0.7031,0.9884,sparse_cross_grid,True,0.5934291581108829,487,zero_fraction_heuristic,
verified-adv-pro-text-pro-vf-3of5,40,0.8685,0.8311,0.8984,0.977,0.9533,0.9903,0.7816,0.7227,0.8296,0.7302,0.6757,0.7802,0.7031,0.9884,sparse_cross_grid,True,0.5934291581108829,487,zero_fraction_heuristic,
verified-adv-pro-text-pro-vf-3of5,45,0.8685,0.8311,0.8984,0.977,0.9533,0.9903,0.7816,0.7227,0.8296,0.7302,0.6757,0.7802,0.7031,0.9884,sparse_cross_grid,True,0.5934291581108829,487,zero_fraction_heuristic,
verified-adv-pro-text-pro-vf-3of5,50,0.8685,0.8311,0.8984,0.977,0.9533,0.9903,0.7816,0.7227,0.8296,0.7302,0.6757,0.7802,0.7031,0.9884,sparse_cross_grid,True,0.5934291581108829,487,zero_fraction_heuristic,
verified-adv-pro-text-pro-vf-3of5,75,0.871,0.8334,0.9006,0.9799,0.9568,0.9918,0.7839,0.7241,0.8314,0.7302,0.6757,0.7802,0.7031,0.9884,sparse_cross_grid,True,0.5934291581108829,487,zero_fraction_heuristic,
verified-adv-pro-text-pro-vf-3of5,100,0.871,0.8334,0.9006,0.9799,0.9568,0.9918,0.7839,0.7241,0.8314,0.7302,0.6757,0.7802,0.7031,0.9884,sparse_cross_grid,True,0.5934291581108829,487,zero_fraction_heuristic,
verified-adv-pro-text-pro-vf-3of5,125,0.871,0.8334,0.9006,0.9799,0.9568,0.9918,0.7839,0.7241,0.8314,0.7302,0.6757,0.7802,0.7031,0.9884,sparse_cross_grid,True,0.5934291581108829,487,zero_fraction_heuristic,
verified-adv-pro-text-pro-vf-3of5,150,0.871,0.8334,0.9006,0.9799,0.9568,0.9918,0.7839,0.7241,0.8314,0.7302,0.6757,0.7802,0.7031,0.9884,sparse_cross_grid,True,0.5934291581108829,487,zero_fraction_heuristic,
