threshold,n_accepted,precision,recall,f1,f1_ci_lower,f1_ci_upper,p_ci_lower,p_ci_upper,r_ci_lower,r_ci_upper
0.0,547,0.7569,0.7681,0.7624,0.714,0.8042,0.7022,0.8061,0.7088,0.8221
0.05,502,0.8187,0.7625,0.7896,0.7428,0.8292,0.7725,0.8614,0.7031,0.8178
0.1,474,0.8608,0.757,0.8055,0.762,0.8443,0.8224,0.8966,0.6996,0.8113
0.15,438,0.9132,0.7421,0.8188,0.7763,0.8561,0.8795,0.9425,0.6814,0.7961
0.2,437,0.913,0.7403,0.8176,0.7748,0.8554,0.8794,0.9425,0.6793,0.7944
0.25,413,0.9128,0.6994,0.792,0.7463,0.8317,0.8778,0.9429,0.6386,0.7541
0.3,413,0.9128,0.6994,0.792,0.7463,0.8317,0.8778,0.9429,0.6386,0.7541
0.35,411,0.9124,0.6957,0.7895,0.7456,0.8286,0.8771,0.9423,0.6364,0.75
0.4,411,0.9124,0.6957,0.7895,0.7456,0.8286,0.8771,0.9423,0.6364,0.75
0.45,392,0.9107,0.6623,0.7669,0.7248,0.8064,0.8746,0.9415,0.6045,0.7155
0.5,392,0.9107,0.6623,0.7669,0.7248,0.8064,0.8746,0.9415,0.6045,0.7155
0.55,392,0.9107,0.6623,0.7669,0.7248,0.8064,0.8746,0.9415,0.6045,0.7155
0.6,392,0.9107,0.6623,0.7669,0.7248,0.8064,0.8746,0.9415,0.6045,0.7155
0.65,392,0.9107,0.6623,0.7669,0.7248,0.8064,0.8746,0.9415,0.6045,0.7155
0.7,392,0.9107,0.6623,0.7669,0.7248,0.8064,0.8746,0.9415,0.6045,0.7155
0.75,392,0.9107,0.6623,0.7669,0.7248,0.8064,0.8746,0.9415,0.6045,0.7155
0.8,383,0.9112,0.6475,0.757,0.7139,0.7973,0.875,0.9436,0.5878,0.7008
0.85,383,0.9112,0.6475,0.757,0.7139,0.7973,0.875,0.9436,0.5878,0.7008
0.9,344,0.9157,0.5844,0.7135,0.6658,0.7572,0.8799,0.9465,0.5258,0.6381
0.95,342,0.9181,0.5826,0.7128,0.6658,0.7569,0.8827,0.9482,0.524,0.6362
1.0,237,0.9325,0.41,0.5696,0.5151,0.6177,0.8937,0.9626,0.3592,0.4592
