label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper
HIGH-t0.3-5of10,20,0.5934,0.5416,0.6385,0.4441,0.3901,0.4966,0.8943,0.8614,0.9268
HIGH-t0.3-5of10,30,0.6163,0.5636,0.6621,0.4612,0.4047,0.5157,0.9287,0.9009,0.955
HIGH-t0.3-5of10,40,0.6178,0.564,0.6652,0.4623,0.4047,0.5162,0.931,0.9048,0.9577
HIGH-t0.3-5of10,50,0.6194,0.5654,0.6667,0.4635,0.4058,0.5169,0.9333,0.908,0.9578
