condition,run,f1,precision,recall,n_detections
minimal,1,0.6201,0.5379,0.732,132
minimal,10,0.6201,0.5379,0.732,132
minimal,2,0.5823,0.4929,0.7113,140
minimal,3,0.5823,0.4929,0.7113,140
minimal,4,0.6201,0.5379,0.732,132
minimal,5,0.6201,0.5379,0.732,132
minimal,6,0.5823,0.4929,0.7113,140
minimal,7,0.6201,0.5379,0.732,132
minimal,8,0.6201,0.5379,0.732,132
minimal,9,0.6201,0.5379,0.732,132
terse,1,0.5714,0.4925,0.6804,134
terse,10,0.5714,0.4925,0.6804,134
terse,2,0.5714,0.4925,0.6804,134
terse,3,0.5714,0.4925,0.6804,134
terse,4,0.5714,0.4925,0.6804,134
terse,5,0.5714,0.4925,0.6804,134
terse,6,0.5714,0.4925,0.6804,134
terse,7,0.5714,0.4925,0.6804,134
terse,8,0.5714,0.4925,0.6804,134
terse,9,0.5714,0.4925,0.6804,134
verbose,1,0.5778,0.5078,0.6701,128
verbose,10,0.5778,0.5078,0.6701,128
verbose,2,0.5778,0.5078,0.6701,128
verbose,3,0.5778,0.5078,0.6701,128
verbose,4,0.5778,0.5078,0.6701,128
verbose,5,0.5778,0.5078,0.6701,128
verbose,6,0.5778,0.5078,0.6701,128
verbose,7,0.5778,0.5078,0.6701,128
verbose,8,0.5778,0.5078,0.6701,128
verbose,9,0.5778,0.5078,0.6701,128
