tier,rank,condition,f1,tier_f1_min,tier_f1_max
1,1,flash-high-text-16-of-30--flash-min-vf (t=0.2),0.890201,0.864078,0.890201
1,2,flash-high-text-4-of-5--flash-min-vf (t=0.15),0.864078,0.864078,0.890201
2,3,flash-high-text-4-of-5--flash-medium-vf (t=0.95),0.859155,0.835859,0.859155
2,4,flash-high-text-9-of-10--flash-min-vf (t=0.2),0.856417,0.835859,0.859155
2,5,pro-high-text-3-of-5--flash-min-vf (t=0.15),0.849105,0.835859,0.859155
2,6,"pro-high-text N=5 N=5, 3-of-5",0.840399,0.835859,0.859155
2,7,"pro-high-text N=10 N=10, 6-of-10",0.835859,0.835859,0.859155
3,8,text-baseline--flash-min-vf (t=0.15),0.814238,0.814118,0.814238
3,9,"flash-high-text N=30 N=30, 26-of-30",0.814118,0.814118,0.814238
4,10,"flash-high-text N=10 N=10, 9-of-10",0.796767,0.777778,0.796767
4,11,"flash-high-text N=5 N=5, 5-of-5",0.778824,0.777778,0.796767
4,12,flash-high-image-3-of-5--flash-min-vf (t=0.15),0.777778,0.777778,0.796767
5,13,"flash-high-image N=10 N=10, 7-of-10",0.75,0.699779,0.75
5,14,"flash-high-image N=5 N=5, 3-of-5",0.726886,0.699779,0.75
5,15,image-baseline--flash-min-vf (t=0.2),0.716702,0.699779,0.75
5,16,"pro-high-image N=5 N=5, 3-of-5",0.699779,0.699779,0.75
6,17,"flash-min-image N=10 N=10, 8-of-10",0.680301,0.639706,0.680301
6,18,"flash-min-image N=5 N=5, 4-of-5",0.663883,0.639706,0.680301
6,19,"flash-min-text-t07 N=30 N=30, 29-of-30",0.66114,0.639706,0.680301
6,20,"flash-min-text-t07 N=5 N=5, 5-of-5",0.639706,0.639706,0.680301
7,21,"flash-min-text-t07 N=10 N=10, 10-of-10",0.633166,0.633166,0.633166
8,22,"single-pass-t0 N=10 N=10, 10-of-10",0.552138,0.544012,0.552138
8,23,"single-pass-t0 N=5 N=5, 5-of-5",0.544012,0.544012,0.552138
