label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper
MINIMAL-t0.7-18of30,20,0.5797,0.5192,0.6351,0.4338,0.3732,0.4953,0.8736,0.8376,0.9068
MINIMAL-t0.7-18of30,30,0.5889,0.53,0.6451,0.4406,0.3795,0.503,0.8874,0.8531,0.92
MINIMAL-t0.7-18of30,40,0.5904,0.5314,0.6464,0.4418,0.38,0.5044,0.8897,0.8546,0.922
MINIMAL-t0.7-18of30,50,0.5904,0.5314,0.6464,0.4418,0.38,0.5044,0.8897,0.8546,0.922
