condition,run,f1,precision,recall,n_detections
T0.0,1,0.6582,0.5571,0.8041,140
T0.0,10,0.6582,0.5571,0.8041,140
T0.0,2,0.6582,0.5571,0.8041,140
T0.0,3,0.6695,0.5683,0.8144,139
T0.0,4,0.6582,0.5571,0.8041,140
T0.0,5,0.6667,0.5643,0.8144,140
T0.0,6,0.6498,0.55,0.7938,140
T0.0,7,0.6582,0.5571,0.8041,140
T0.0,8,0.6611,0.5563,0.8144,142
T0.0,9,0.6639,0.5603,0.8144,141
T0.3,1,0.584,0.4771,0.7526,153
T0.3,10,0.6502,0.5411,0.8144,146
T0.3,2,0.6299,0.5096,0.8247,157
T0.3,3,0.613,0.4878,0.8247,164
T0.3,4,0.6104,0.5,0.7835,152
T0.3,5,0.6423,0.5302,0.8144,149
T0.3,6,0.6341,0.5235,0.8041,149
T0.3,7,0.626,0.5168,0.7938,149
T0.3,8,0.6077,0.4847,0.8144,163
T0.3,9,0.6142,0.4968,0.8041,157
T0.7,1,0.616,0.5033,0.7938,153
T0.7,10,0.5538,0.4417,0.7423,163
T0.7,2,0.5414,0.426,0.7423,169
T0.7,3,0.6023,0.4815,0.8041,162
T0.7,4,0.5794,0.471,0.7526,155
T0.7,5,0.5938,0.478,0.7835,159
T0.7,6,0.5714,0.4645,0.7423,155
T0.7,7,0.5568,0.4318,0.7835,176
T0.7,8,0.5214,0.3989,0.7526,183
T0.7,9,0.5362,0.4134,0.7629,179
T1.0,1,0.5952,0.4839,0.7732,155
T1.0,10,0.5613,0.4551,0.732,156
T1.0,2,0.5704,0.4451,0.7938,173
T1.0,3,0.5703,0.4591,0.7526,159
T1.0,4,0.5824,0.4634,0.7835,164
T1.0,5,0.5704,0.4451,0.7938,173
T1.0,6,0.5854,0.4832,0.7423,149
T1.0,7,0.5771,0.4679,0.7526,156
T1.0,8,0.5517,0.439,0.7423,164
T1.0,9,0.5231,0.4172,0.701,163
T1.3,1,0.5522,0.4327,0.7629,171
T1.3,10,0.5199,0.4,0.7423,180
T1.3,2,0.4983,0.375,0.7423,192
T1.3,3,0.5227,0.4132,0.7113,167
T1.3,4,0.5247,0.4157,0.7113,166
T1.3,5,0.5263,0.4142,0.7216,169
T1.3,6,0.5287,0.4207,0.7113,164
T1.3,7,0.5433,0.4395,0.7113,157
T1.3,8,0.5286,0.4044,0.7629,183
T1.3,9,0.5128,0.3977,0.7216,176
