label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity
MINIMAL-t0.7-30of30,20,0.6584,0.6108,0.7019,0.644,0.5755,0.7083,0.6736,0.6247,0.7222,0.4229,0.3441,0.5017,0.7812,0.6397
MINIMAL-t0.7-30of30,30,0.6652,0.6178,0.7089,0.6505,0.5814,0.7149,0.6805,0.6316,0.7289,0.4229,0.3441,0.5017,0.7812,0.6397
MINIMAL-t0.7-30of30,40,0.6652,0.6178,0.7089,0.6505,0.5814,0.7149,0.6805,0.6316,0.7289,0.4229,0.3441,0.5017,0.7812,0.6397
MINIMAL-t0.7-30of30,50,0.6652,0.6178,0.7089,0.6505,0.5814,0.7149,0.6805,0.6316,0.7289,0.4229,0.3441,0.5017,0.7812,0.6397
