map_name,source,n_neighbours_50m,n_neighbours_100m
K-35-051-4,student,0,0
K-35-051-4,student,0,0
K-35-051-4,student,0,0
K-35-051-4,student,0,0
K-35-051-4,student,0,0
K-35-051-4,student,0,0
K-35-051-4,student,0,0
K-35-051-4,student,0,0
K-35-051-4,student,0,0
K-35-051-4,student,0,0
K-35-051-4,student,0,0
K-35-051-4,reviewer_phantom,0,1
K-35-051-4,reviewer_phantom,1,1
K-35-051-4,reviewer_phantom,1,1
K-35-052-2,student,0,0
K-35-052-2,student,0,0
K-35-052-2,student,0,0
K-35-052-2,student,0,0
K-35-052-2,student,0,0
K-35-052-2,student,0,0
K-35-052-2,student,0,0
K-35-052-2,student,0,0
K-35-052-2,student,0,0
K-35-052-2,student,0,0
K-35-052-2,student,0,0
K-35-052-2,student,1,1
K-35-052-2,student,0,0
K-35-052-2,student,0,0
K-35-052-2,student,0,1
K-35-052-2,student,0,1
K-35-052-2,student,0,0
K-35-052-2,student,0,1
K-35-052-2,student,0,0
K-35-052-2,student,0,0
K-35-052-2,student,0,0
K-35-052-2,student,0,0
K-35-052-2,student,0,0
K-35-052-2,student,0,0
K-35-052-2,student,0,0
K-35-052-2,student,0,0
K-35-052-2,student,0,1
K-35-052-2,student,0,1
K-35-052-2,student,0,1
K-35-052-2,student,0,1
K-35-052-2,student,0,0
K-35-052-2,student,0,0
K-35-052-2,student,0,0
K-35-052-2,student,0,0
K-35-052-2,student,0,0
K-35-052-2,student,0,0
K-35-052-2,student,0,0
K-35-052-2,student,0,0
K-35-052-2,student,0,0
K-35-052-2,student,0,0
K-35-052-2,student,0,0
K-35-052-2,student,0,0
K-35-052-2,student,0,0
K-35-052-2,student,0,0
K-35-052-2,student,0,0
K-35-052-2,student,0,0
K-35-052-2,student,0,0
K-35-052-2,student,0,1
K-35-052-2,student,0,1
K-35-052-2,student,1,1
K-35-052-2,student,0,2
K-35-052-2,student,1,2
K-35-052-2,student,0,0
K-35-052-2,student,0,0
K-35-052-2,student,0,0
K-35-052-2,student,0,0
K-35-052-2,student,0,0
K-35-052-2,student,0,0
K-35-052-2,student,0,0
K-35-052-2,student,0,0
K-35-052-2,student,0,0
K-35-052-2,student,0,0
K-35-052-2,student,0,0
K-35-052-2,student,0,0
K-35-052-2,student,0,0
K-35-052-2,student,0,0
K-35-052-2,student,0,0
K-35-052-2,student,0,0
K-35-052-2,student,0,0
K-35-052-2,student,0,0
K-35-052-2,student,0,0
K-35-052-2,student,0,0
K-35-052-2,student,0,0
K-35-052-2,student,0,0
K-35-052-2,student,0,0
K-35-052-2,student,0,1
K-35-052-2,student,0,0
K-35-052-2,student,0,0
K-35-052-2,student,0,0
K-35-052-2,reviewer_phantom,0,1
K-35-052-2,reviewer_phantom,0,0
K-35-052-2,reviewer_phantom,0,1
K-35-052-2,reviewer_phantom,1,2
K-35-052-2,reviewer_phantom,0,0
K-35-052-2,reviewer_phantom,1,1
K-35-052-2,reviewer_phantom,1,1
K-35-052-3,student,0,0
K-35-052-3,student,0,0
K-35-052-3,student,0,0
K-35-052-3,student,0,0
K-35-052-3,student,0,0
K-35-052-3,student,0,0
K-35-052-3,student,0,0
K-35-052-3,student,1,1
K-35-052-3,student,0,0
K-35-052-3,student,0,0
K-35-052-3,student,0,0
K-35-052-3,student,0,0
K-35-052-3,student,0,0
K-35-052-3,student,0,0
K-35-052-3,student,0,0
K-35-052-3,student,0,0
K-35-052-3,student,0,0
K-35-052-3,student,0,0
K-35-052-3,student,0,0
K-35-052-3,student,0,0
K-35-052-3,student,1,1
K-35-052-3,student,0,0
K-35-052-3,student,0,0
K-35-052-3,student,0,0
K-35-052-3,student,0,0
K-35-052-3,student,0,0
K-35-052-3,student,0,0
K-35-052-3,student,0,0
K-35-052-3,student,0,0
K-35-052-3,student,0,0
K-35-052-3,student,0,0
K-35-052-3,student,0,0
K-35-052-3,student,0,0
K-35-052-3,student,0,0
K-35-052-3,student,0,0
K-35-052-3,student,1,1
K-35-052-3,student,0,1
K-35-052-3,student,0,0
K-35-052-3,student,0,1
K-35-052-3,student,0,1
K-35-052-3,student,0,1
K-35-052-3,student,0,0
K-35-052-3,student,0,0
K-35-052-3,student,0,0
K-35-052-3,student,0,0
K-35-052-3,student,0,0
K-35-052-3,student,0,0
K-35-052-3,student,1,1
K-35-052-3,student,0,0
K-35-052-3,student,0,0
K-35-052-3,student,0,0
K-35-052-3,student,0,0
K-35-052-3,student,0,0
K-35-052-3,student,0,0
K-35-052-3,student,0,0
K-35-052-3,student,0,1
K-35-052-3,student,0,1
K-35-052-3,student,0,0
K-35-052-3,student,0,0
K-35-052-3,student,0,0
K-35-052-3,student,1,1
K-35-052-3,student,0,0
K-35-052-3,student,0,0
K-35-052-3,student,0,0
K-35-052-3,student,0,0
K-35-052-3,student,0,0
K-35-052-3,student,0,0
K-35-052-3,student,0,0
K-35-052-3,student,0,0
K-35-052-3,student,0,0
K-35-052-3,student,0,0
K-35-052-3,student,0,0
K-35-052-3,student,0,0
K-35-052-3,student,0,0
K-35-052-3,student,0,0
K-35-052-3,student,0,0
K-35-052-3,student,0,1
K-35-052-3,student,0,1
K-35-052-3,student,0,0
K-35-052-3,student,0,0
K-35-052-3,student,0,0
K-35-052-3,student,0,2
K-35-052-3,student,1,2
K-35-052-3,student,0,0
K-35-052-3,student,0,0
K-35-052-3,student,0,1
K-35-052-3,student,0,1
K-35-052-3,student,0,1
K-35-052-3,student,0,1
K-35-052-3,student,0,1
K-35-052-3,student,0,1
K-35-052-3,student,0,0
K-35-052-3,student,0,0
K-35-052-3,student,0,0
K-35-052-3,student,0,0
K-35-052-3,student,0,0
K-35-052-3,student,0,1
K-35-052-3,student,0,2
K-35-052-3,student,0,1
K-35-052-3,student,0,0
K-35-052-3,student,0,0
K-35-052-3,student,0,0
K-35-052-3,student,0,0
K-35-052-3,student,1,2
K-35-052-3,student,0,0
K-35-052-3,student,0,1
K-35-052-3,student,0,1
K-35-052-3,student,0,0
K-35-052-3,student,0,0
K-35-052-3,student,0,1
K-35-052-3,student,0,0
K-35-052-3,student,0,0
K-35-052-3,student,0,1
K-35-052-3,student,0,1
K-35-052-3,student,0,0
K-35-052-3,student,0,0
