map_name,det_local_idx,ref_idx_at_50,ref_idx_at_100,distance_at_50,distance_at_100
K-35-053-1,19,42,43,33.26,55.89
K-35-054-1_Straldzha_4326,76,104,105,32.79,57.81
K-35-067-4,18,13,14,42.71,47.75
K-35-075-4,11,25,24,27.55,80.84
