threshold,n_accepted,precision,recall,f1,f1_ci_lower,f1_ci_upper,p_ci_lower,p_ci_upper,r_ci_lower,r_ci_upper
0.0,882,0.4875,0.7978,0.6052,0.5715,0.637,0.447,0.5254,0.7723,0.8262
0.05,712,0.5997,0.7922,0.6827,0.6544,0.7121,0.5667,0.6317,0.7674,0.8209
0.1,613,0.6884,0.7829,0.7326,0.7095,0.7582,0.6615,0.7157,0.7581,0.8134
0.15,531,0.7759,0.7644,0.7701,0.7466,0.7943,0.7533,0.8023,0.7374,0.7938
0.2,525,0.7771,0.757,0.7669,0.7442,0.7914,0.7544,0.8048,0.7313,0.7856
0.25,480,0.8063,0.718,0.7596,0.7357,0.7845,0.7844,0.8346,0.6908,0.7509
0.3,480,0.8063,0.718,0.7596,0.7357,0.7845,0.7844,0.8346,0.6908,0.7509
0.35,475,0.8105,0.7143,0.7594,0.7355,0.785,0.7887,0.837,0.6867,0.7475
0.4,475,0.8105,0.7143,0.7594,0.7355,0.785,0.7887,0.837,0.6867,0.7475
0.45,453,0.8102,0.6809,0.7399,0.7145,0.7661,0.787,0.8372,0.6509,0.7155
0.5,453,0.8102,0.6809,0.7399,0.7145,0.7661,0.787,0.8372,0.6509,0.7155
0.55,453,0.8102,0.6809,0.7399,0.7145,0.7661,0.787,0.8372,0.6509,0.7155
0.6,453,0.8102,0.6809,0.7399,0.7145,0.7661,0.787,0.8372,0.6509,0.7155
0.65,451,0.8115,0.679,0.7394,0.7136,0.7657,0.7878,0.838,0.6484,0.7137
0.7,451,0.8115,0.679,0.7394,0.7136,0.7657,0.7878,0.838,0.6484,0.7137
0.75,447,0.8098,0.6716,0.7343,0.7091,0.762,0.7858,0.8362,0.6406,0.7064
0.8,439,0.8109,0.6605,0.728,0.7057,0.7586,0.7874,0.8378,0.633,0.6986
0.85,437,0.8101,0.6568,0.7254,0.7014,0.7555,0.7863,0.837,0.6282,0.6949
0.9,378,0.8333,0.5844,0.687,0.6596,0.7176,0.8088,0.8604,0.5525,0.6192
0.95,375,0.8347,0.5807,0.6849,0.657,0.7145,0.811,0.8626,0.5499,0.6144
1.0,245,0.8735,0.397,0.5459,0.5222,0.5771,0.8494,0.8967,0.3748,0.4281
