family,prob_t,min_votes,n_detections,tp,fp,fn,micro_f1_50
B-N3,0.0,1,36472,4721,31751,289,0.2276167976471723
B-N3,0.0,2,22566,4656,17910,354,0.33768494342906874
B-N3,0.0,3,16706,4502,12204,508,0.4146251611714865
B-N3,0.05,1,27074,4695,22379,315,0.2926692432365042
B-N3,0.05,2,17105,4632,12473,378,0.4189011982817093
B-N3,0.05,3,12866,4477,8389,533,0.5008950548221079
B-N3,0.1,1,12448,4623,7825,387,0.5296139305762402
B-N3,0.1,2,9083,4559,4524,451,0.6469878663166111
B-N3,0.1,3,7390,4405,2985,605,0.710483870967742
B-N3,0.15,1,7242,4457,2785,553,0.7275546849493959
B-N3,0.15,2,5714,4377,1337,633,0.8162998881014547
B-N3,0.15,3,4971,4230,741,780,0.84761045987376
B-N3,0.2,1,6832,4384,2448,626,0.7404154703597366
B-N3,0.2,2,5444,4303,1141,707,0.8232255595944136
B-N3,0.2,3,4772,4160,612,850,0.8505418114904928
B-N3,0.25,1,6072,4152,1920,858,0.7493232268543584
B-N3,0.25,2,4937,4053,884,957,0.8149190710767065
B-N3,0.25,3,4386,3930,456,1080,0.8365261813537674
B-N3,0.3,1,6071,4151,1920,859,0.7492103600758053
B-N3,0.3,2,4936,4052,884,958,0.8147999195656545
B-N3,0.3,3,4385,3929,456,1081,0.8364023416711017
B-N3,0.35,1,6028,4132,1896,878,0.7486863562239536
B-N3,0.35,2,4910,4037,873,973,0.8139112903225807
B-N3,0.35,3,4362,3916,446,1094,0.8356807511737089
B-N3,0.4,1,6012,4125,1887,885,0.7485029940119761
B-N3,0.4,2,4900,4032,868,978,0.8137235116044398
B-N3,0.4,3,4353,3910,443,1100,0.8352023923955996
B-N3,0.5,1,5760,4002,1758,1008,0.743175487465181
B-N3,0.5,2,4707,3906,801,1104,0.8039518369867242
B-N3,0.5,3,4186,3786,400,1224,0.8234014789038713
B-N3,0.6,1,5759,4001,1758,1009,0.7430587798309963
B-N3,0.6,2,4706,3905,801,1105,0.8038287361053931
B-N3,0.6,3,4185,3785,400,1225,0.823273518216422
B-N3,0.65,1,5757,3999,1758,1011,0.7428252995263304
B-N3,0.65,2,4704,3903,801,1107,0.8035824583075972
B-N3,0.65,3,4183,3783,400,1227,0.8230175133253562
B-N3,0.7,1,5739,3987,1752,1023,0.7418364499023167
B-N3,0.7,2,4691,3893,798,1117,0.8025976703432635
B-N3,0.7,3,4172,3773,399,1237,0.8218253103898931
B-N3,0.75,1,5716,3978,1738,1032,0.7417490210702965
B-N3,0.75,2,4674,3883,791,1127,0.801941346551012
B-N3,0.75,3,4159,3763,396,1247,0.8208092485549132
B-N3,0.8,1,5569,3888,1681,1122,0.735041119198412
B-N3,0.8,2,4551,3790,761,1220,0.7928040999895409
B-N3,0.8,3,4049,3672,377,1338,0.810685506126504
B-N3,0.85,1,5566,3888,1678,1122,0.735249621785174
B-N3,0.85,2,4550,3790,760,1220,0.7928870292887029
B-N3,0.85,3,4049,3672,377,1338,0.810685506126504
B-N3,0.9,1,5099,3600,1499,1410,0.712236620832921
B-N3,0.9,2,4163,3484,679,1526,0.7596206257494822
B-N3,0.9,3,3707,3367,340,1643,0.7725134794080533
B-N3,0.95,1,5095,3598,1497,1412,0.712122711528946
B-N3,0.95,2,4159,3480,679,1530,0.7590795070345732
B-N3,0.95,3,3704,3364,340,1646,0.7720908882258435
B-N3,0.98,1,3613,2625,988,2385,0.6088368317290966
B-N3,0.98,2,2926,2479,447,2531,0.6247479838709677
B-N3,0.98,3,2582,2353,229,2657,0.6198630136986302
B-N3,1.0,1,3610,2623,987,2387,0.6085846867749419
B-N3,1.0,2,2924,2478,446,2532,0.624653390471389
B-N3,1.0,3,2581,2352,229,2658,0.6196812014227375
