family,prob_t,min_votes,n_detections,tp,fp,fn,micro_f1_50
A-N1,0.0,1,18162,4371,13791,639,0.37726566545831175
A-N1,0.05,1,13962,4357,9605,653,0.4593084545646216
A-N1,0.1,1,7761,4305,3456,705,0.6741836974395113
A-N1,0.15,1,5101,4147,954,863,0.8202947285135002
A-N1,0.2,1,4879,4070,809,940,0.8231368186874304
A-N1,0.3,1,4422,3828,594,1182,0.811704834605598
A-N1,0.35,1,4394,3811,583,1199,0.8105061675882602
A-N1,0.4,1,4385,3805,580,1205,0.8100053219797764
A-N1,0.5,1,4225,3694,531,1316,0.8
A-N1,0.6,1,4224,3693,531,1317,0.7998700454840806
A-N1,0.65,1,4222,3692,530,1318,0.7998266897746967
A-N1,0.7,1,4208,3683,525,1327,0.7990887394228683
A-N1,0.75,1,4195,3676,519,1334,0.7986963606735469
A-N1,0.8,1,4093,3595,498,1415,0.7898495001647808
A-N1,0.85,1,4092,3594,498,1416,0.7897165458141067
A-N1,0.9,1,3743,3298,445,1712,0.7535702045013138
A-N1,0.95,1,3741,3296,445,1714,0.7532853388184206
A-N1,0.98,1,2620,2317,303,2693,0.6073394495412844
A-N1,1.0,1,2618,2315,303,2695,0.6069743051914
