family,prob_t,min_votes,n_detections,tp,fp,fn,micro_f1_50
A-N5,0.0,1,30616,4565,26051,445,0.256273508112053
A-N5,0.0,2,20208,4484,15724,526,0.3556190022999445
A-N5,0.0,3,16432,4390,12042,620,0.4094767279171719
A-N5,0.0,4,13862,4235,9627,775,0.448813056379822
A-N5,0.0,5,11183,3962,7221,1048,0.4893472488112147
A-N5,0.05,1,22857,4552,18305,458,0.32669465676247894
A-N5,0.05,2,15395,4468,10927,542,0.43793187944131334
A-N5,0.05,3,12748,4372,8376,638,0.4923977925442054
A-N5,0.05,4,10911,4223,6688,787,0.5304943156836882
A-N5,0.05,5,8996,3950,5046,1060,0.5640439811509352
A-N5,0.1,1,11048,4499,6549,511,0.560343753892141
A-N5,0.1,2,8447,4412,4035,598,0.6557182135691462
A-N5,0.1,3,7369,4319,3050,691,0.6977946522336215
A-N5,0.1,4,6613,4171,2442,839,0.717714875677536
A-N5,0.1,5,5763,3908,1855,1102,0.7255174974473221
A-N5,0.15,1,6514,4322,2192,688,0.7500867754251995
A-N5,0.15,2,5466,4245,1221,765,0.8104238258877434
A-N5,0.15,3,4952,4158,794,852,0.8347721341096165
A-N5,0.15,4,4597,4027,570,983,0.8383470386176746
A-N5,0.15,5,4178,3773,405,1237,0.8212886373530692
A-N5,0.2,1,6165,4242,1923,768,0.7591946308724832
A-N5,0.2,2,5220,4165,1055,845,0.8142717497556207
A-N5,0.2,3,4753,4080,673,930,0.8358086653692512
A-N5,0.2,4,4437,3954,483,1056,0.8370911400444586
A-N5,0.2,5,4050,3709,341,1301,0.8187637969094922
A-N5,0.25,1,5480,3999,1481,1011,0.7624404194470925
A-N5,0.25,2,4710,3918,792,1092,0.8061728395061729
A-N5,0.25,3,4307,3835,472,1175,0.823226360416443
A-N5,0.25,4,4052,3721,331,1289,0.8212315162215845
A-N5,0.25,5,3710,3489,221,1521,0.8002293577981651
A-N5,0.3,1,5479,3999,1480,1011,0.7625131089713033
A-N5,0.3,2,4710,3918,792,1092,0.8061728395061729
A-N5,0.3,3,4307,3835,472,1175,0.823226360416443
A-N5,0.3,4,4052,3721,331,1289,0.8212315162215845
A-N5,0.3,5,3710,3489,221,1521,0.8002293577981651
A-N5,0.35,1,5438,3980,1458,1030,0.7618683001531393
