family,prob_t,min_votes,n_detections,tp,fp,fn,micro_f1_50
B-N10,0.0,1,57482,4792,52690,218,0.15336363054470972
B-N10,0.0,2,34869,4748,30121,262,0.23812031394969782
B-N10,0.0,3,28698,4712,23986,298,0.27957754835647325
B-N10,0.0,4,25090,4690,20400,320,0.31162790697674414
B-N10,0.0,5,22596,4669,17927,341,0.33825979859450844
B-N10,0.0,6,20522,4637,15885,373,0.3632304558984803
B-N10,0.0,7,18709,4585,14124,425,0.38660989080484
B-N10,0.0,8,17150,4545,12605,465,0.41019855595667865
B-N10,0.0,9,15452,4463,10989,547,0.4362232430847425
B-N10,0.0,10,13196,4284,8912,726,0.47061408326925197
B-N10,0.05,1,42688,4770,37918,240,0.20000838609585309
B-N10,0.05,2,25762,4724,21038,286,0.3070323670869622
B-N10,0.05,3,21468,4686,16782,324,0.3539542261500114
B-N10,0.05,4,18897,4664,14233,346,0.3901786087756724
B-N10,0.05,5,17124,4643,12481,367,0.419535556157947
B-N10,0.05,6,15634,4613,11021,397,0.44690951366014336
B-N10,0.05,7,14313,4561,9752,449,0.47207990477669104
B-N10,0.05,8,13198,4522,8676,488,0.49670474516695956
B-N10,0.05,9,12006,4441,7565,569,0.5219793135872121
B-N10,0.05,10,10391,4265,6126,745,0.5538601389520161
B-N10,0.1,1,17236,4694,12542,316,0.4220084509574756
B-N10,0.1,2,12457,4646,7811,364,0.531974580637774
B-N10,0.1,3,10736,4611,6125,399,0.5856725517591769
B-N10,0.1,4,9725,4587,5138,423,0.6225992534781133
B-N10,0.1,5,9046,4570,4476,440,0.6502561183836084
B-N10,0.1,6,8475,4540,3935,470,0.6733407489803486
B-N10,0.1,7,7952,4487,3465,523,0.6923314303348249
B-N10,0.1,8,7547,4450,3097,560,0.7087680178386557
B-N10,0.1,9,7045,4369,2676,641,0.7248444628784736
B-N10,0.1,10,6390,4203,2187,807,0.7373684210526316
B-N10,0.15,1,9230,4537,4693,473,0.6372191011235955
B-N10,0.15,2,7218,4471,2747,539,0.7312724893686622
B-N10,0.15,3,6468,4433,2035,577,0.7724342219898938
B-N10,0.15,4,6016,4409,1607,601,0.7997460547796119
B-N10,0.15,5,5713,4391,1322,619,0.818987223724704
B-N10,0.15,6,5464,4361,1103,649,0.8327286614473935
B-N10,0.15,7,5223,4310,913,700,0.8423727157236393
B-N10,0.15,8,5047,4276,771,734,0.850352987968579
B-N10,0.15,9,4812,4198,614,812,0.8548157198126656
B-N10,0.15,10,4505,4043,462,967,0.8498160798738834
B-N10,0.2,1,8632,4460,4172,550,0.6538630699310952
B-N10,0.2,2,6811,4395,2416,615,0.7435919126977413
B-N10,0.2,3,6137,4360,1777,650,0.7822732573786669
B-N10,0.2,4,5728,4335,1393,675,0.8074129260569938
B-N10,0.2,5,5451,4317,1134,693,0.825351304846573
B-N10,0.2,6,5221,4286,935,724,0.8378457628775291
B-N10,0.2,7,5006,4238,768,772,0.8462460063897763
B-N10,0.2,8,4851,4204,647,806,0.852651860866038
B-N10,0.2,9,4639,4129,510,881,0.8558399834179707
B-N10,0.2,10,4354,3977,377,1033,0.8494233233660828
B-N10,0.25,1,7550,4240,3310,770,0.6751592356687899
B-N10,0.25,2,6062,4159,1903,851,0.7512644508670521
B-N10,0.25,3,5508,4119,1389,891,0.7832287507130633
B-N10,0.25,4,5173,4088,1085,922,0.8029068054600806
B-N10,0.25,5,4943,4068,875,942,0.8174419772932784
B-N10,0.25,6,4746,4040,706,970,0.8282082820828208
B-N10,0.25,7,4569,3997,572,1013,0.8345338761874933
