family,prob_t,min_votes,n_detections,tp,fp,fn,micro_f1_50
B-N1,0.0,1,24923,4619,20304,391,0.30862259045200946
B-N1,0.05,1,18782,4595,14187,415,0.38626429051782113
B-N1,0.1,1,9504,4525,4979,485,0.6235358963759129
B-N1,0.15,1,5939,4347,1592,663,0.7940451182756415
B-N1,0.2,1,5655,4273,1382,737,0.8013127051101735
B-N1,0.25,1,5096,4037,1059,973,0.7989313279240056
B-N1,0.3,1,5095,4036,1059,974,0.7988124690747155
B-N1,0.35,1,5065,4020,1045,990,0.7980148883374689
B-N1,0.4,1,5055,4014,1041,996,0.7976154992548435
B-N1,0.5,1,4856,3896,960,1114,0.7897830934522604
B-N1,0.6,1,4855,3895,960,1115,0.7896604156107451
B-N1,0.65,1,4853,3893,960,1117,0.7894149852985906
B-N1,0.7,1,4839,3881,958,1129,0.7881003147527668
B-N1,0.75,1,4822,3872,950,1138,0.7876322213181448
B-N1,0.8,1,4699,3779,920,1231,0.7784529817694922
B-N1,0.85,1,4697,3779,918,1231,0.778613371793551
B-N1,0.9,1,4301,3477,824,1533,0.7468585543980237
B-N1,0.95,1,4298,3475,823,1535,0.7466695315857328
B-N1,0.98,1,3012,2481,531,2529,0.6185489902767389
B-N1,1.0,1,3010,2479,531,2531,0.6182044887780548
