family,prob_t,min_votes,n_detections,tp,fp,fn,micro_f1_50
A-N10,0.0,1,38713,4603,34110,407,0.21055279829837842
A-N10,0.0,2,25258,4548,20710,462,0.30051539579754194
A-N10,0.0,3,21230,4501,16729,509,0.3430640243902439
A-N10,0.0,4,18742,4455,14287,555,0.3751263051532503
A-N10,0.0,5,16931,4415,12516,595,0.40244291509046987
A-N10,0.0,6,15462,4352,11110,658,0.4251660805001954
A-N10,0.0,7,14168,4280,9888,730,0.4463447700490145
A-N10,0.0,8,12910,4187,8723,823,0.46729910714285716
A-N10,0.0,9,11609,4049,7560,961,0.48727360250315904
A-N10,0.0,10,9802,3747,6055,1263,0.5059411288144748
A-N10,0.05,1,28711,4589,24122,421,0.2721746092939118
A-N10,0.05,2,18924,4531,14393,479,0.3786245508481658
A-N10,0.05,3,16088,4484,11604,526,0.42506398710778276
A-N10,0.05,4,14369,4438,9931,572,0.45802156974044067
A-N10,0.05,5,13082,4399,8683,611,0.486292283882379
A-N10,0.05,6,12052,4336,7716,674,0.5082639784316023
A-N10,0.05,7,11117,4263,6854,747,0.5286786135053017
A-N10,0.05,8,10225,4171,6054,839,0.5475549721037085
A-N10,0.05,9,9281,4037,5244,973,0.5649709607445246
A-N10,0.05,10,7994,3737,4257,1273,0.5747462319286374
A-N10,0.1,1,13024,4538,8486,472,0.503271598092492
A-N10,0.1,2,9907,4478,5429,532,0.6003888181269692
A-N10,0.1,3,8704,4427,4277,583,0.6456176170336883
A-N10,0.1,4,7998,4382,3616,628,0.673739237392374
A-N10,0.1,5,7520,4344,3176,666,0.6933758978451716
A-N10,0.1,6,7102,4280,2822,730,0.7067371202113606
A-N10,0.1,7,6702,4211,2491,799,0.7190915300546448
A-N10,0.1,8,6331,4122,2209,888,0.7269200246891808
A-N10,0.1,9,5914,3989,1925,1021,0.7303185646283414
A-N10,0.1,10,5270,3700,1570,1310,0.7198443579766537
A-N10,0.15,1,7372,4370,3002,640,0.7058633500242288
A-N10,0.15,2,6106,4308,1798,702,0.7750989564591578
A-N10,0.15,3,5563,4258,1305,752,0.8054478388347678
A-N10,0.15,4,5251,4217,1034,793,0.8219471786375596
A-N10,0.15,5,5024,4179,845,831,0.8329679091090293
A-N10,0.15,6,4821,4122,699,888,0.8385718645102227
A-N10,0.15,7,4639,4062,577,948,0.8419525339413411
A-N10,0.15,8,4475,3980,495,1030,0.8392198207696363
A-N10,0.15,9,4282,3855,427,1155,0.8297460180800689
A-N10,0.15,10,3911,3577,334,1433,0.8019280349736577
A-N10,0.2,1,6952,4293,2659,717,0.7177729476676141
A-N10,0.2,2,5809,4229,1580,781,0.7817728070986227
A-N10,0.2,3,5311,4180,1131,830,0.8099990311016374
A-N10,0.2,4,5028,4135,893,875,0.823869296672644
A-N10,0.2,5,4823,4099,724,911,0.8337231770568494
A-N10,0.2,6,4641,4045,596,965,0.8382551030981245
A-N10,0.2,7,4474,3987,487,1023,0.8407844791227331
A-N10,0.2,8,4323,3907,416,1103,0.8372441872924032
A-N10,0.2,9,4144,3789,355,1221,0.8278348263054403
A-N10,0.2,10,3800,3519,281,1491,0.7988649262202042
A-N10,0.25,1,6136,4058,2078,952,0.7281535977032118
A-N10,0.25,2,5194,3982,1212,1028,0.7804782438259507
A-N10,0.25,3,4780,3934,846,1076,0.8036772216547496
A-N10,0.25,4,4543,3890,653,1120,0.8144038521930284
A-N10,0.25,5,4368,3854,514,1156,0.8219236510983152
A-N10,0.25,6,4219,3801,418,1209,0.8237078773431574
A-N10,0.25,7,4084,3751,333,1259,0.8249395205630087
A-N10,0.25,8,3952,3676,276,1334,0.8203525998661012
A-N10,0.25,9,3797,3566,231,1444,0.809810378108323
A-N10,0.25,10,3492,3315,177,1695,0.779816513761468
A-N10,0.3,1,6135,4058,2077,952,0.7282189322566172
A-N10,0.3,2,5194,3982,1212,1028,0.7804782438259507
A-N10,0.3,3,4780,3934,846,1076,0.8036772216547496
