family,prob_t,min_votes,n_detections,tp,fp,fn,micro_f1_50
B-N5,0.0,1,43790,4759,39031,251,0.19504098360655736
B-N5,0.0,2,27314,4700,22614,310,0.2908055933671575
B-N5,0.0,3,21892,4655,17237,355,0.34607092409486284
B-N5,0.0,4,18327,4572,13755,438,0.39182414192055537
B-N5,0.0,5,14889,4402,10487,608,0.44243429318056177
B-N5,0.05,1,32417,4735,27682,275,0.25302589039997864
B-N5,0.05,2,20491,4674,15817,336,0.36657385984863344
B-N5,0.05,3,16600,4629,11971,381,0.42841277186487736
B-N5,0.05,4,14039,4548,9491,462,0.47750538085988764
B-N5,0.05,5,11590,4380,7210,630,0.5277108433734939
B-N5,0.1,1,14218,4659,9559,351,0.4846057832327856
B-N5,0.1,2,10381,4599,5782,411,0.5976219868754467
B-N5,0.1,3,8860,4558,4302,452,0.6572458543619323
B-N5,0.1,4,7856,4475,3381,535,0.6956318980258044
B-N5,0.1,5,6889,4311,2578,699,0.7245987057735944
B-N5,0.15,1,7975,4495,3480,515,0.6923373122834039
B-N5,0.15,2,6312,4423,1889,587,0.781310722487193
B-N5,0.15,3,5629,4376,1253,634,0.8226337061753924
B-N5,0.15,4,5177,4297,880,713,0.8436242269559243
B-N5,0.15,5,4736,4143,593,867,0.8501949517750872
B-N5,0.2,1,7502,4420,3082,590,0.7065217391304348
B-N5,0.2,2,5991,4351,1640,659,0.7910189982728842
B-N5,0.2,3,5374,4301,1073,709,0.8283898305084747
B-N5,0.2,4,4965,4227,738,783,0.8475187969924811
B-N5,0.2,5,4566,4077,489,933,0.8515037593984962
B-N5,0.25,1,6623,4189,2434,821,0.7201925556606207
B-N5,0.25,2,5404,4106,1298,904,0.7885538697906664
B-N5,0.25,3,4878,4053,825,957,0.8197815533980581
B-N5,0.25,4,4535,3986,549,1024,0.8352016762702985
B-N5,0.25,5,4210,3857,353,1153,0.8366594360086769
B-N5,0.3,1,6621,4188,2433,822,0.7201444415785401
B-N5,0.3,2,5403,4105,1298,905,0.7884375300105637
B-N5,0.3,3,4877,4052,825,958,0.8196621826641044
B-N5,0.3,4,4534,3985,549,1025,0.8350796311818944
B-N5,0.3,5,4209,3856,353,1154,0.8365332465560256
B-N5,0.35,1,6569,4168,2401,842,0.719924000345453
B-N5,0.35,2,5368,4087,1281,923,0.787627673925612
B-N5,0.35,3,4849,4036,813,974,0.8187442945532002
B-N5,0.35,4,4509,3969,540,1041,0.8339111251181845
B-N5,0.35,5,4188,3842,346,1168,0.8353989997825614
B-N5,0.4,1,6551,4160,2391,850,0.7196609289853819
B-N5,0.4,2,5357,4081,1276,929,0.787305874409183
B-N5,0.4,3,4839,4031,808,979,0.8185602599248656
B-N5,0.4,4,4500,3963,537,1047,0.8334384858044164
B-N5,0.4,5,4180,3837,343,1173,0.835038084874864
B-N5,0.5,1,6269,4039,2230,971,0.7161982445252238
B-N5,0.5,2,5143,3957,1186,1053,0.7794740470796809
B-N5,0.5,3,4648,3906,742,1104,0.8088631186581073
B-N5,0.5,4,4325,3841,484,1169,0.8229244777718264
B-N5,0.5,5,4022,3714,308,1296,0.8224092116917626
B-N5,0.6,1,6268,4038,2230,972,0.7160844121298102
B-N5,0.6,2,5142,3956,1186,1054,0.7793538219070133
B-N5,0.6,3,4647,3905,742,1105,0.8087397742570156
B-N5,0.6,4,4324,3840,484,1170,0.8227983715448897
B-N5,0.6,5,4021,3713,308,1297,0.8222788174067104
B-N5,0.65,1,6266,4036,2230,974,0.7158566867683577
B-N5,0.65,2,5140,3954,1186,1056,0.7791133004926108
B-N5,0.65,3,4645,3903,742,1107,0.8084930088037288
B-N5,0.65,4,4322,3838,484,1172,0.8225460780111444
B-N5,0.65,5,4019,3711,308,1299,0.8220179421862885
B-N5,0.7,1,6246,4023,2223,987,0.714818763326226
B-N5,0.7,2,5125,3943,1182,1067,0.7780957079427726
B-N5,0.7,3,4633,3893,740,1117,0.8074250751840713
B-N5,0.7,4,4311,3828,483,1182,0.8213710975217251
B-N5,0.7,5,4008,3701,307,1309,0.8208028387669107
B-N5,0.75,1,6221,4014,2207,996,0.7148072299884249
B-N5,0.75,2,5104,3934,1170,1076,0.7779315799881352
B-N5,0.75,3,4617,3882,735,1128,0.8064817700218136
B-N5,0.75,4,4297,3819,478,1191,0.8206726120124638
B-N5,0.75,5,3997,3693,304,1317,0.8200288664372155
B-N5,0.8,1,6060,3923,2137,1087,0.7087624209575428
B-N5,0.8,2,4971,3840,1131,1170,0.7694619777577396
B-N5,0.8,3,4497,3787,710,1223,0.7966761333754074
B-N5,0.8,4,4182,3725,457,1285,0.8104873803307223
B-N5,0.8,5,3892,3604,288,1406,0.8097056841159289
B-N5,0.85,1,6057,3923,2134,1087,0.7089545495617603
B-N5,0.85,2,4969,3840,1129,1170,0.7696161940074155
B-N5,0.85,3,4496,3787,709,1223,0.7967599410898379
B-N5,0.85,4,4181,3725,456,1285,0.8105755630508106
B-N5,0.85,5,3892,3604,288,1406,0.8097056841159289
B-N5,0.9,1,5524,3643,1881,1367,0.6916650844883234
B-N5,0.9,2,4553,3540,1013,1470,0.7403534455714733
B-N5,0.9,3,4117,3477,640,1533,0.7619151966692234
B-N5,0.9,4,3827,3416,411,1594,0.773113047414281
B-N5,0.9,5,3561,3304,257,1706,0.7709718819274298
B-N5,0.95,1,5519,3641,1878,1369,0.6916136385221769
B-N5,0.95,2,4549,3537,1012,1473,0.7400355685741186
B-N5,0.95,3,4113,3474,639,1536,0.7615915817165406
B-N5,0.95,4,3823,3412,411,1598,0.7725574549983019
B-N5,0.95,5,3558,3301,257,1709,0.7705415499533146
B-N5,0.98,1,3911,2677,1234,2333,0.6001569330792512
B-N5,0.98,2,3206,2546,660,2464,0.6197663096397273
B-N5,0.98,3,2889,2467,422,2543,0.6246360298771997
B-N5,0.98,4,2671,2400,271,2610,0.6249186303866684
B-N5,0.98,5,2464,2294,170,2716,0.6138613861386139
B-N5,1.0,1,3908,2675,1233,2335,0.5999102937878449
B-N5,1.0,2,3204,2545,659,2465,0.6196737277818359
B-N5,1.0,3,2887,2466,421,2544,0.6245409649233886
B-N5,1.0,4,2670,2399,271,2611,0.6247395833333333
B-N5,1.0,5,2463,2293,170,2717,0.6136758999063294
