family,prob_t,min_votes,n_detections,tp,fp,fn,micro_f1_50
A-N3,0.0,1,26035,4526,21509,484,0.29157674343694634
A-N3,0.0,2,16808,4390,12418,620,0.4024200201668347
A-N3,0.0,3,12682,4111,8571,899,0.46472982138819807
A-N3,0.05,1,19602,4512,15090,498,0.36665041443198443
A-N3,0.05,2,13005,4373,8632,637,0.4854843186233695
A-N3,0.05,3,10056,4098,5958,912,0.5440063719633612
A-N3,0.1,1,9855,4457,5398,553,0.5996636394214598
A-N3,0.1,2,7461,4320,3141,690,0.6928073129660813
A-N3,0.1,3,6219,4050,2169,960,0.7213465134918515
A-N3,0.15,1,6054,4282,1772,728,0.7740419378163412
A-N3,0.15,2,4997,4160,837,850,0.8314180073948236
A-N3,0.15,3,4400,3909,491,1101,0.830818278427205
A-N3,0.2,1,5750,4203,1547,807,0.7812267657992564
A-N3,0.2,2,4796,4082,714,928,0.8325514990821946
A-N3,0.2,3,4252,3838,414,1172,0.8287626862448715
A-N3,0.25,1,5146,3956,1190,1054,0.7790468688460023
A-N3,0.25,2,4350,3839,511,1171,0.8202991452991454
A-N3,0.25,3,3891,3611,280,1399,0.8113695090439277
A-N3,0.3,1,5145,3956,1189,1054,0.779123584441162
A-N3,0.3,2,4350,3839,511,1171,0.8202991452991454
A-N3,0.3,3,3891,3611,280,1399,0.8113695090439277
A-N3,0.35,1,5109,3939,1170,1071,0.7785354284020158
A-N3,0.35,2,4327,3822,505,1188,0.8186783763521474
A-N3,0.35,3,3872,3597,275,1413,0.8099527133528484
A-N3,0.4,1,5093,3934,1159,1076,0.7787785806196179
A-N3,0.4,2,4315,3815,500,1195,0.818230563002681
A-N3,0.4,3,3863,3590,273,1420,0.8091964386340583
A-N3,0.5,1,4891,3818,1073,1192,0.7712352287647714
A-N3,0.5,2,4167,3708,459,1302,0.8081072245831973
A-N3,0.5,3,3739,3490,249,1520,0.7978054634815408
A-N3,0.6,1,4890,3817,1073,1193,0.7711111111111111
A-N3,0.6,2,4166,3707,459,1303,0.8079773321708806
A-N3,0.6,3,3738,3489,249,1521,0.7976680384087791
A-N3,0.65,1,4888,3816,1072,1194,0.7710648615881996
A-N3,0.65,2,4164,3706,458,1304,0.8079354698059734
A-N3,0.65,3,3736,3488,248,1522,0.7976217699519781
A-N3,0.7,1,4873,3809,1064,1201,0.7708185773550541
A-N3,0.7,2,4153,3700,453,1310,0.807595765578959
A-N3,0.7,3,3727,3481,246,1529,0.7968410209454045
A-N3,0.75,1,4858,3802,1056,1208,0.7705715443858937
A-N3,0.75,2,4140,3693,447,1317,0.8072131147540984
A-N3,0.75,3,3715,3474,241,1536,0.7963323782234957
A-N3,0.8,1,4734,3720,1014,1290,0.7635467980295566
A-N3,0.8,2,4034,3607,427,1403,0.79765590446705
A-N3,0.8,3,3626,3394,232,1616,0.7860120426123206
A-N3,0.85,1,4733,3719,1014,1291,0.7634198912039413
A-N3,0.85,2,4033,3606,427,1404,0.7975229459250249
A-N3,0.85,3,3625,3393,232,1617,0.785871453387377
A-N3,0.9,1,4329,3426,903,1584,0.7336973980083521
A-N3,0.9,2,3693,3317,376,1693,0.7622658853268987
A-N3,0.9,3,3323,3116,207,1894,0.7478699147965918
A-N3,0.95,1,4327,3424,903,1586,0.7334261540109243
A-N3,0.95,2,3691,3315,376,1695,0.7619813814504081
A-N3,0.95,3,3321,3114,207,1896,0.7475693194094346
A-N3,0.98,1,3061,2451,610,2559,0.6073596828150167
A-N3,0.98,2,2585,2316,269,2694,0.609874917709019
A-N3,0.98,3,2314,2172,142,2838,0.5931185144729656
A-N3,1.0,1,3059,2449,610,2561,0.6070144999380345
A-N3,1.0,2,2583,2314,269,2696,0.6095087580666404
A-N3,1.0,3,2312,2170,142,2840,0.5927342256214149
