family,prob_t,min_votes,n_detections,tp,fp,fn,micro_f1_50
TM,0.0,3,12390,3976,8414,1034,0.4570114942528735
TM,0.0,4,10170,3666,6504,1344,0.48300395256917
TM,0.0,5,7824,3184,4640,1826,0.49618201651862237
TM,0.05,3,9225,3957,5268,1053,0.5559536354056903
TM,0.05,4,7795,3651,4144,1359,0.5702459976571652
TM,0.05,5,6137,3170,2967,1840,0.5687628958464161
TM,0.1,3,6376,3914,2462,1096,0.6875109783945196
TM,0.1,4,5557,3611,1946,1399,0.6834484716570455
TM,0.1,5,4541,3136,1405,1874,0.6566851638571878
TM,0.15,3,4279,3766,513,1244,0.8108515448379804
TM,0.15,4,3865,3476,389,1534,0.7833239436619718
TM,0.15,5,3285,3025,260,1985,0.7293550331525015
TM,0.2,3,4156,3717,439,1293,0.8110408029674886
TM,0.2,4,3758,3430,328,1580,0.7823905109489051
TM,0.2,5,3210,2990,220,2020,0.7274939172749392
TM,0.25,3,3797,3485,312,1525,0.7914159191552174
TM,0.25,4,3443,3217,226,1793,0.7611498876138649
TM,0.25,5,2956,2807,149,2203,0.7047451669595783
TM,0.3,3,3796,3485,311,1525,0.7915057915057915
TM,0.3,4,3442,3217,225,1793,0.761239943208708
TM,0.3,5,2955,2807,148,2203,0.7048336472065285
TM,0.35,3,3752,3451,301,1559,0.7877196986989272
TM,0.35,4,3402,3185,217,1825,0.7572515454113172
TM,0.35,5,2920,2777,143,2233,0.7003783102143758
TM,0.4,3,3744,3444,300,1566,0.7868403015764222
TM,0.4,4,3395,3179,216,1831,0.7564544913741821
TM,0.4,5,2914,2772,142,2238,0.6996466431095405
TM,0.5,3,3534,3286,248,1724,0.7691947565543071
TM,0.5,4,3203,3033,170,1977,0.7385851698526725
TM,0.5,5,2756,2648,108,2362,0.6819469482359001
TM,0.65,3,3532,3284,248,1726,0.7689065792554437
TM,0.65,4,3201,3031,170,1979,0.7382779198635977
TM,0.65,5,2755,2647,108,2363,0.681777205408886
TM,0.7,3,3523,3278,245,1732,0.768311262158678
TM,0.7,4,3194,3026,168,1984,0.7376889322281814
TM,0.7,5,2748,2642,106,2368,0.6811033771590616
TM,0.75,3,3510,3269,241,1741,0.7673708920187794
TM,0.75,4,3183,3017,166,1993,0.7364823629927988
TM,0.75,5,2740,2634,106,2376,0.6797419354838711
TM,0.8,3,3397,3177,220,1833,0.7557987391459497
TM,0.8,4,3077,2929,148,2081,0.7243724496104861
TM,0.8,5,2655,2562,93,2448,0.6684931506849314
TM,0.85,3,3385,3169,216,1841,0.7549731983323407
TM,0.85,4,3065,2921,144,2089,0.723467492260062
TM,0.85,5,2647,2556,91,2454,0.667624395977537
TM,0.9,3,2879,2698,181,2312,0.6839903663328686
TM,0.9,4,2580,2467,113,2543,0.6500658761528327
TM,0.9,5,2239,2169,70,2841,0.5984273692923161
TM,0.95,3,2872,2692,180,2318,0.6830753615833544
TM,0.95,4,2574,2461,113,2549,0.6489978902953586
TM,0.95,5,2234,2164,70,2846,0.597459966869133
TM,0.98,3,1923,1799,124,3211,0.518967258041252
TM,0.98,4,1681,1607,74,3403,0.48034673441936926
TM,0.98,5,1450,1405,45,3605,0.43498452012383904
TM,1.0,3,1922,1798,124,3212,0.5187536064627812
TM,1.0,4,1680,1606,74,3404,0.48011958146487294
TM,1.0,5,1449,1404,45,3606,0.4347422201579192
