,precision,recall,f1
count,5.0,5.0,5.0
mean,0.578129173097474,0.8301886792452831,0.6806273048419845
std,0.05783334658743264,0.029832808114796026,0.046475124272476014
min,0.5176470588235295,0.7924528301886793,0.631578947368421
25%,0.525,0.8113207547169812,0.6376811594202898
50%,0.5769230769230769,0.8301886792452831,0.6870229007633587
75%,0.6231884057971014,0.8490566037735849,0.7049180327868851
max,0.647887323943662,0.8679245283018868,0.7419354838709677
