label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
verified-adv-text-baseline-pro-vf,5,0.4254,0.3759,0.477,0.4125,0.3634,0.4639,0.4391,0.3857,0.4939,0.8328,0.7787,0.8769,0.8689,0.9574,sparse_cross_grid,True,0.5379876796714579,487,zero_fraction_heuristic,
verified-adv-text-baseline-pro-vf,10,0.706,0.6597,0.7497,0.6847,0.6358,0.7308,0.7287,0.6744,0.7779,0.8328,0.7787,0.8769,0.8689,0.9574,sparse_cross_grid,True,0.5482546201232033,487,zero_fraction_heuristic,
verified-adv-text-baseline-pro-vf,15,0.7929,0.755,0.8278,0.7689,0.7248,0.8095,0.8184,0.7725,0.8588,0.8328,0.7787,0.8769,0.8689,0.9574,sparse_cross_grid,True,0.5503080082135524,487,zero_fraction_heuristic,
verified-adv-text-baseline-pro-vf,20,0.8263,0.794,0.8565,0.8013,0.7582,0.8397,0.8529,0.8117,0.8887,0.8328,0.7787,0.8769,0.8689,0.9574,sparse_cross_grid,True,0.5523613963039015,487,zero_fraction_heuristic,
verified-adv-text-baseline-pro-vf,25,0.8374,0.8077,0.8654,0.8121,0.7714,0.8485,0.8644,0.8244,0.8979,0.8328,0.7787,0.8769,0.8689,0.9574,sparse_cross_grid,True,0.5523613963039015,487,zero_fraction_heuristic,
verified-adv-text-baseline-pro-vf,30,0.8419,0.8134,0.8692,0.8164,0.7762,0.8527,0.869,0.8299,0.9019,0.8328,0.7787,0.8769,0.8689,0.9574,sparse_cross_grid,True,0.5523613963039015,487,zero_fraction_heuristic,
verified-adv-text-baseline-pro-vf,35,0.8463,0.8186,0.8726,0.8207,0.7815,0.8565,0.8736,0.8344,0.9056,0.8328,0.7787,0.8769,0.8689,0.9574,sparse_cross_grid,True,0.5523613963039015,487,zero_fraction_heuristic,
verified-adv-text-baseline-pro-vf,40,0.8508,0.8235,0.8766,0.8251,0.7854,0.8604,0.8782,0.8391,0.9101,0.8328,0.7787,0.8769,0.8689,0.9574,sparse_cross_grid,True,0.5523613963039015,487,zero_fraction_heuristic,
verified-adv-text-baseline-pro-vf,45,0.8508,0.8235,0.8766,0.8251,0.7854,0.8604,0.8782,0.8391,0.9101,0.8328,0.7787,0.8769,0.8689,0.9574,sparse_cross_grid,True,0.5523613963039015,487,zero_fraction_heuristic,
verified-adv-text-baseline-pro-vf,50,0.8508,0.8235,0.8766,0.8251,0.7854,0.8604,0.8782,0.8391,0.9101,0.8328,0.7787,0.8769,0.8689,0.9574,sparse_cross_grid,True,0.5523613963039015,487,zero_fraction_heuristic,
verified-adv-text-baseline-pro-vf,75,0.853,0.826,0.8784,0.8272,0.7875,0.862,0.8805,0.8412,0.9119,0.8328,0.7787,0.8769,0.8689,0.9574,sparse_cross_grid,True,0.5523613963039015,487,zero_fraction_heuristic,
verified-adv-text-baseline-pro-vf,100,0.8552,0.8283,0.8802,0.8294,0.7897,0.8639,0.8828,0.844,0.9145,0.8328,0.7787,0.8769,0.8689,0.9574,sparse_cross_grid,True,0.5523613963039015,487,zero_fraction_heuristic,
verified-adv-text-baseline-pro-vf,125,0.8575,0.8304,0.882,0.8315,0.7918,0.8659,0.8851,0.8463,0.9165,0.8328,0.7787,0.8769,0.8689,0.9574,sparse_cross_grid,True,0.5523613963039015,487,zero_fraction_heuristic,
verified-adv-text-baseline-pro-vf,150,0.8575,0.8304,0.882,0.8315,0.7918,0.8659,0.8851,0.8463,0.9165,0.8328,0.7787,0.8769,0.8689,0.9574,sparse_cross_grid,True,0.5523613963039015,487,zero_fraction_heuristic,
