R_m,TP,FP,FN,n_ref_student_only,n_reviewer_promoted_at_R,n_ref_extended,precision,precision_CI_lo,precision_CI_hi,recall,recall_CI_lo,recall_CI_hi,F1,F1_CI_lo,F1_CI_hi,MCC,MCC_CI_lo,MCC_CI_hi,tile_TP,tile_TN,tile_FP,tile_FN,sensitivity,specificity
5,415,3450,4331,4746,0,4746,0.1073738680465718,0.09697831331356487,0.1177544301748751,0.08744205646860514,0.07881968076836705,0.09605833932295915,0.09638834049471606,0.08701728604225749,0.10565338276181649,0.6263694478766207,0.6116887816765956,0.6411462124305556,2076,4927,233,1305,0.614019520851819,0.95484496124031
10,1288,2577,3458,4746,0,4746,0.3332470892626132,0.3168135744367316,0.3501650582041299,0.2713864306784661,0.2570335426501026,0.28562204739320735,0.2991522471257693,0.28418158356546014,0.3141931878459302,0.6263694478766207,0.6116887816765956,0.6411462124305556,2076,4927,233,1305,0.614019520851819,0.95484496124031
15,2098,1767,2648,4746,0,4746,0.5428201811125485,0.5250570977328965,0.5608716149390189,0.4420564686051412,0.42544118650159113,0.45889054859305484,0.48728370688654044,0.471262800456988,0.5037190888227958,0.6263694478766207,0.6116887816765956,0.6411462124305556,2076,4927,233,1305,0.614019520851819,0.95484496124031
20,2670,1195,2076,4746,0,4746,0.6908150064683053,0.6741213197047934,0.7078803557447784,0.5625790139064475,0.545792353274796,0.5796447515246168,0.6201370340262455,0.6048636358418235,0.6356972149167982,0.6263694478766207,0.6116887816765956,0.6411462124305556,2076,4927,233,1305,0.614019520851819,0.95484496124031
25,2981,884,1765,4746,0,4746,0.771280724450194,0.7562703355487566,0.7863319289448669,0.6281078803202697,0.6119431042066766,0.6446717620996386,0.6923702241319243,0.6784377859658415,0.706243780914412,0.6263694478766207,0.6116887816765956,0.6411462124305556,2076,4927,233,1305,0.614019520851819,0.95484496124031
30,3142,723,1604,4746,0,4746,0.8129366106080207,0.7990590040706133,0.8268001853583585,0.662031184155078,0.6460119539339862,0.6783653369477782,0.7297642550226454,0.7167835430036573,0.7425666453402254,0.6263694478766207,0.6116887816765956,0.6411462124305556,2076,4927,233,1305,0.614019520851819,0.95484496124031
35,3224,641,1522,4746,0,4746,0.8341526520051746,0.8210864808443776,0.8474577362989619,0.6793088916982722,0.6636723052081458,0.6950325246457535,0.7488096620601556,0.7363259711651375,0.7610320544493648,0.6263694478766207,0.6116887816765956,0.6411462124305556,2076,4927,233,1305,0.614019520851819,0.95484496124031
40,3256,609,1490,4746,0,4746,0.8424320827943079,0.8294881169889118,0.8556041386695639,0.6860514117151285,0.6703485849320578,0.7015241434552558,0.7562420160260133,0.7439095805441887,0.7682184503626891,0.6263694478766207,0.6116887816765956,0.6411462124305556,2076,4927,233,1305,0.614019520851819,0.95484496124031
45,3272,593,1474,4746,0,4746,0.8465717981888745,0.833769419268366,0.859640081176323,0.6894226717235566,0.673781640884497,0.7048747286781109,0.759958193008942,0.7477256483582803,0.7717700964163847,0.6263694478766207,0.6116887816765956,0.6411462124305556,2076,4927,233,1305,0.614019520851819,0.95484496124031
50,3534,331,1627,4746,415,5161,0.9143596377749029,0.9043865515087012,0.9237907191386916,0.68475101724472,0.6698463599265552,0.6995657750256582,0.7830711278528694,0.7718615640911873,0.7940486023018849,0.6411358134707998,0.62764360008396,0.654883612123643,2150,4858,159,1374,0.6101021566401816,0.968307753637632
75,3552,313,1788,4746,594,5340,0.9190168175937904,0.9093520314188052,0.928221389570319,0.6651685393258427,0.650490090437222,0.6798483490542588,0.7717544812601846,0.7603287655198969,0.7827338532761234,0.6398274051065244,0.6263465552720255,0.6535701620924453,2153,4844,156,1388,0.608020333239198,0.9688
100,3560,305,1871,4746,685,5431,0.9210866752910737,0.9116193783755507,0.9301741515732506,0.6554962253728596,0.6406717261004643,0.6702973843398539,0.76592082616179,0.7544731519150558,0.776971353415839,0.6381197297540213,0.6246272869650648,0.6518863795568033,2153,4834,156,1398,0.6063080822303576,0.9687374749498998
125,3566,299,1909,4746,729,5475,0.9226390685640362,0.9132059548840058,0.931707412796263,0.6513242009132421,0.6364621392011869,0.6661270158054567,0.7635974304068524,0.7520240514551729,0.7746837894599211,0.6372678038027703,0.6236987655872851,0.6509241072721147,2153,4829,156,1403,0.6054555680539933,0.9687061183550651
150,3573,292,1936,4746,763,5509,0.9244501940491591,0.9151682130590003,0.9333501656994521,0.6485750589943728,0.6336898270473809,0.6633668052530357,0.7623213142735226,0.7508011508440432,0.7734749975210276,0.6372678038027703,0.6236987655872851,0.6509241072721147,2153,4829,156,1403,0.6054555680539933,0.9687061183550651
