label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles
scale-8-wbf,20,0.3257,0.3145,0.3352,0.2335,0.2246,0.2423,0.5379,0.5237,0.5512,normal,False,0.26899383983572894,487
scale-8-wbf,30,0.3772,0.3656,0.388,0.2705,0.2601,0.2799,0.623,0.6083,0.638,normal,False,0.26899383983572894,487
scale-8-wbf,40,0.3967,0.3843,0.4075,0.2844,0.2737,0.2941,0.6552,0.6382,0.6704,normal,False,0.26899383983572894,487
scale-8-wbf,50,0.4092,0.3963,0.4194,0.2934,0.2816,0.3029,0.6759,0.6583,0.69,normal,False,0.27104722792607805,487
