condition,run,f1,precision,recall,n_detections
T0.0,1,0.5195,0.4478,0.6186,134
T0.0,10,0.5787,0.4928,0.701,138
T0.0,2,0.5236,0.4485,0.6289,136
T0.0,3,0.5236,0.4485,0.6289,136
T0.0,4,0.5787,0.4928,0.701,138
T0.0,5,0.5787,0.4928,0.701,138
T0.0,6,0.5787,0.4928,0.701,138
T0.0,7,0.5345,0.4593,0.6392,135
T0.0,8,0.5787,0.4928,0.701,138
T0.0,9,0.5787,0.4928,0.701,138
T0.3,1,0.5217,0.4511,0.6186,133
T0.3,10,0.5254,0.446,0.6392,139
T0.3,2,0.5714,0.473,0.7216,148
T0.3,3,0.5532,0.471,0.6701,138
T0.3,4,0.5738,0.4857,0.701,140
T0.3,5,0.5345,0.4593,0.6392,135
T0.3,6,0.5272,0.4437,0.6495,142
T0.3,7,0.5738,0.4857,0.701,140
T0.3,8,0.5907,0.5,0.7216,140
T0.3,9,0.5203,0.4295,0.6598,149
T0.7,1,0.4549,0.3897,0.5464,136
T0.7,10,0.4228,0.349,0.5361,149
T0.7,2,0.5,0.4296,0.5979,135
T0.7,3,0.5169,0.4388,0.6289,139
T0.7,4,0.535,0.4452,0.6701,146
T0.7,5,0.448,0.366,0.5773,153
T0.7,6,0.481,0.4071,0.5876,140
T0.7,7,0.5106,0.4348,0.6186,138
T0.7,8,0.5,0.4296,0.5979,135
T0.7,9,0.4444,0.3699,0.5567,146
T1.0,1,0.5214,0.4453,0.6289,137
T1.0,10,0.4534,0.3733,0.5773,150
T1.0,2,0.4641,0.3929,0.567,140
T1.0,3,0.432,0.3529,0.5567,153
T1.0,4,0.4066,0.3403,0.5052,144
T1.0,5,0.4603,0.3873,0.567,142
T1.0,6,0.4268,0.3592,0.5258,142
T1.0,7,0.4711,0.3931,0.5876,145
T1.0,8,0.5103,0.4247,0.6392,146
T1.0,9,0.4315,0.3611,0.5361,144
T1.3,1,0.4641,0.3929,0.567,140
T1.3,10,0.44,0.3595,0.567,153
T1.3,2,0.4527,0.3767,0.567,146
T1.3,3,0.5041,0.4161,0.6392,149
T1.3,4,0.4473,0.3786,0.5464,140
T1.3,5,0.4032,0.3311,0.5155,151
T1.3,6,0.5167,0.4336,0.6392,143
T1.3,7,0.432,0.3529,0.5567,153
T1.3,8,0.3953,0.3205,0.5155,156
T1.3,9,0.332,0.2778,0.4124,144
