cell,label,tile_px,overlap_frac,K,prob_t,min_votes,n_detections,precision,recall,f1,mcc
g512_ov064,512 px / 12.5 %,512,0.125,10,0.0,1,1402,0.2660485021398003,0.8714953271028038,0.40765027322404374,0.3602743738692594
g512_ov064,512 px / 12.5 %,512,0.125,10,0.0,2,978,0.37525562372188137,0.8574766355140186,0.5220483641536273,0.40757337603526905
g512_ov064,512 px / 12.5 %,512,0.125,10,0.0,3,802,0.442643391521197,0.8294392523364486,0.5772357723577236,0.41008010300314096
g512_ov064,512 px / 12.5 %,512,0.125,10,0.0,4,713,0.4950911640953717,0.8247663551401869,0.6187554776511832,0.4337422132785576
g512_ov064,512 px / 12.5 %,512,0.125,10,0.0,5,658,0.5334346504559271,0.8200934579439252,0.6464088397790055,0.4588823499090632
g512_ov064,512 px / 12.5 %,512,0.125,10,0.0,6,604,0.5612582781456954,0.7920560747663551,0.6569767441860466,0.47759114726089646
g512_ov064,512 px / 12.5 %,512,0.125,10,0.0,7,554,0.5938628158844765,0.7686915887850467,0.670061099796334,0.5043093147443852
g512_ov064,512 px / 12.5 %,512,0.125,10,0.0,8,507,0.6232741617357002,0.7383177570093458,0.6759358288770053,0.5383280452430411
g512_ov064,512 px / 12.5 %,512,0.125,10,0.0,9,442,0.6470588235294118,0.6682242990654206,0.6574712643678161,0.5191320740979202
g512_ov064,512 px / 12.5 %,512,0.125,10,0.0,10,359,0.7047353760445683,0.5911214953271028,0.6429479034307497,0.5093347045723593
g512_ov064,512 px / 12.5 %,512,0.125,10,0.05,1,1124,0.3309608540925267,0.8691588785046729,0.4793814432989691,0.437768909616973
g512_ov064,512 px / 12.5 %,512,0.125,10,0.05,2,799,0.4568210262828536,0.852803738317757,0.5949470252648736,0.48260227517289445
g512_ov064,512 px / 12.5 %,512,0.125,10,0.05,3,661,0.5340393343419062,0.8247663551401869,0.6483011937557392,0.5100852251704009
g512_ov064,512 px / 12.5 %,512,0.125,10,0.05,4,608,0.5773026315789473,0.8200934579439252,0.6776061776061776,0.5342756324029614
g512_ov064,512 px / 12.5 %,512,0.125,10,0.05,5,564,0.6187943262411347,0.8154205607476636,0.7036290322580645,0.5609135911004343
g512_ov064,512 px / 12.5 %,512,0.125,10,0.05,6,525,0.6419047619047619,0.7873831775700935,0.7072402938090242,0.5644936306813365
g512_ov064,512 px / 12.5 %,512,0.125,10,0.05,7,487,0.6714579055441479,0.764018691588785,0.7147540983606556,0.5604137631488472
g512_ov064,512 px / 12.5 %,512,0.125,10,0.05,8,453,0.6931567328918322,0.7336448598130841,0.7128263337116912,0.5809155766591261
g512_ov064,512 px / 12.5 %,512,0.125,10,0.05,9,399,0.7117794486215538,0.6635514018691588,0.686819830713422,0.556245446437496
g512_ov064,512 px / 12.5 %,512,0.125,10,0.05,10,331,0.7613293051359517,0.5887850467289719,0.6640316205533597,0.5570234848625187
g512_ov064,512 px / 12.5 %,512,0.125,10,0.1,1,696,0.5316091954022989,0.8644859813084113,0.6583629893238434,0.6154821743045752
g512_ov064,512 px / 12.5 %,512,0.125,10,0.1,2,541,0.6709796672828097,0.8481308411214953,0.7492260061919506,0.6468887163944731
g512_ov064,512 px / 12.5 %,512,0.125,10,0.1,3,482,0.7282157676348547,0.8200934579439252,0.7714285714285715,0.6700559971632976
g512_ov064,512 px / 12.5 %,512,0.125,10,0.1,4,457,0.7636761487964989,0.8154205607476636,0.7887005649717514,0.6901122009425859
g512_ov064,512 px / 12.5 %,512,0.125,10,0.1,5,430,0.8069767441860465,0.8107476635514018,0.8088578088578089,0.7188510272116994
g512_ov064,512 px / 12.5 %,512,0.125,10,0.1,6,401,0.8354114713216958,0.7827102803738317,0.8082026537997586,0.715243168194711
g512_ov064,512 px / 12.5 %,512,0.125,10,0.1,7,381,0.8556430446194225,0.7616822429906542,0.8059332509270705,0.7118329262152284
g512_ov064,512 px / 12.5 %,512,0.125,10,0.1,8,364,0.8598901098901099,0.7313084112149533,0.7904040404040404,0.7122243584032918
g512_ov064,512 px / 12.5 %,512,0.125,10,0.1,9,324,0.8734567901234568,0.6612149532710281,0.7526595744680852,0.6942200283193803
g512_ov064,512 px / 12.5 %,512,0.125,10,0.1,10,281,0.8932384341637011,0.5864485981308412,0.7080394922425952,0.6794066977618707
g512_ov064,512 px / 12.5 %,512,0.125,10,0.15,1,557,0.6463195691202872,0.8411214953271028,0.7309644670050761,0.7848222636845071
g512_ov064,512 px / 12.5 %,512,0.125,10,0.15,2,453,0.7792494481236203,0.8247663551401869,0.8013620885357549,0.7871005650752975
g512_ov064,512 px / 12.5 %,512,0.125,10,0.15,3,411,0.8321167883211679,0.7990654205607477,0.8152562574493444,0.7917596792792316
g512_ov064,512 px / 12.5 %,512,0.125,10,0.15,4,396,0.8560606060606061,0.7920560747663551,0.8228155339805826,0.7964426328236953
g512_ov064,512 px / 12.5 %,512,0.125,10,0.15,5,383,0.8798955613577023,0.7873831775700935,0.8310727496917385,0.7936665403820272
g512_ov064,512 px / 12.5 %,512,0.125,10,0.15,6,360,0.9027777777777778,0.7593457943925234,0.8248730964467005,0.7824957087215468
g512_ov064,512 px / 12.5 %,512,0.125,10,0.15,7,346,0.9190751445086706,0.7429906542056075,0.8217054263565893,0.7848014066283332
g512_ov064,512 px / 12.5 %,512,0.125,10,0.15,8,332,0.9216867469879518,0.7149532710280374,0.8052631578947369,0.7848014066283332
g512_ov064,512 px / 12.5 %,512,0.125,10,0.15,9,298,0.9328859060402684,0.6495327102803738,0.765840220385675,0.7520547376001488
g512_ov064,512 px / 12.5 %,512,0.125,10,0.15,10,264,0.9393939393939394,0.5794392523364486,0.7167630057803469,0.7233184930334496
g512_ov064,512 px / 12.5 %,512,0.125,10,0.2,1,543,0.6519337016574586,0.8271028037383178,0.729145211122554,0.777108198227565
g512_ov064,512 px / 12.5 %,512,0.125,10,0.2,2,442,0.7850678733031674,0.8107476635514018,0.7977011494252874,0.7833079024213783
g512_ov064,512 px / 12.5 %,512,0.125,10,0.2,3,400,0.84,0.7850467289719626,0.8115942028985507,0.7879825904613785
g512_ov064,512 px / 12.5 %,512,0.125,10,0.2,4,387,0.8604651162790697,0.7780373831775701,0.8171779141104294,0.792681319784743
g512_ov064,512 px / 12.5 %,512,0.125,10,0.2,5,376,0.8803191489361702,0.7733644859813084,0.8233830845771144,0.7899358640137388
g512_ov064,512 px / 12.5 %,512,0.125,10,0.2,6,353,0.9036827195467422,0.7453271028037384,0.8169014084507042,0.7787859459382726
g512_ov064,512 px / 12.5 %,512,0.125,10,0.2,7,339,0.9203539823008849,0.7289719626168224,0.8135593220338984,0.7811381115596777
g512_ov064,512 px / 12.5 %,512,0.125,10,0.2,8,325,0.9230769230769231,0.7009345794392523,0.796812749003984,0.7811381115596777
g512_ov064,512 px / 12.5 %,512,0.125,10,0.2,9,291,0.9347079037800687,0.6355140186915887,0.7566063977746871,0.7484451494489833
g512_ov064,512 px / 12.5 %,512,0.125,10,0.2,10,260,0.9384615384615385,0.5700934579439252,0.7093023255813953,0.7233184930334496
g512_ov064,512 px / 12.5 %,512,0.125,10,0.3,1,497,0.6800804828973843,0.7897196261682243,0.7308108108108108,0.7795225480990617
g512_ov064,512 px / 12.5 %,512,0.125,10,0.3,2,413,0.801452784503632,0.7733644859813084,0.7871581450653984,0.7766947477603513
g512_ov064,512 px / 12.5 %,512,0.125,10,0.3,3,376,0.851063829787234,0.7476635514018691,0.7960199004975125,0.7777082720743123
g512_ov064,512 px / 12.5 %,512,0.125,10,0.3,4,364,0.8708791208791209,0.7406542056074766,0.8005050505050506,0.7824957087215468
g512_ov064,512 px / 12.5 %,512,0.125,10,0.3,5,355,0.8873239436619719,0.735981308411215,0.8045977011494253,0.783615475521878
g512_ov064,512 px / 12.5 %,512,0.125,10,0.3,6,334,0.9101796407185628,0.7102803738317757,0.7979002624671916,0.7762488134259523
g512_ov064,512 px / 12.5 %,512,0.125,10,0.3,7,322,0.922360248447205,0.6939252336448598,0.7919999999999999,0.7738309208753833
g512_ov064,512 px / 12.5 %,512,0.125,10,0.3,8,311,0.9260450160771704,0.6728971962616822,0.7794316644113667,0.7738309208753833
g512_ov064,512 px / 12.5 %,512,0.125,10,0.3,9,278,0.9388489208633094,0.6098130841121495,0.7393767705382436,0.744840849536894
g512_ov064,512 px / 12.5 %,512,0.125,10,0.3,10,248,0.9395161290322581,0.544392523364486,0.6893491124260354,0.7197474027315584
g512_ov064,512 px / 12.5 %,512,0.125,10,0.35,1,496,0.6794354838709677,0.7873831775700935,0.7294372294372294,0.7795225480990617
g512_ov064,512 px / 12.5 %,512,0.125,10,0.35,2,412,0.8009708737864077,0.7710280373831776,0.7857142857142858,0.7766947477603513
g512_ov064,512 px / 12.5 %,512,0.125,10,0.35,3,375,0.8506666666666667,0.7453271028037384,0.7945205479452054,0.7777082720743123
g512_ov064,512 px / 12.5 %,512,0.125,10,0.35,4,363,0.8705234159779615,0.7383177570093458,0.7989886219974716,0.7824957087215468
g512_ov064,512 px / 12.5 %,512,0.125,10,0.35,5,354,0.8870056497175142,0.7336448598130841,0.80306905370844,0.783615475521878
g512_ov064,512 px / 12.5 %,512,0.125,10,0.35,6,333,0.9099099099099099,0.7079439252336449,0.7963206307490144,0.7762488134259523
g512_ov064,512 px / 12.5 %,512,0.125,10,0.35,7,321,0.9221183800623053,0.6915887850467289,0.7903871829105474,0.7738309208753833
g512_ov064,512 px / 12.5 %,512,0.125,10,0.35,8,310,0.9258064516129032,0.6705607476635514,0.7777777777777777,0.7738309208753833
g512_ov064,512 px / 12.5 %,512,0.125,10,0.35,9,277,0.9386281588447654,0.6074766355140186,0.7375886524822696,0.744840849536894
g512_ov064,512 px / 12.5 %,512,0.125,10,0.35,10,247,0.9392712550607287,0.5420560747663551,0.6874074074074075,0.7197474027315584
g512_ov064,512 px / 12.5 %,512,0.125,10,0.4,1,494,0.680161943319838,0.7850467289719626,0.7288503253796096,0.7804502712102493
g512_ov064,512 px / 12.5 %,512,0.125,10,0.4,2,410,0.802439024390244,0.7686915887850467,0.7852028639618138,0.7777082720743123
g512_ov064,512 px / 12.5 %,512,0.125,10,0.4,3,374,0.8502673796791443,0.7429906542056075,0.7930174563591021,0.7739823400126554
g512_ov064,512 px / 12.5 %,512,0.125,10,0.4,4,362,0.8701657458563536,0.735981308411215,0.7974683544303799,0.7787859459382726
g512_ov064,512 px / 12.5 %,512,0.125,10,0.4,5,353,0.886685552407932,0.7313084112149533,0.8015364916773368,0.7799288466017947
g512_ov064,512 px / 12.5 %,512,0.125,10,0.4,6,332,0.9096385542168675,0.705607476635514,0.7947368421052632,0.7725752371093657
g512_ov064,512 px / 12.5 %,512,0.125,10,0.4,7,320,0.921875,0.6892523364485982,0.7887700534759359,0.7701867524338109
g512_ov064,512 px / 12.5 %,512,0.125,10,0.4,8,309,0.9255663430420712,0.6682242990654206,0.7761194029850745,0.7701867524338109
g512_ov064,512 px / 12.5 %,512,0.125,10,0.4,9,276,0.9384057971014492,0.6051401869158879,0.7357954545454546,0.7412417020998369
g512_ov064,512 px / 12.5 %,512,0.125,10,0.4,10,246,0.9390243902439024,0.5397196261682243,0.685459940652819,0.7161805104994737
g512_ov064,512 px / 12.5 %,512,0.125,10,0.65,1,476,0.6848739495798319,0.7616822429906542,0.7212389380530974,0.7713863427605093
g512_ov064,512 px / 12.5 %,512,0.125,10,0.65,2,394,0.8096446700507615,0.7453271028037384,0.7761557177615572,0.7689079789889651
g512_ov064,512 px / 12.5 %,512,0.125,10,0.65,3,359,0.8551532033426184,0.7172897196261683,0.7801778907242695,0.7652469005923367
