threshold,n_accepted,precision,recall,f1,f1_ci_lower,f1_ci_upper,p_ci_lower,p_ci_upper,r_ci_lower,r_ci_upper
0.0,1626,0.246,0.9195,0.3882,0.3355,0.4363,0.2052,0.2853,0.8924,0.9449
0.05,1173,0.3359,0.9057,0.49,0.4349,0.5368,0.2869,0.3821,0.8761,0.9344
0.1,801,0.4906,0.9034,0.6359,0.5884,0.6751,0.4384,0.5369,0.8731,0.9332
0.15,565,0.669,0.869,0.756,0.7202,0.7893,0.6247,0.7107,0.8309,0.9045
0.2,557,0.6768,0.8667,0.7601,0.7235,0.7938,0.6333,0.719,0.8288,0.9005
0.25,508,0.6949,0.8115,0.7487,0.7123,0.7827,0.6529,0.7375,0.7682,0.8519
0.3,508,0.6949,0.8115,0.7487,0.7123,0.7827,0.6529,0.7375,0.7682,0.8519
0.35,505,0.697,0.8092,0.7489,0.7128,0.7838,0.6541,0.7405,0.7667,0.8495
0.4,505,0.697,0.8092,0.7489,0.7128,0.7838,0.6541,0.7405,0.7667,0.8495
0.45,475,0.7116,0.777,0.7429,0.7056,0.779,0.6681,0.7564,0.7323,0.8233
0.5,475,0.7116,0.777,0.7429,0.7056,0.779,0.6681,0.7564,0.7323,0.8233
0.55,475,0.7116,0.777,0.7429,0.7056,0.779,0.6681,0.7564,0.7323,0.8233
0.6,475,0.7116,0.777,0.7429,0.7056,0.779,0.6681,0.7564,0.7323,0.8233
0.65,475,0.7116,0.777,0.7429,0.7056,0.779,0.6681,0.7564,0.7323,0.8233
0.7,474,0.7131,0.777,0.7437,0.7066,0.7793,0.6694,0.7564,0.7328,0.8234
0.75,473,0.7146,0.777,0.7445,0.7074,0.78,0.6708,0.7584,0.7325,0.8234
0.8,467,0.7173,0.7701,0.7428,0.704,0.7791,0.674,0.7606,0.7239,0.8173
0.85,467,0.7173,0.7701,0.7428,0.704,0.7791,0.674,0.7606,0.7239,0.8173
0.9,418,0.7201,0.692,0.7057,0.665,0.7438,0.6731,0.7657,0.6444,0.7436
0.95,413,0.724,0.6874,0.7052,0.664,0.7447,0.6763,0.7714,0.6389,0.7403
1.0,285,0.7368,0.4828,0.5833,0.531,0.6273,0.6836,0.7901,0.4319,0.5322
