tier,rank,condition,f1,tier_f1_min,tier_f1_max
1,1,flash-high-text-16-of-30--flash-min-vf (t=0.2),0.904368,0.884977,0.904368
1,2,flash-high-text-4-of-5--flash-min-vf (t=0.15),0.890777,0.884977,0.904368
1,3,flash-high-text-4-of-5--flash-medium-vf (t=0.95),0.884977,0.884977,0.904368
2,4,flash-high-text-9-of-10--flash-min-vf (t=0.2),0.869123,0.851064,0.869123
2,5,pro-high-text-3-of-5--flash-min-vf (t=0.15),0.86445,0.851064,0.869123
2,6,"pro-high-text N=5 N=5, 3-of-5",0.855362,0.851064,0.869123
2,7,flash-high-image-3-of-5--flash-min-vf (t=0.15),0.851064,0.851064,0.869123
3,8,text-baseline--flash-min-vf (t=0.15),0.832036,0.79915,0.832036
3,9,"flash-high-text N=30 N=30, 26-of-30",0.825882,0.79915,0.832036
3,10,"pro-high-image N=5 N=5, 3-of-5",0.821192,0.79915,0.832036
3,11,"flash-high-image N=10 N=10, 6-of-10",0.811594,0.79915,0.832036
3,12,"flash-high-text N=10 N=10, 9-of-10",0.810624,0.79915,0.832036
3,13,"flash-high-image N=5 N=5, 3-of-5",0.79915,0.79915,0.832036
4,14,"flash-high-text N=5 N=5, 5-of-5",0.788235,0.782241,0.788235
4,15,image-baseline--flash-min-vf (t=0.2),0.782241,0.782241,0.788235
5,16,"flash-min-image N=10 N=10, 6-of-10",0.733202,0.724426,0.733202
5,17,"flash-min-image N=5 N=5, 4-of-5",0.724426,0.724426,0.733202
6,18,"flash-min-text-t07 N=30 N=30, 29-of-30",0.66943,0.647059,0.66943
6,19,"flash-min-text-t07 N=5 N=5, 5-of-5",0.647059,0.647059,0.66943
7,20,"flash-min-text-t07 N=10 N=10, 10-of-10",0.641206,0.641206,0.641206
8,21,"single-pass-t0 N=10 N=10, 10-of-10",0.562641,0.554113,0.562641
8,22,"single-pass-t0 N=5 N=5, 5-of-5",0.554113,0.554113,0.562641
