rank,condition,tier,f1,precision,recall,n_detections
1,flash-high-text-16-of-30--flash-min-vf (t=0.2),1,0.904368,0.929612,0.88046,412
2,flash-high-text-4-of-5--flash-min-vf (t=0.15),1,0.890777,0.943445,0.843678,389
3,flash-high-text-4-of-5--flash-medium-vf (t=0.95),1,0.884977,0.904077,0.866667,417
4,flash-high-text-9-of-10--flash-min-vf (t=0.2),2,0.869123,0.971591,0.786207,352
5,pro-high-text-3-of-5--flash-min-vf (t=0.15),2,0.86445,0.974063,0.777011,347
6,"pro-high-text N=5 N=5, 3-of-5",2,0.855362,0.934605,0.788506,367
7,flash-high-image-3-of-5--flash-min-vf (t=0.15),2,0.851064,0.875912,0.827586,411
8,text-baseline--flash-min-vf (t=0.15),3,0.832036,0.806034,0.85977,464
9,"flash-high-text N=30 N=30, 26-of-30",3,0.825882,0.845783,0.806897,415
10,"pro-high-image N=5 N=5, 3-of-5",3,0.821192,0.789809,0.855172,471
11,"flash-high-image N=10 N=10, 6-of-10",3,0.811594,0.787879,0.836782,462
12,"flash-high-text N=10 N=10, 9-of-10",3,0.810624,0.814385,0.806897,431
13,"flash-high-image N=5 N=5, 3-of-5",3,0.79915,0.743083,0.864368,506
14,"flash-high-text N=5 N=5, 5-of-5",4,0.788235,0.807229,0.770115,415
15,image-baseline--flash-min-vf (t=0.2),4,0.782241,0.72407,0.850575,511
16,"flash-min-image N=10 N=10, 6-of-10",5,0.733202,0.642981,0.852874,577
17,"flash-min-image N=5 N=5, 4-of-5",5,0.724426,0.66348,0.797701,523
18,"flash-min-text-t07 N=30 N=30, 29-of-30",6,0.66943,0.609434,0.742529,530
19,"flash-min-text-t07 N=5 N=5, 5-of-5",6,0.647059,0.539051,0.809195,653
20,"flash-min-text-t07 N=10 N=10, 10-of-10",7,0.641206,0.569643,0.733333,560
21,"single-pass-t0 N=10 N=10, 10-of-10",8,0.562641,0.417595,0.862069,898
22,"single-pass-t0 N=5 N=5, 5-of-5",8,0.554113,0.403785,0.882759,951
