experiment,config,group,proposer_f1,proposer_ci_lower,proposer_ci_upper,proposer_precision,proposer_recall,pv_f1,pv_ci_lower,pv_ci_upper,pv_precision,pv_recall,pv_threshold,pv_n_accepted,delta_f1
02-canonical-last,text T0.0 run_3,A,0.6032,0.5484,0.6559,0.4853,0.7987,0.7194,0.6743,0.7614,0.6981,0.7421,0.20,573,+0.1162
03-high-text-t0.3,HIGH text T0.3,A,0.4982,0.4428,0.5488,0.3639,0.7923,0.7249,0.6792,0.7691,0.6908,0.7625,0.20,595,+0.2267
04-rep-high,rep HIGH,A,0.4413,0.3821,0.5067,0.3106,0.7659,0.6934,0.6456,0.7420,0.6551,0.7365,0.20,606,+0.2521
05-image-terse,image T0.0 N=1,A,0.5844,0.5411,0.6326,0.4947,0.7145,0.6799,0.6392,0.7183,0.6631,0.6976,0.15,567,+0.0955
06-text-1of10,text-1of10,B,0.4225,0.3612,0.4798,0.2797,0.8690,0.7371,0.6943,0.7787,0.6682,0.8219,0.20,663,+0.3146
07-text-2of10,text-2of10,B,0.5596,0.4959,0.6158,0.4159,0.8578,0.8066,0.7654,0.8466,0.7971,0.8163,0.20,552,+0.2470
08-text-3of10,text-3of10,B,0.6129,0.5525,0.6675,0.4816,0.8449,0.8227,0.7838,0.8598,0.8411,0.8052,0.15,516,+0.2098
09-text-5of10,text-5of10,B,0.6658,0.6093,0.7174,0.5607,0.8208,0.8314,0.7894,0.8699,0.8815,0.7866,0.15,481,+0.1656
10-image-1of10,image-1of10,B,0.3921,0.3549,0.4311,0.2587,0.8114,0.5519,0.5112,0.5900,0.4420,0.7347,0.35,896,+0.1598
11-image-2of10,image-2of10,B,0.5163,0.4735,0.5573,0.3868,0.7777,0.6348,0.5932,0.6768,0.5557,0.7403,0.20,718,+0.1185
12-image-3of10,image-3of10,B,0.5794,0.5323,0.6228,0.4738,0.7463,0.6684,0.6243,0.7110,0.6310,0.7106,0.15,607,+0.0890
13-image-5of10,image-5of10,B,0.6467,0.6020,0.6936,0.5894,0.7170,0.7124,0.6660,0.7554,0.7425,0.6846,0.15,497,+0.0657
14-rep-min-1of10,rep-min-1of10,B,0.4340,0.3716,0.4961,0.2905,0.8630,0.7423,0.7017,0.7848,0.6742,0.8256,0.20,660,+0.3083
15-text-t0.7,text T0.7 N=1,A,0.5819,0.5212,0.6355,0.4609,0.7912,0.7678,0.7207,0.8099,0.7750,0.7607,0.15,529,+0.1859
16-text-t1.0,text T1.0 N=1,A,0.5106,0.4316,0.5827,0.3908,0.7413,0.7163,0.6680,0.7591,0.7183,0.7143,0.20,536,+0.2057
17-image-t0.0,image T0.0 N=1,A,0.5844,0.5411,0.6326,0.4947,0.7145,0.6679,0.6236,0.7125,0.6554,0.6809,0.15,560,+0.0835
18-high-text-t0.7,HIGH text T0.7,A,0.4336,0.3775,0.4918,0.3047,0.7548,0.6853,0.6415,0.7261,0.6898,0.6809,0.40,532,+0.2517
19-brief-text,brief-text N=1,A,0.5384,0.4768,0.5947,0.4188,0.7559,0.7331,0.6813,0.7769,0.7429,0.7236,0.20,525,+0.1947
20-image-t0.7-n1,image T0.7 N=1,A,0.5348,0.4892,0.5801,0.4512,0.6572,0.6350,0.5870,0.6825,0.6146,0.6568,0.20,576,+0.1002
21-text-25of30,text-25of30,C,0.6843,0.6320,0.7351,0.6547,0.7177,0.7941,0.7520,0.8343,0.9280,0.6939,0.15,403,+0.1098
22-text-1of30,text-1of30,C,0.3231,0.2672,0.3786,0.1981,0.8840,0.6630,0.6218,0.7040,0.5720,0.7885,0.25,743,+0.3399
23-image-20of30,image-20of30,C,0.6758,0.6340,0.7186,0.6998,0.6539,0.7187,0.6755,0.7611,0.8317,0.6327,0.20,410,+0.0429
24-image-1of30,image-1of30,C,0.2892,0.2538,0.3262,0.1745,0.8471,0.4779,0.4407,0.5191,0.3568,0.7236,0.80,1093,+0.1887
25-high-20of30,high-20of30,C,0.7602,0.7140,0.8042,0.7538,0.7674,0.8188,0.7763,0.8561,0.9132,0.7421,0.15,438,+0.0586
26-high-25of30,high-25of30,C,0.7620,0.7169,0.8057,0.8641,0.6822,0.7852,0.7377,0.8291,0.9524,0.6679,0.15,378,+0.0232
