dataset,map_name,buffer_m,n_tiles,n_refs,n_dets,precision,recall,f1
55-map,K-35-042-3,20,156,18,24,0.5417,0.7222,0.619
55-map,K-35-042-3,30,156,18,24,0.5833,0.7778,0.6667
55-map,K-35-042-3,40,156,18,24,0.625,0.8333,0.7143
55-map,K-35-042-3,50,156,18,24,0.625,0.8333,0.7143
55-map,K-35-050-4,20,156,165,162,0.5741,0.5636,0.5688
55-map,K-35-050-4,30,156,165,162,0.7593,0.7455,0.7523
55-map,K-35-050-4,40,156,165,162,0.8086,0.7939,0.8012
55-map,K-35-050-4,50,156,165,162,0.8519,0.8364,0.844
55-map,K-35-051-3,20,156,156,126,0.4841,0.391,0.4326
55-map,K-35-051-3,30,156,156,126,0.7063,0.5705,0.6312
55-map,K-35-051-3,40,156,156,126,0.7857,0.6346,0.7021
55-map,K-35-051-3,50,156,156,126,0.8254,0.6667,0.7376
55-map,K-35-051-4,20,156,100,90,0.5444,0.49,0.5158
55-map,K-35-051-4,30,156,100,90,0.7,0.63,0.6632
55-map,K-35-051-4,40,156,100,90,0.8111,0.73,0.7684
55-map,K-35-051-4,50,156,100,90,0.8444,0.76,0.8
55-map,K-35-052-2,20,156,79,70,0.4857,0.4304,0.4564
55-map,K-35-052-2,30,156,79,70,0.6714,0.5949,0.6309
55-map,K-35-052-2,40,156,79,70,0.7143,0.6329,0.6711
55-map,K-35-052-2,50,156,79,70,0.7429,0.6582,0.698
55-map,K-35-052-3,20,156,116,104,0.4327,0.3879,0.4091
55-map,K-35-052-3,30,156,116,104,0.6442,0.5776,0.6091
55-map,K-35-052-3,40,156,116,104,0.7404,0.6638,0.7
55-map,K-35-052-3,50,156,116,104,0.7885,0.7069,0.7455
55-map,K-35-053-1,20,156,61,53,0.4528,0.3934,0.4211
55-map,K-35-053-1,30,156,61,53,0.5849,0.5082,0.5439
55-map,K-35-053-1,40,156,61,53,0.6981,0.6066,0.6491
55-map,K-35-053-1,50,156,61,53,0.7358,0.6393,0.6842
55-map,K-35-053-2,20,156,124,112,0.6339,0.5726,0.6017
55-map,K-35-053-2,30,156,124,112,0.7589,0.6855,0.7203
55-map,K-35-053-2,40,156,124,112,0.8125,0.7339,0.7712
55-map,K-35-053-2,50,156,124,112,0.8304,0.75,0.7881
55-map,K-35-053-4_Boyadzhik,20,156,101,99,0.4747,0.4653,0.47
55-map,K-35-053-4_Boyadzhik,30,156,101,99,0.7778,0.7624,0.77
55-map,K-35-053-4_Boyadzhik,40,156,101,99,0.8182,0.802,0.81
55-map,K-35-053-4_Boyadzhik,50,156,101,99,0.8182,0.802,0.81
55-map,K-35-054-1_Straldzha_4326,20,156,116,129,0.5349,0.5948,0.5633
55-map,K-35-054-1_Straldzha_4326,30,156,116,129,0.6977,0.7759,0.7347
55-map,K-35-054-1_Straldzha_4326,40,156,116,129,0.7519,0.8362,0.7918
55-map,K-35-054-1_Straldzha_4326,50,156,116,129,0.7674,0.8534,0.8082
55-map,K-35-054-2_Atolov_4326,20,156,120,130,0.5,0.5417,0.52
55-map,K-35-054-2_Atolov_4326,30,156,120,130,0.6923,0.75,0.72
55-map,K-35-054-2_Atolov_4326,40,156,120,130,0.7538,0.8167,0.784
55-map,K-35-054-2_Atolov_4326,50,156,120,130,0.7923,0.8583,0.824
55-map,K-35-054-3_Yambol,20,156,105,97,0.5361,0.4952,0.5149
55-map,K-35-054-3_Yambol,30,156,105,97,0.7113,0.6571,0.6832
55-map,K-35-054-3_Yambol,40,156,105,97,0.7835,0.7238,0.7525
55-map,K-35-054-3_Yambol,50,156,105,97,0.7938,0.7333,0.7624
55-map,K-35-054-4_Voynika,20,156,110,106,0.6887,0.6636,0.6759
55-map,K-35-054-4_Voynika,30,156,110,106,0.8208,0.7909,0.8056
55-map,K-35-054-4_Voynika,40,156,110,106,0.8585,0.8273,0.8426
55-map,K-35-054-4_Voynika,50,156,110,106,0.8585,0.8273,0.8426
55-map,K-35-055-1,20,156,116,130,0.5846,0.6552,0.6179
55-map,K-35-055-1,30,156,116,130,0.7538,0.8448,0.7967
55-map,K-35-055-1,40,156,116,130,0.8231,0.9224,0.8699
55-map,K-35-055-1,50,156,116,130,0.8231,0.9224,0.8699
55-map,K-35-055-2,20,156,86,86,0.6395,0.6395,0.6395
55-map,K-35-055-2,30,156,86,86,0.7907,0.7907,0.7907
55-map,K-35-055-2,40,156,86,86,0.814,0.814,0.814
55-map,K-35-055-2,50,156,86,86,0.8488,0.8488,0.8488
55-map,K-35-055-3,20,156,101,91,0.5385,0.4851,0.5104
55-map,K-35-055-3,30,156,101,91,0.7582,0.6832,0.7187
55-map,K-35-055-3,40,156,101,91,0.8132,0.7327,0.7708
55-map,K-35-055-3,50,156,101,91,0.8462,0.7624,0.8021
55-map,K-35-055-4,20,156,77,73,0.3699,0.3506,0.36
55-map,K-35-055-4,30,156,77,73,0.6849,0.6494,0.6667
55-map,K-35-055-4,40,156,77,73,0.7671,0.7273,0.7467
55-map,K-35-055-4,50,156,77,73,0.7808,0.7403,0.76
55-map,K-35-056-3,20,156,18,19,0.3158,0.3333,0.3243
55-map,K-35-056-3,30,156,18,19,0.6316,0.6667,0.6486
55-map,K-35-056-3,40,156,18,19,0.6842,0.7222,0.7027
55-map,K-35-056-3,50,156,18,19,0.6842,0.7222,0.7027
55-map,K-35-062-4_Asenovgrad_4326,20,156,73,75,0.5067,0.5205,0.5135
55-map,K-35-062-4_Asenovgrad_4326,30,156,73,75,0.6533,0.6712,0.6622
55-map,K-35-062-4_Asenovgrad_4326,40,156,73,75,0.72,0.7397,0.7297
55-map,K-35-062-4_Asenovgrad_4326,50,156,73,75,0.7333,0.7534,0.7432
55-map,K-35-063-1_Granit_4326,20,156,246,257,0.4825,0.5041,0.493
55-map,K-35-063-1_Granit_4326,30,156,246,257,0.6693,0.6992,0.6839
