condition,run,f1,precision,recall,n_detections
pure-positive-canon,1,0.6133,0.5391,0.7113,128
pure-positive-canon,10,0.5956,0.5234,0.6907,128
pure-positive-canon,2,0.5956,0.5234,0.6907,128
pure-positive-canon,3,0.5956,0.5234,0.6907,128
pure-positive-canon,4,0.6133,0.5391,0.7113,128
pure-positive-canon,5,0.6133,0.5391,0.7113,128
pure-positive-canon,6,0.5956,0.5234,0.6907,128
pure-positive-canon,7,0.6133,0.5391,0.7113,128
pure-positive-canon,8,0.5956,0.5234,0.6907,128
pure-positive-canon,9,0.5956,0.5234,0.6907,128
pure-positive-2hp,1,0.5714,0.4925,0.6804,134
pure-positive-2hp,10,0.5714,0.4925,0.6804,134
pure-positive-2hp,2,0.6026,0.5227,0.7113,132
pure-positive-2hp,3,0.5714,0.4925,0.6804,134
pure-positive-2hp,4,0.5714,0.4925,0.6804,134
pure-positive-2hp,5,0.5714,0.4925,0.6804,134
pure-positive-2hp,6,0.5714,0.4925,0.6804,134
pure-positive-2hp,7,0.5714,0.4925,0.6804,134
pure-positive-2hp,8,0.5714,0.4925,0.6804,134
pure-positive-2hp,9,0.5714,0.4925,0.6804,134
pure-positive-4hp,1,0.5502,0.4773,0.6495,132
pure-positive-4hp,10,0.5502,0.4773,0.6495,132
pure-positive-4hp,2,0.5502,0.4773,0.6495,132
pure-positive-4hp,3,0.5502,0.4773,0.6495,132
pure-positive-4hp,4,0.5502,0.4773,0.6495,132
pure-positive-4hp,5,0.5502,0.4773,0.6495,132
pure-positive-4hp,6,0.5502,0.4773,0.6495,132
pure-positive-4hp,7,0.5502,0.4773,0.6495,132
pure-positive-4hp,8,0.5502,0.4773,0.6495,132
pure-positive-4hp,9,0.5502,0.4773,0.6495,132
