variant,optimal_threshold,n_accepted,precision,recall,f1,f1_ci_lower,f1_ci_upper
h11-384-pv-diagnostic/pro-image-flash-verifier,0.1,485,0.5876,0.6552,0.6196,0.5723,0.6645
h11-384-pv-diagnostic/pro-image-pro-verifier,0.05,463,0.6091,0.6483,0.6281,0.5804,0.6756
