R_m,TP,FP,FN,n_ref_student_only,n_reviewer_promoted_at_R,n_ref_extended,precision,precision_CI_lo,precision_CI_hi,recall,recall_CI_lo,recall_CI_hi,F1,F1_CI_lo,F1_CI_hi
50,3530,335,1490,4746,274,5020,0.9133247089262613,0.9033967373274947,0.9228766303691172,0.703187250996016,0.6881349324346648,0.7179812619808481,0.7945976364659539,0.7832688026524474,0.8054350854942711
75,3549,316,1500,4746,303,5049,0.9182406209573092,0.9085316929660336,0.9274420136986248,0.70291146761735,0.687885671746437,0.7176119912588094,0.7962755216513351,0.7850076271647243,0.8069596379334557
100,3557,308,1505,4746,316,5062,0.9203104786545925,0.9107282346358451,0.9294388546789879,0.7026866851047017,0.6877127554392996,0.7173828899715924,0.79690825585303,0.7856753557331317,0.8075296808598679
125,3561,304,1509,4746,324,5070,0.9213454075032341,0.9117965085540765,0.9304735705471,0.7023668639053254,0.6874036010598621,0.7169813087745214,0.7970900951315054,0.7858475076736073,0.80782805755744
150,3569,296,1514,4746,337,5083,0.9234152652005174,0.9140397610985003,0.93241860359197,0.7021444029116664,0.6871703965686219,0.7167649311604853,0.7977201609298167,0.7864706489088181,0.808368458904827
