temperature,pool_size,threshold,f1,precision,recall,f1_ci_lo,f1_ci_hi,p_ci_lo,p_ci_hi,r_ci_lo,r_ci_hi,n_detections
image-t0.7,5,1,0.571,0.4351,0.8306,0.5271,0.6163,0.3919,0.4828,0.7782,0.8756,841
image-t0.7,5,2,0.6726,0.5906,0.781,0.6192,0.7266,0.5351,0.6498,0.7213,0.8352,583
image-t0.7,5,3,0.7031,0.6667,0.7438,0.6469,0.7578,0.6056,0.725,0.6783,0.8089,471
image-t0.7,5,4,0.7011,0.7309,0.6736,0.6434,0.7586,0.6702,0.7906,0.6023,0.7472,391
image-t0.7,5,5,0.6538,0.7895,0.5579,0.5942,0.7111,0.7236,0.8487,0.4911,0.6288,297
