label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles
r3-hp-heavy-greedy-t1,20,0.2683,0.2599,0.277,0.1726,0.1662,0.1789,0.6023,0.5865,0.6172,normal,False,0.27104722792607805,487
r3-hp-heavy-greedy-t1,30,0.298,0.289,0.307,0.1917,0.1849,0.1987,0.669,0.6512,0.6826,normal,False,0.2731006160164271,487
r3-hp-heavy-greedy-t1,40,0.3041,0.295,0.3129,0.1957,0.1888,0.2028,0.6828,0.6646,0.6972,normal,False,0.2751540041067762,487
r3-hp-heavy-greedy-t1,50,0.3072,0.2979,0.316,0.1976,0.1907,0.2046,0.6897,0.672,0.7036,normal,False,0.2751540041067762,487
