label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles
consensus_t3,5,0.0845,0.081,0.0876,0.052,0.0496,0.0541,0.2263,0.219,0.2325,0.0543,0.03,0.0708,0.9755,0.0441,normal,False,0.026470588235294117,340
consensus_t3,10,0.2315,0.2251,0.2384,0.1423,0.1377,0.1472,0.6197,0.6102,0.6295,0.0543,0.03,0.0708,0.9755,0.0441,normal,False,0.029411764705882353,340
consensus_t3,15,0.3056,0.2979,0.3138,0.1879,0.1823,0.194,0.8182,0.81,0.8247,0.0543,0.03,0.0708,0.9755,0.0441,normal,False,0.03235294117647059,340
consensus_t3,20,0.3326,0.3239,0.3412,0.2045,0.1982,0.2109,0.8905,0.8841,0.8969,0.0543,0.03,0.0708,0.9755,0.0441,normal,False,0.03235294117647059,340
consensus_t3,25,0.3444,0.336,0.3529,0.2118,0.2055,0.2181,0.9221,0.9182,0.9273,0.0543,0.03,0.0708,0.9755,0.0441,normal,False,0.03235294117647059,340
consensus_t3,30,0.3493,0.3405,0.3577,0.2147,0.2083,0.221,0.9351,0.9311,0.9401,0.0543,0.03,0.0708,0.9755,0.0441,normal,False,0.03235294117647059,340
consensus_t3,35,0.3541,0.3452,0.3625,0.2177,0.2113,0.2241,0.9481,0.9445,0.952,0.0543,0.03,0.0708,0.9755,0.0441,normal,False,0.03235294117647059,340
consensus_t3,40,0.3576,0.3491,0.3661,0.2199,0.2137,0.2263,0.9573,0.9543,0.9607,0.0543,0.03,0.0708,0.9755,0.0441,normal,False,0.03235294117647059,340
consensus_t3,45,0.3583,0.3495,0.3667,0.2203,0.2139,0.2266,0.9592,0.9561,0.9623,0.0543,0.03,0.0708,0.9755,0.0441,normal,False,0.03235294117647059,340
consensus_t3,50,0.359,0.3506,0.3673,0.2207,0.2145,0.2269,0.961,0.9581,0.964,0.0543,0.03,0.0708,0.9755,0.0441,normal,False,0.03235294117647059,340
consensus_t3,75,0.3611,0.3529,0.3698,0.222,0.2159,0.2285,0.9666,0.9639,0.9693,0.0543,0.03,0.0708,0.9755,0.0441,normal,False,0.03235294117647059,340
consensus_t3,100,0.3617,0.3537,0.3702,0.2224,0.2164,0.2288,0.9685,0.9662,0.971,0.0543,0.03,0.0708,0.9755,0.0441,normal,False,0.03235294117647059,340
consensus_t3,125,0.3617,0.3537,0.3702,0.2224,0.2164,0.2288,0.9685,0.9662,0.971,0.0543,0.03,0.0708,0.9755,0.0441,normal,False,0.03235294117647059,340
consensus_t3,150,0.3624,0.3544,0.371,0.2228,0.2167,0.2292,0.9703,0.9679,0.9727,0.0543,0.03,0.0708,0.9755,0.0441,normal,False,0.03235294117647059,340
