cell,config,k,R_m,TP,FP,FN,n_ref_student,n_extension,n_ref_extended,precision,recall,F1,F1_CI_lo,F1_CI_hi,MCC,MCC_CI_lo,MCC_CI_hi
TH7-k4,text-high-T0.7,4,5,543,3621,4467,4731,279,5010,0.1304034582132565,0.10838323353293414,0.11837802485284502,0.10824955486336998,0.1282543955732501,0.6650417680321745,0.6512765309927131,0.6786447237950596
TH7-k4,text-high-T0.7,4,10,1534,2630,3476,4731,279,5010,0.36839577329490875,0.306187624750499,0.33442337039459347,0.31958508502497956,0.34920350041571774,0.6650417680321745,0.6512765309927131,0.6786447237950596
TH7-k4,text-high-T0.7,4,15,2436,1728,2574,4731,279,5010,0.5850144092219021,0.48622754491017967,0.5310660562459124,0.5161504299305668,0.5461358024989731,0.6650417680321745,0.6512765309927131,0.6786447237950596
TH7-k4,text-high-T0.7,4,20,3054,1110,1956,4731,279,5010,0.7334293948126801,0.6095808383233533,0.6657946370176586,0.6518006375756702,0.6794018811475411,0.6650417680321745,0.6512765309927131,0.6786447237950596
TH7-k4,text-high-T0.7,4,25,3400,764,1610,4731,279,5010,0.8165225744476465,0.6786427145708582,0.7412252016568563,0.7288022601316172,0.7532554758283292,0.6650417680321745,0.6512765309927131,0.6786447237950596
TH7-k4,text-high-T0.7,4,30,3602,562,1408,4731,279,5010,0.8650336215177714,0.7189620758483034,0.7852626989317637,0.7739634023959642,0.7961100709929175,0.6650417680321745,0.6512765309927131,0.6786447237950596
TH7-k4,text-high-T0.7,4,35,3692,472,1318,4731,279,5010,0.8866474543707973,0.7369261477045909,0.8048833660344452,0.7944110380637326,0.815166975658405,0.6650417680321745,0.6512765309927131,0.6786447237950596
TH7-k4,text-high-T0.7,4,40,3724,440,1286,4731,279,5010,0.8943323727185398,0.743313373253493,0.8118596032265097,0.8014736362504348,0.8220715772825838,0.6650417680321745,0.6512765309927131,0.6786447237950596
TH7-k4,text-high-T0.7,4,45,3740,424,1270,4731,279,5010,0.8981748318924111,0.7465069860279441,0.8153477218225419,0.8050141318169822,0.8253563071686875,0.6650417680321745,0.6512765309927131,0.6786447237950596
TH7-k4,text-high-T0.7,4,50,3747,417,1263,4731,279,5010,0.8998559077809798,0.7479041916167665,0.816873773708306,0.8066140768546703,0.8267593113908174,0.6650417680321745,0.6512765309927131,0.6786447237950596
TH7-k4,text-high-T0.7,4,75,3755,409,1255,4731,279,5010,0.9017771373679154,0.7495009980039921,0.8186178330063223,0.8083963879709936,0.82847117505376,0.6650417680321745,0.6512765309927131,0.6786447237950596
TH7-k4,text-high-T0.7,4,100,3763,401,1247,4731,279,5010,0.9036983669548511,0.7510978043912175,0.8203618923043382,0.8101405266800744,0.8301366124520883,0.6650417680321745,0.6512765309927131,0.6786447237950596
TH7-k4,text-high-T0.7,4,125,3767,397,1243,4731,279,5010,0.9046589817483189,0.7518962075848303,0.8212339219533464,0.811039426187535,0.8310261757385549,0.6650417680321745,0.6512765309927131,0.6786447237950596
TH7-k4,text-high-T0.7,4,150,3770,394,1240,4731,279,5010,0.9053794428434198,0.7524950099800399,0.8218879441901025,0.811663045240563,0.831629352411428,0.6650417680321745,0.6512765309927131,0.6786447237950596
TH7-k3,text-high-T0.7,3,5,570,4216,4440,4731,279,5010,0.11909736732135395,0.11377245508982035,0.11637403021641486,0.10663942397561513,0.1258245855146864,0.679608597108498,0.6657265917608526,0.6932904430579462
TH7-k3,text-high-T0.7,3,10,1645,3141,3365,4731,279,5010,0.34371082323443375,0.3283433133732535,0.33585136790526743,0.32155277137127297,0.350171979530936,0.679608597108498,0.6657265917608526,0.6932904430579462
TH7-k3,text-high-T0.7,3,15,2623,2163,2387,4731,279,5010,0.5480568324279147,0.5235528942115768,0.5355247039608002,0.5208616614201687,0.5500106289129458,0.679608597108498,0.6657265917608526,0.6932904430579462
