threshold,n_accepted,precision,recall,f1,f1_ci_lower,f1_ci_upper,p_ci_lower,p_ci_upper,r_ci_lower,r_ci_upper
0.0,580,0.5759,0.7678,0.6581,0.6163,0.6981,0.5326,0.6172,0.723,0.8098
0.05,521,0.6219,0.7448,0.6778,0.6356,0.7166,0.5785,0.664,0.6981,0.7894
0.1,521,0.6219,0.7448,0.6778,0.6356,0.7166,0.5785,0.664,0.6981,0.7894
0.15,513,0.6257,0.7379,0.6772,0.6344,0.717,0.5833,0.6707,0.6905,0.7838
0.2,513,0.6257,0.7379,0.6772,0.6344,0.717,0.5833,0.6707,0.6905,0.7838
0.25,513,0.6257,0.7379,0.6772,0.6344,0.717,0.5833,0.6707,0.6905,0.7838
0.3,513,0.6257,0.7379,0.6772,0.6344,0.717,0.5833,0.6707,0.6905,0.7838
0.35,513,0.6257,0.7379,0.6772,0.6344,0.717,0.5833,0.6707,0.6905,0.7838
0.4,513,0.6257,0.7379,0.6772,0.6344,0.717,0.5833,0.6707,0.6905,0.7838
0.45,512,0.625,0.7356,0.6758,0.6333,0.7157,0.5818,0.6699,0.6867,0.782
0.5,512,0.625,0.7356,0.6758,0.6333,0.7157,0.5818,0.6699,0.6867,0.782
0.55,512,0.625,0.7356,0.6758,0.6333,0.7157,0.5818,0.6699,0.6867,0.782
0.6,512,0.625,0.7356,0.6758,0.6333,0.7157,0.5818,0.6699,0.6867,0.782
0.65,512,0.625,0.7356,0.6758,0.6333,0.7157,0.5818,0.6699,0.6867,0.782
0.7,512,0.625,0.7356,0.6758,0.6333,0.7157,0.5818,0.6699,0.6867,0.782
0.75,512,0.625,0.7356,0.6758,0.6333,0.7157,0.5818,0.6699,0.6867,0.782
0.8,512,0.625,0.7356,0.6758,0.6333,0.7157,0.5818,0.6699,0.6867,0.782
0.85,511,0.6262,0.7356,0.6765,0.6335,0.7167,0.583,0.6712,0.6867,0.782
0.9,511,0.6262,0.7356,0.6765,0.6335,0.7167,0.583,0.6712,0.6867,0.782
0.95,508,0.626,0.731,0.6744,0.6309,0.7152,0.5818,0.6714,0.6818,0.7786
1.0,45,0.6889,0.0713,0.1292,0.0842,0.1721,0.5675,0.8095,0.0452,0.0975
