threshold,n_accepted,precision,recall,f1,f1_ci_lower,f1_ci_upper,p_ci_lower,p_ci_upper,r_ci_lower,r_ci_upper
0.0,8942,0.4118,0.7719,0.537,0.5232,0.5493,0.3977,0.4252,0.7576,0.7864
0.05,6711,0.5451,0.7669,0.6372,0.6238,0.6502,0.5297,0.5616,0.7525,0.7818
0.1,5667,0.6404,0.7608,0.6954,0.6832,0.7082,0.6232,0.6562,0.7472,0.7764
0.15,4068,0.8579,0.7317,0.7898,0.7803,0.8006,0.8446,0.8699,0.7186,0.7471
0.2,4030,0.8628,0.7289,0.7902,0.7805,0.8011,0.8491,0.8745,0.7165,0.7444
0.25,3701,0.8879,0.6889,0.7758,0.7652,0.7898,0.8755,0.8981,0.6759,0.7064
0.3,3700,0.8878,0.6887,0.7757,0.7652,0.7896,0.8755,0.8981,0.6759,0.706
0.35,3670,0.8907,0.6853,0.7746,0.7644,0.7884,0.8783,0.9015,0.6724,0.7034
0.4,3667,0.8909,0.6849,0.7744,0.7643,0.7881,0.8788,0.9014,0.672,0.703
0.45,3484,0.8952,0.6539,0.7558,0.7449,0.7703,0.8827,0.9068,0.6408,0.6745
0.5,3484,0.8952,0.6539,0.7558,0.7449,0.7703,0.8827,0.9068,0.6408,0.6745
0.55,3481,0.8951,0.6532,0.7553,0.7443,0.7698,0.8827,0.9067,0.6402,0.6737
0.6,3481,0.8951,0.6532,0.7553,0.7443,0.7698,0.8827,0.9067,0.6402,0.6737
0.65,3481,0.8951,0.6532,0.7553,0.7443,0.7698,0.8827,0.9067,0.6402,0.6737
0.7,3468,0.8953,0.6509,0.7538,0.743,0.7684,0.8825,0.9069,0.6385,0.6718
0.75,3442,0.8957,0.6463,0.7509,0.7401,0.7654,0.8826,0.9073,0.6338,0.6673
0.8,3375,0.8975,0.635,0.7438,0.7323,0.7588,0.8843,0.908,0.6219,0.6555
0.85,3373,0.8974,0.6346,0.7435,0.7321,0.7583,0.8842,0.9079,0.6214,0.6551
0.9,3007,0.9046,0.5702,0.6995,0.6878,0.716,0.8896,0.9155,0.5562,0.591
0.95,2979,0.905,0.5652,0.6958,0.6836,0.7123,0.8907,0.916,0.5515,0.5865
1.0,1851,0.9146,0.3549,0.5114,0.4989,0.5279,0.9003,0.9271,0.3434,0.3709
