tp,fp,fn,precision,recall,f1,iteration
42,16,11,0.7241379310344828,0.7924528301886793,0.7567567567567567,1
46,24,7,0.6571428571428571,0.8679245283018868,0.7479674796747967,2
44,9,9,0.8301886792452831,0.8301886792452831,0.8301886792452831,3
43,19,10,0.6935483870967742,0.8113207547169812,0.7478260869565218,4
45,26,8,0.6338028169014085,0.8490566037735849,0.7258064516129034,5
43,32,10,0.5733333333333334,0.8113207547169812,0.6718750000000001,6
44,15,9,0.7457627118644068,0.8301886792452831,0.7857142857142858,7
46,16,7,0.7419354838709677,0.8679245283018868,0.8,8
44,23,9,0.6567164179104478,0.8301886792452831,0.7333333333333334,9
32,29,21,0.5245901639344263,0.6037735849056604,0.5614035087719299,10
46,24,7,0.6571428571428571,0.8679245283018868,0.7479674796747967,11
44,19,9,0.6984126984126984,0.8301886792452831,0.7586206896551724,12
43,29,10,0.5972222222222222,0.8113207547169812,0.688,13
44,22,9,0.6666666666666666,0.8301886792452831,0.7394957983193277,14
42,22,11,0.65625,0.7924528301886793,0.7179487179487181,15
44,18,9,0.7096774193548387,0.8301886792452831,0.7652173913043478,16
42,16,11,0.7241379310344828,0.7924528301886793,0.7567567567567567,17
43,26,10,0.6231884057971014,0.8113207547169812,0.7049180327868851,18
46,24,7,0.6571428571428571,0.8679245283018868,0.7479674796747967,19
42,19,11,0.6885245901639344,0.7924528301886793,0.7368421052631579,20
46,9,7,0.8363636363636363,0.8679245283018868,0.8518518518518519,21
43,11,10,0.7962962962962963,0.8113207547169812,0.8037383177570094,22
42,22,11,0.65625,0.7924528301886793,0.7179487179487181,23
45,5,8,0.9,0.8490566037735849,0.8737864077669903,24
45,23,8,0.6617647058823529,0.8490566037735849,0.7438016528925621,25
41,22,12,0.6507936507936508,0.7735849056603774,0.706896551724138,26
45,14,8,0.7627118644067796,0.8490566037735849,0.8035714285714285,27
36,20,17,0.6428571428571429,0.6792452830188679,0.6605504587155964,28
46,17,7,0.7301587301587301,0.8679245283018868,0.7931034482758621,29
40,48,13,0.45454545454545453,0.7547169811320755,0.5673758865248227,30
