,precision,recall,f1
count,5.0,5.0,5.0
mean,0.5161388799033879,0.7735849056603774,0.6187044357607335
std,0.060953728202011524,0.10420151903006852,0.07528935983944218
min,0.4533333333333333,0.6415094339622641,0.53125
25%,0.49333333333333335,0.6981132075471698,0.578125
50%,0.4942528735632184,0.8113207547169812,0.6142857142857143
75%,0.524390243902439,0.8113207547169812,0.6370370370370371
max,0.6153846153846154,0.9056603773584906,0.7328244274809161
