label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles
scale-32-greedy-t5,20,0.4789,0.4654,0.494,0.8987,0.8844,0.9092,0.3264,0.3144,0.3395,sparse_cross_grid,True,0.5852156057494866,487
scale-32-greedy-t5,30,0.489,0.4759,0.5035,0.9177,0.9065,0.9283,0.3333,0.3215,0.3465,sparse_cross_grid,True,0.5852156057494866,487
scale-32-greedy-t5,40,0.4958,0.4817,0.5085,0.9304,0.92,0.9383,0.3379,0.3258,0.3501,sparse_cross_grid,True,0.5852156057494866,487
scale-32-greedy-t5,50,0.4992,0.486,0.5137,0.9367,0.9279,0.945,0.3402,0.3278,0.3527,sparse_cross_grid,True,0.5852156057494866,487
