label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity
HIGH-t0.7-13of30,20,0.5931,0.5385,0.6435,0.4388,0.3832,0.494,0.9149,0.886,0.9432,0.3273,0.2517,0.402,0.9082,0.3722
HIGH-t0.7-13of30,30,0.6095,0.5553,0.6599,0.4509,0.3944,0.5072,0.9402,0.9145,0.9633,0.3273,0.2517,0.402,0.9082,0.3722
HIGH-t0.7-13of30,40,0.611,0.5565,0.6613,0.452,0.3958,0.5084,0.9425,0.9173,0.9651,0.3273,0.2517,0.402,0.9082,0.3722
HIGH-t0.7-13of30,50,0.611,0.5565,0.6613,0.452,0.3958,0.5084,0.9425,0.9173,0.9651,0.3273,0.2517,0.402,0.9082,0.3722
