sheet,sheet_alias,code_a,code_b,n_a_on_sheet,n_b_on_sheet,zone_km2,points_in_zone,points_in_zone_a,points_in_zone_b
K-35-075-2,,F,G,264,20,3.136,36,19,17
K-35-063-3,Tatarevo,B,D,229,1,0.13,2,1,1
K-35-055-1,,A,B,205,2,0.095,2,1,1
K-35-067-1,,D,E,2,167,0.086,2,1,1
K-35-062-2,Rakovski,A,C,1,242,0.074,0,0,0
K-35-066-1,,D,E,1,210,0.06,0,0,0
K-35-066-4,,B,C,4,157,0.059,0,0,0
K-35-074-4,,F,G,3,128,0.053,0,0,0
K-35-074-2,,F,G,136,2,0.023,0,0,0
K-35-055-1,,A,TESTER-1,205,10,0.006,0,0,0
