identifier_a,identifier_b,student_code,distance_m,sheet,sheet_alias,same_symbol
202855,202866,A,4.62,K-35-053-4,Boyadzhik,True
208876,208927,A,5.28,K-35-050-4,,True
202891,202892,A,5.82,K-35-053-4,Boyadzhik,True
210516,210558,A,6.12,K-35-050-4,,True
203086,203117,A,7.16,K-35-064-4,Galabovo,True
208875,208926,A,7.37,K-35-050-4,,True
205385,205386,A,8.42,K-35-066-3,,True
202984,202985,A,10.18,K-35-053-4,Boyadzhik,True
205468,206506,A,10.24,K-35-064-3,Dimitrovgrad,True
205487,205491,A,15.63,K-35-064-3,Dimitrovgrad,True
206545,206553,A,16.52,K-35-064-3,Dimitrovgrad,True
205482,205494,A,18.39,K-35-064-3,Dimitrovgrad,True
210515,210559,A,19.31,K-35-050-4,,True
202870,202876,A,20.28,K-35-053-4,Boyadzhik,True
205470,206504,A,21.83,K-35-064-3,Dimitrovgrad,True
205498,206524,A,25.53,K-35-064-3,Dimitrovgrad,True
205237,205238,A,46.99,K-35-066-3,,False
206667,206668,A,49.81,K-35-063-2,Chirpan,True
209477,209479,B,2.62,K-35-052-2,,True
207011,207029,B,5.26,K-35-062-4,Asenovgrad,True
209475,209481,B,15.88,K-35-052-2,,True
209615,209617,C,0.0,K-35-051-4,,False
204282,204283,C,5.06,K-35-065-1,Radetski,False
209662,209672,C,6.1,K-35-062-2,Rakovski,True
204344,204356,C,7.11,K-35-065-1,Radetski,True
209663,209671,C,10.69,K-35-062-2,Rakovski,True
204355,204357,C,11.9,K-35-065-1,Radetski,False
202415,202425,C,12.35,K-35-064-2,Radnevo,True
204406,204407,C,16.87,K-35-065-1,Radetski,False
204403,204404,C,18.23,K-35-065-3,Glavan,False
209666,209668,C,19.47,K-35-062-2,Rakovski,True
209665,209670,C,19.71,K-35-062-2,Rakovski,True
209661,209673,C,33.36,K-35-062-2,Rakovski,True
209664,209669,C,47.01,K-35-062-2,Rakovski,True
210270,210290,D,1.67,K-35-067-2,,True
204167,204173,D,26.99,K-35-054-3,Yambol,True
210225,210226,D,44.58,K-35-067-2,,False
211071,211096,E,1.87,K-35-077-2,,True
211073,211092,E,8.01,K-35-077-2,,True
206311,206313,E,10.09,K-35-077-1,,False
205589,205607,E,16.72,K-35-054-2,Atolov,True
211074,211093,E,19.64,K-35-077-2,,True
206310,206314,E,21.58,K-35-077-1,,True
206229,206241,E,25.9,K-35-077-1,,True
206168,206169,E,45.37,K-35-064-1,Sredets,True
213679,213680,F,49.16,K-35-075-4,,True
212085,212107,G,21.78,K-35-075-1,,True
