precision,recall,f1,n_detections,mcc,prob_t,min_votes
0.5145385587863464,0.9509345794392523,0.6677604593929449,791,0.5773894564591834,0.0,1
0.6596434359805511,0.9509345794392523,0.7789473684210526,617,0.6631246015592062,0.0,2
0.7289048473967684,0.9485981308411215,0.8243654822335026,557,0.6992837862715605,0.0,3
0.7901960784313725,0.9415887850467289,0.859275053304904,510,0.7318183781756781,0.0,4
0.8568376068376068,0.9369158878504673,0.8950892857142856,468,0.7730097462414565,0.0,5
0.5362318840579711,0.9509345794392523,0.6857624262847515,759,0.5718449836415561,0.01,1
0.6772046589018302,0.9509345794392523,0.7910592808551992,601,0.6468379548096549,0.01,2
0.7476979742173112,0.9485981308411215,0.8362512873326468,543,0.6842137999116534,0.01,3
0.8076152304609219,0.9415887850467289,0.8694714131607334,499,0.718863237325744,0.01,4
0.8736383442265795,0.9369158878504673,0.9041713641488163,459,0.7571952869143714,0.01,5
0.6155015197568389,0.9462616822429907,0.7458563535911602,658,0.6521614129352653,0.02,1
0.7323688969258589,0.9462616822429907,0.8256880733944955,553,0.7110622596197044,0.02,2
0.792156862745098,0.9439252336448598,0.8614072494669509,510,0.7354087449857297,0.02,3
0.8336798336798337,0.9369158878504673,0.8822882288228823,481,0.7563954184430767,0.02,4
0.8926174496644296,0.9322429906542056,0.912,447,0.7836019821237536,0.02,5
0.6211656441717791,0.9462616822429907,0.7499999999999999,652,0.6670581214390535,0.05,1
0.7363636363636363,0.9462616822429907,0.8282208588957055,550,0.7191178965224767,0.05,2
0.793713163064833,0.9439252336448598,0.8623265741728923,509,0.7395202528177539,0.05,3
0.8354166666666667,0.9369158878504673,0.8832599118942731,480,0.7606510551700639,0.05,4
0.8946188340807175,0.9322429906542056,0.9130434782608696,446,0.7880742965858735,0.05,5
0.7178571428571429,0.9392523364485982,0.8137651821862348,560,0.8025020085165618,0.1,1
0.7976190476190477,0.9392523364485982,0.8626609442060086,504,0.8037238362767971,0.1,2
0.8459915611814346,0.9369158878504673,0.8891352549889134,474,0.8126136194078223,0.1,3
0.8728070175438597,0.9299065420560748,0.9004524886877828,456,0.8093378941042079,0.1,4
0.9145496535796767,0.9252336448598131,0.9198606271777003,433,0.806944333891053,0.1,5
0.73224043715847,0.9392523364485982,0.8229273285568066,549,0.7988793736306966,0.15,1
0.8088531187122736,0.9392523364485982,0.8691891891891891,497,0.8042478476574447,0.15,2
0.8550106609808102,0.9369158878504673,0.8940914158305463,469,0.8132096808570975,0.15,3
0.8766519823788547,0.9299065420560748,0.9024943310657596,454,0.8093378941042079,0.15,4
0.9187935034802784,0.9252336448598131,0.9220023282887078,431,0.806944333891053,0.15,5
0.7467411545623837,0.9369158878504673,0.8310880829015544,537,0.8042478476574447,0.2,1
0.8217213114754098,0.9369158878504673,0.8755458515283843,488,0.8093378941042079,0.2,2
0.8676789587852495,0.9345794392523364,0.8998875140607424,461,0.8229903047714098,0.2,3
0.8881431767337807,0.927570093457944,0.9074285714285715,447,0.8191733427830541,0.2,4
0.9272300469483568,0.9228971962616822,0.9250585480093677,426,0.8124316205541839,0.2,5
0.7481343283582089,0.9369158878504673,0.8319502074688796,536,0.8087180914625893,0.25,1
0.8234086242299795,0.9369158878504673,0.8765027322404372,487,0.813866408969979,0.25,2
0.8676789587852495,0.9345794392523364,0.8998875140607424,461,0.8229903047714098,0.25,3
0.8881431767337807,0.927570093457944,0.9074285714285715,447,0.8191733427830541,0.25,4
0.9272300469483568,0.9228971962616822,0.9250585480093677,426,0.8124316205541839,0.25,5
0.7532956685499058,0.9345794392523364,0.8342022940563086,531,0.8132096808570975,0.35,1
0.8264462809917356,0.9345794392523364,0.8771929824561404,484,0.8100183902390264,0.35,2
0.87117903930131,0.9322429906542056,0.9006772009029345,458,0.8191733427830541,0.35,3
0.8918918918918919,0.9252336448598131,0.908256880733945,444,0.8153647729440837,0.35,4
0.9292452830188679,0.9205607476635514,0.9248826291079812,424,0.8124316205541839,0.35,5
0.7547169811320755,0.9345794392523364,0.8350730688935283,530,0.8177229418519155,0.4,1
0.8264462809917356,0.9345794392523364,0.8771929824561404,484,0.8100183902390264,0.4,2
0.87117903930131,0.9322429906542056,0.9006772009029345,458,0.8191733427830541,0.4,3
0.8918918918918919,0.9252336448598131,0.908256880733945,444,0.8153647729440837,0.4,4
0.9292452830188679,0.9205607476635514,0.9248826291079812,424,0.8124316205541839,0.4,5
0.7556818181818182,0.9322429906542056,0.8347280334728033,528,0.813866408969979,0.45,1
0.8260869565217391,0.9322429906542056,0.87596048298573,483,0.8100183902390264,0.45,2
0.8708971553610503,0.9299065420560748,0.8994350282485876,457,0.8191733427830541,0.45,3
0.891647855530474,0.9228971962616822,0.9070034443168771,443,0.8153647729440837,0.45,4
0.9290780141843972,0.9182242990654206,0.9236192714453585,423,0.8124316205541839,0.45,5
0.7585551330798479,0.9322429906542056,0.8364779874213836,526,0.818417099090533,0.75,1
0.8295218295218295,0.9322429906542056,0.877887788778878,481,0.8145845188519937,0.75,2
0.8728070175438597,0.9299065420560748,0.9004524886877828,456,0.8191733427830541,0.75,3
0.891647855530474,0.9228971962616822,0.9070034443168771,443,0.8153647729440837,0.75,4
0.9290780141843972,0.9182242990654206,0.9236192714453585,423,0.8124316205541839,0.75,5
0.7614503816793893,0.9322429906542056,0.8382352941176471,524,0.8229903047714098,0.85,1
0.83125,0.9322429906542056,0.8788546255506607,480,0.8191733427830541,0.85,2
0.8728070175438597,0.9299065420560748,0.9004524886877828,456,0.8191733427830541,0.85,3
0.891647855530474,0.9228971962616822,0.9070034443168771,443,0.8153647729440837,0.85,4
0.9290780141843972,0.9182242990654206,0.9236192714453585,423,0.8124316205541839,0.85,5
0.7687861271676301,0.9322429906542056,0.8426610348468849,519,0.8322056510501451,0.88,1
0.8364779874213837,0.9322429906542056,0.881767955801105,477,0.8284204820723565,0.88,2
0.8785871964679912,0.9299065420560748,0.9035187287173667,453,0.8284204820723565,0.88,3
0.8977272727272727,0.9228971962616822,0.9101382488479264,440,0.8246437484764232,0.88,4
0.9334916864608076,0.9182242990654206,0.9257950530035335,421,0.8218227599106459,0.88,5
0.7713178294573644,0.9299065420560748,0.8432203389830509,516,0.836848499678098,0.92,1
0.8396624472573839,0.9299065420560748,0.8824833702882483,474,0.8330795143408553,0.92,2
0.8802660753880266,0.927570093457944,0.9032992036405005,451,0.8330795143408553,0.92,3
0.8995433789954338,0.9205607476635514,0.9099307159353349,438,0.8293189908734415,0.92,4
0.9355608591885441,0.9158878504672897,0.9256198347107438,419,0.8265552522392933,0.92,5
0.7721021611001965,0.9182242990654206,0.8388473852721452,509,0.8377626760330704,0.95,1
0.841541755888651,0.9182242990654206,0.8782122905027934,467,0.8340185635684985,0.95,2
0.8828828828828829,0.9158878504672897,0.8990825688073394,444,0.8340185635684985,0.95,3
0.9025522041763341,0.9088785046728972,0.9057043073341093,431,0.8302828022729627,0.95,4
0.937046004842615,0.9042056074766355,0.9203329369797859,413,0.8276101256253791,0.95,5
0.7931034482758621,0.8598130841121495,0.8251121076233183,464,0.8250625522660033,0.98,1
0.8578088578088578,0.8598130841121495,0.8588098016336057,429,0.8250625522660033,0.98,2
0.9017199017199017,0.8574766355140186,0.8790419161676647,407,0.8250625522660033,0.98,3
0.9191919191919192,0.8504672897196262,0.883495145631068,396,0.8177458935501981,0.98,4
