,precision,recall,f1
count,5.0,5.0,5.0
mean,0.5337633087633088,0.8264150943396228,0.6450509202696317
std,0.09097133625798233,0.024600763793217535,0.07307319977565668
min,0.3963963963963964,0.7924528301886793,0.5365853658536586
25%,0.48863636363636365,0.8113207547169812,0.6099290780141844
50%,0.5675675675675675,0.8301886792452831,0.6614173228346457
75%,0.6081081081081081,0.8490566037735849,0.7086614173228346
max,0.6081081081081081,0.8490566037735849,0.7086614173228346
