label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
verified-adv-image-baseline-pro-vf,5,0.1928,0.1545,0.2378,0.1788,0.1423,0.2214,0.2092,0.1675,0.2581,0.8887,0.8393,0.9243,0.9389,0.9496,sparse_cross_grid,True,0.5133470225872689,487,zero_fraction_heuristic,
verified-adv-image-baseline-pro-vf,10,0.5,0.4508,0.5512,0.4637,0.4158,0.5146,0.5425,0.4885,0.5971,0.8887,0.8393,0.9243,0.9389,0.9496,sparse_cross_grid,True,0.5154004106776181,487,zero_fraction_heuristic,
verified-adv-image-baseline-pro-vf,15,0.6568,0.6137,0.6984,0.609,0.5638,0.6535,0.7126,0.6643,0.7575,0.8887,0.8393,0.9243,0.9389,0.9496,sparse_cross_grid,True,0.5174537987679672,487,zero_fraction_heuristic,
verified-adv-image-baseline-pro-vf,20,0.7309,0.6906,0.7684,0.6778,0.6334,0.7208,0.7931,0.7478,0.8338,0.8887,0.8393,0.9243,0.9389,0.9496,sparse_cross_grid,True,0.5174537987679672,487,zero_fraction_heuristic,
verified-adv-image-baseline-pro-vf,25,0.7691,0.7316,0.8034,0.7132,0.6696,0.7539,0.8345,0.7921,0.8707,0.8887,0.8393,0.9243,0.9389,0.9496,sparse_cross_grid,True,0.5174537987679672,487,zero_fraction_heuristic,
verified-adv-image-baseline-pro-vf,30,0.7966,0.762,0.8271,0.7387,0.6972,0.7766,0.8644,0.8241,0.8975,0.8887,0.8393,0.9243,0.9389,0.9496,sparse_cross_grid,True,0.5174537987679672,487,zero_fraction_heuristic,
verified-adv-image-baseline-pro-vf,35,0.8093,0.779,0.8374,0.7505,0.7115,0.7874,0.8782,0.8416,0.9077,0.8887,0.8393,0.9243,0.9389,0.9496,sparse_cross_grid,True,0.5174537987679672,487,zero_fraction_heuristic,
verified-adv-image-baseline-pro-vf,40,0.8157,0.7856,0.8433,0.7564,0.7177,0.7933,0.8851,0.8492,0.9141,0.8887,0.8393,0.9243,0.9389,0.9496,sparse_cross_grid,True,0.5195071868583162,487,zero_fraction_heuristic,
verified-adv-image-baseline-pro-vf,45,0.8242,0.7943,0.8516,0.7642,0.7251,0.8017,0.8943,0.8589,0.9224,0.8887,0.8393,0.9243,0.9389,0.9496,sparse_cross_grid,True,0.5195071868583162,487,zero_fraction_heuristic,
verified-adv-image-baseline-pro-vf,50,0.8242,0.7943,0.8516,0.7642,0.7251,0.8017,0.8943,0.8589,0.9224,0.8887,0.8393,0.9243,0.9389,0.9496,sparse_cross_grid,True,0.5195071868583162,487,zero_fraction_heuristic,
verified-adv-image-baseline-pro-vf,75,0.8305,0.8012,0.8571,0.7701,0.7315,0.8062,0.9011,0.8654,0.9281,0.8887,0.8393,0.9243,0.9389,0.9496,sparse_cross_grid,True,0.5215605749486653,487,zero_fraction_heuristic,
verified-adv-image-baseline-pro-vf,100,0.8347,0.8051,0.8622,0.7741,0.7345,0.8107,0.9057,0.8701,0.9329,0.8887,0.8393,0.9243,0.9389,0.9496,sparse_cross_grid,True,0.5215605749486653,487,zero_fraction_heuristic,
verified-adv-image-baseline-pro-vf,125,0.839,0.8091,0.8659,0.778,0.7384,0.8145,0.9103,0.8747,0.9365,0.8887,0.8393,0.9243,0.9389,0.9496,sparse_cross_grid,True,0.5215605749486653,487,zero_fraction_heuristic,
verified-adv-image-baseline-pro-vf,150,0.839,0.8091,0.8659,0.778,0.7384,0.8145,0.9103,0.8747,0.9365,0.8887,0.8393,0.9243,0.9389,0.9496,sparse_cross_grid,True,0.5215605749486653,487,zero_fraction_heuristic,
