threshold,n_accepted,precision,recall,f1,f1_ci_lower,f1_ci_upper,p_ci_lower,p_ci_upper,r_ci_lower,r_ci_upper
0.0,1180,0.322,0.8736,0.4706,0.4141,0.5238,0.2727,0.3719,0.8354,0.9081
0.05,830,0.4554,0.869,0.5976,0.5452,0.6469,0.4,0.509,0.8318,0.9034
0.1,612,0.6127,0.8621,0.7163,0.6729,0.7518,0.5584,0.6575,0.8245,0.8975
0.15,477,0.7652,0.8391,0.8004,0.7652,0.8309,0.7187,0.805,0.7965,0.8771
0.2,471,0.7686,0.8322,0.7991,0.7629,0.8299,0.7217,0.807,0.7891,0.8703
0.25,446,0.778,0.7977,0.7877,0.7521,0.8196,0.7332,0.8156,0.7545,0.838
0.3,446,0.778,0.7977,0.7877,0.7521,0.8196,0.7332,0.8156,0.7545,0.838
0.35,439,0.7813,0.7885,0.7849,0.7481,0.8173,0.7361,0.8184,0.7463,0.8298
0.4,439,0.7813,0.7885,0.7849,0.7481,0.8173,0.7361,0.8184,0.7463,0.8298
0.45,422,0.7796,0.7563,0.7678,0.7317,0.8024,0.7348,0.8194,0.7123,0.7985
0.5,422,0.7796,0.7563,0.7678,0.7317,0.8024,0.7348,0.8194,0.7123,0.7985
0.55,422,0.7796,0.7563,0.7678,0.7317,0.8024,0.7348,0.8194,0.7123,0.7985
0.6,422,0.7796,0.7563,0.7678,0.7317,0.8024,0.7348,0.8194,0.7123,0.7985
0.65,422,0.7796,0.7563,0.7678,0.7317,0.8024,0.7348,0.8194,0.7123,0.7985
0.7,421,0.7791,0.754,0.7664,0.7306,0.8005,0.7346,0.819,0.7114,0.7966
0.75,419,0.778,0.7494,0.7635,0.7277,0.7986,0.7328,0.8186,0.7055,0.7925
0.8,410,0.7854,0.7402,0.7621,0.7268,0.7984,0.7407,0.8263,0.694,0.7841
0.85,409,0.7848,0.7379,0.7607,0.7257,0.7971,0.7399,0.8263,0.6936,0.7811
0.9,366,0.7896,0.6644,0.7216,0.6808,0.762,0.7412,0.8312,0.615,0.7124
0.95,363,0.7934,0.6621,0.7218,0.6808,0.7634,0.7449,0.8347,0.6127,0.7113
1.0,251,0.7968,0.4598,0.5831,0.5359,0.6317,0.7407,0.845,0.4136,0.5109
