cell,config,k,role,R_m,F1,F1_CI_lo,F1_CI_hi,MCC,MCC_CI_lo,MCC_CI_hi,precision,recall,sensitivity,specificity
TH7-k4,text-high-T0.7,4,carry-forward,5,0.08552188552188553,0.07687090210264527,0.09430536777539471,0.6479659157116655,0.6333673327857082,0.6622952138049987,0.0914985590778098,0.08027812895069532,0.6438923395445134,0.9531007751937984
TH7-k4,text-high-T0.7,4,carry-forward,10,0.2754208754208754,0.26121935962962245,0.2898614483264056,0.6479659157116655,0.6333673327857082,0.6622952138049987,0.2946685878962536,0.25853350189633373,0.6438923395445134,0.9531007751937984
TH7-k4,text-high-T0.7,4,carry-forward,15,0.4787878787878788,0.4632421649616295,0.49431007257080734,0.6479659157116655,0.6333673327857082,0.6622952138049987,0.5122478386167147,0.44943109987357777,0.6438923395445134,0.9531007751937984
TH7-k4,text-high-T0.7,4,carry-forward,20,0.6260381593714928,0.6112586883434332,0.6407818113842821,0.6479659157116655,0.6333673327857082,0.6622952138049987,0.6697886647454371,0.5876527602191319,0.6438923395445134,0.9531007751937984
TH7-k4,text-high-T0.7,4,carry-forward,25,0.7102132435465768,0.6972023936759537,0.7231179430218896,0.6479659157116655,0.6333673327857082,0.6622952138049987,0.7598463016330451,0.6666666666666666,0.6438923395445134,0.9531007751937984
TH7-k4,text-high-T0.7,4,carry-forward,30,0.756902356902357,0.7448568177514295,0.7686903712902629,0.6479659157116655,0.6333673327857082,0.6622952138049987,0.8097982708933718,0.7104930467762326,0.6438923395445134,0.9531007751937984
TH7-k4,text-high-T0.7,4,carry-forward,35,0.7777777777777779,0.7664094264254397,0.7889419899012273,0.6479659157116655,0.6333673327857082,0.6622952138049987,0.8321325648414986,0.7300884955752213,0.6438923395445134,0.9531007751937984
TH7-k4,text-high-T0.7,4,carry-forward,40,0.7867564534231201,0.7755415219075752,0.7976601069887042,0.6479659157116655,0.6333673327857082,0.6622952138049987,0.8417387127761767,0.7385166455962916,0.6438923395445134,0.9531007751937984
TH7-k4,text-high-T0.7,4,carry-forward,45,0.7903479236812571,0.7793812301750338,0.8012199913632613,0.6479659157116655,0.6333673327857082,0.6622952138049987,0.845581171950048,0.7418879056047197,0.6438923395445134,0.9531007751937984
TH7-k4,text-high-T0.7,4,carry-forward,50,0.8152278820375335,0.8050636523327125,0.8250979654306435,0.6666252946918438,0.652793282496057,0.6801483385507795,0.9128242074927954,0.7364851772912226,0.6416004540295119,0.9685070759417979
TH7-k4,text-high-T0.7,4,carry-forward,75,0.8045033670033671,0.7940951103183003,0.8144298547869712,0.6646680432994254,0.6508222248511979,0.6781132727263767,0.9181075888568684,0.7159176029962547,0.6390850042360915,0.9688
TH7-k4,text-high-T0.7,4,carry-forward,100,0.8006253256904637,0.7902555405107581,0.8106253154037167,0.6634301808532641,0.6497267160141649,0.677040049297075,0.9224303554274735,0.7072362364205487,0.6375668825682906,0.968937875751503
TH7-k4,text-high-T0.7,4,carry-forward,125,0.7990455441435833,0.788508298508053,0.8092174773365238,0.6630766457760425,0.6494137444887085,0.6766170244978151,0.9248318924111432,0.7033789954337899,0.6369516310461192,0.9691073219658977
TH7-k4,text-high-T0.7,4,carry-forward,150,0.7976842758192908,0.7871205061881007,0.8078036070744056,0.6630766457760425,0.6494137444887085,0.6766170244978151,0.9265129682997119,0.7003085859502632,0.6369516310461192,0.9691073219658977
TH7-k3,text-high-T0.7,3,threshold (new),5,0.08413764162819974,0.07586924356659942,0.09252998422753593,0.6591388042946786,0.6443551970917751,0.6738128078535384,0.08378604262432093,0.08449220396123051,0.689145223306714,0.9352713178294574
TH7-k3,text-high-T0.7,3,threshold (new),10,0.275493075954679,0.26181899021026017,0.2893380342112438,0.6591388042946786,0.6443551970917751,0.6738128078535384,0.27434183033848725,0.27665402444163506,0.689145223306714,0.9352713178294574
TH7-k3,text-high-T0.7,3,threshold (new),15,0.4804867813680235,0.465374423507738,0.49559664894750843,0.6591388042946786,0.6443551970917751,0.6738128078535384,0.47847889678228167,0.48251158870627897,0.689145223306714,0.9352713178294574
TH7-k3,text-high-T0.7,3,threshold (new),20,0.6307175828787243,0.6163504458909492,0.6449177672160153,0.6591388042946786,0.6443551970917751,0.6738128078535384,0.6280819055578771,0.6333754740834386,0.689145223306714,0.9352713178294574
TH7-k3,text-high-T0.7,3,threshold (new),25,0.7190516156105748,0.7066567576175815,0.7312110671639449,0.6591388042946786,0.6443551970917751,0.6738128078535384,0.7160468031759298,0.7220817530552044,0.689145223306714,0.9352713178294574
TH7-k3,text-high-T0.7,3,threshold (new),30,0.7691984892992026,0.7578676435563533,0.7803265648837817,0.6591388042946786,0.6443551970917751,0.6738128078535384,0.7659841203510238,0.7724399494310998,0.689145223306714,0.9352713178294574
TH7-k3,text-high-T0.7,3,threshold (new),35,0.7935375577003777,0.7830616681553924,0.8040487547235563,0.6591388042946786,0.6443551970917751,0.6738128078535384,0.7902214793146678,0.7968815844922039,0.689145223306714,0.9352713178294574
TH7-k3,text-high-T0.7,3,threshold (new),40,0.8040285354595047,0.7939007519851828,0.8142759314463732,0.6591388042946786,0.6443551970917751,0.6738128078535384,0.800668616798997,0.8074167720185419,0.689145223306714,0.9352713178294574
TH7-k3,text-high-T0.7,3,threshold (new),45,0.8090642047838859,0.7989229213843829,0.8190797329057853,0.6591388042946786,0.6443551970917751,0.6738128078535384,0.8056832427914752,0.8124736620311842,0.689145223306714,0.9352713178294574
TH7-k3,text-high-T0.7,3,threshold (new),50,0.8424650648436715,0.8334551264908702,0.8511651325758406,0.679608597108498,0.6655687186915595,0.6934161711732358,0.8754701211867948,0.811858167021895,0.6875709421112373,0.9519633246960335
TH7-k3,text-high-T0.7,3,threshold (new),75,0.8356705510566858,0.8265826156479703,0.8445309475269122,0.6789717038614729,0.6650614460133911,0.6926384267333074,0.8840367739239449,0.7923220973782772,0.6856820107314318,0.9528
TH7-k3,text-high-T0.7,3,threshold (new),100,0.8344915337183126,0.8253937135745579,0.8432773327641379,0.6786329755942868,0.6648047022778335,0.6923715812768556,0.8907229419139155,0.7849383170686798,0.6845958884821177,0.9533066132264529
TH7-k3,text-high-T0.7,3,threshold (new),125,0.8342266835591075,0.8250170904497213,0.8429533742042367,0.6787215354480589,0.6648552016773491,0.6924928338715584,0.8942749686585876,0.7817351598173516,0.6841957255343082,0.9536609829488465
TH7-k3,text-high-T0.7,3,threshold (new),150,0.8339970859640602,0.8248138787056182,0.8426913804628702,0.6787215354480589,0.6648552016773491,0.6924928338715584,0.8969912244045132,0.7792702849882012,0.6841957255343082,0.9536609829488465
T03-k4,text-high-T0.3,4,config,5,0.0886103781882146,0.08034804093941089,0.09714469513872706,0.6541033050370059,0.6396242112601561,0.6686903925956371,0.09264367816091953,0.08491361146228403,0.6557231588287489,0.9507751937984497
T03-k4,text-high-T0.3,4,config,10,0.283641160949868,0.2699242672782964,0.2973004135263759,0.6541033050370059,0.6396242112601561,0.6686903925956371,0.296551724137931,0.2718078381795196,0.6557231588287489,0.9507751937984497
T03-k4,text-high-T0.3,4,config,15,0.474934036939314,0.4598450098760087,0.4905458818502296,0.6541033050370059,0.6396242112601561,0.6686903925956371,0.496551724137931,0.45512010113780027,0.6557231588287489,0.9507751937984497
T03-k4,text-high-T0.3,4,config,20,0.6308267370272647,0.6166493027438743,0.6453912993361035,0.6541033050370059,0.6396242112601561,0.6686903925956371,0.6595402298850574,0.6045090602612726,0.6557231588287489,0.9507751937984497
T03-k4,text-high-T0.3,4,config,25,0.7189973614775725,0.7065225548722847,0.7313197742166581,0.6541033050370059,0.6396242112601561,0.6686903925956371,0.7517241379310344,0.6890012642225032,0.6557231588287489,0.9507751937984497
T03-k4,text-high-T0.3,4,config,30,0.76429199648197,0.7528440718596578,0.7754372938439839,0.6541033050370059,0.6396242112601561,0.6686903925956371,0.799080459770115,0.7324062368310156,0.6557231588287489,0.9507751937984497
T03-k4,text-high-T0.3,4,config,35,0.7869393139841688,0.7761191539798504,0.7974255651046096,0.6541033050370059,0.6396242112601561,0.6686903925956371,0.8227586206896552,0.7541087231352718,0.6557231588287489,0.9507751937984497
T03-k4,text-high-T0.3,4,config,40,0.7963940193491644,0.7858472299189719,0.8065266230046526,0.6541033050370059,0.6396242112601561,0.6686903925956371,0.8326436781609196,0.7631689844079225,0.6557231588287489,0.9507751937984497
T03-k4,text-high-T0.3,4,config,45,0.802990325417766,0.7927047146210986,0.8129350037477245,0.6541033050370059,0.6396242112601561,0.6686903925956371,0.8395402298850575,0.7694900969237253,0.6557231588287489,0.9507751937984497
T03-k4,text-high-T0.3,4,config,50,0.8358742508674167,0.826465590484282,0.8447274339054758,0.6710705487171356,0.6572060229205167,0.6845070820010303,0.9137931034482759,0.7701995737260221,0.6523836549375709,0.9657165636834761
T03-k4,text-high-T0.3,4,config,75,0.8241486068111455,0.8144926346594813,0.833265581558374,0.6685412067189511,0.6547587470173958,0.6819533981665061,0.9179310344827586,0.7477528089887641,0.6495340299350466,0.9658
T03-k4,text-high-T0.3,4,config,100,0.8191391473264493,0.8093238164165164,0.8284654435458717,0.6672759969245644,0.6535237051356373,0.6806502737672027,0.9209195402298851,0.7376173816976616,0.647986482680935,0.9659318637274549
T03-k4,text-high-T0.3,4,config,125,0.8175063613231554,0.8075388854871217,0.8269855544186633,0.6674309303418589,0.6537521069108269,0.6808989187479768,0.9232183908045977,0.7335159817351599,0.6476377952755905,0.9662988966900702
T03-k4,text-high-T0.3,4,config,150,0.8161071102545897,0.806272021408592,0.8255665297319461,0.6674309303418589,0.6537521069108269,0.6808989187479768,0.9248275862068965,0.7302595752405155,0.6476377952755905,0.9662988966900702
T03-k3,text-high-T0.3,3,ORACLE,5,0.08703761268262356,0.07903593893967177,0.09535554728339098,0.6703000738091267,0.6560842632192146,0.6846824483041668,0.0856269113149847,0.08849557522123894,0.7006802721088435,0.9364341085271318
T03-k3,text-high-T0.3,3,ORACLE,10,0.2791420578178427,0.26568112010364026,0.2924693400835383,0.6703000738091267,0.6560842632192146,0.6846824483041668,0.2746177370030581,0.2838179519595449,0.7006802721088435,0.9364341085271318
T03-k3,text-high-T0.3,3,ORACLE,15,0.47083203813076363,0.456188652294177,0.48584599696729724,0.6703000738091267,0.6560842632192146,0.6846824483041668,0.46320081549439346,0.4787189211967973,0.7006802721088435,0.9364341085271318
T03-k3,text-high-T0.3,3,ORACLE,20,0.6295720650709771,0.6158718662670094,0.6435563788081958,0.6703000738091267,0.6560842632192146,0.6846824483041668,0.6193679918450561,0.640117994100295,0.7006802721088435,0.9364341085271318
T03-k3,text-high-T0.3,3,ORACLE,25,0.7182675370427934,0.705943044290784,0.7302997283066103,0.6703000738091267,0.6560842632192146,0.6846824483041668,0.7066258919469929,0.730299199325748,0.7006802721088435,0.9364341085271318
T03-k3,text-high-T0.3,3,ORACLE,30,0.7651020619624909,0.7541014063981534,0.7759197897660487,0.6703000738091267,0.6560842632192146,0.6846824483041668,0.7527013251783894,0.7779182469447956,0.7006802721088435,0.9364341085271318
T03-k3,text-high-T0.3,3,ORACLE,35,0.7895554864780853,0.7793358958120037,0.7996695708100057,0.6703000738091267,0.6560842632192146,0.6846824483041668,0.7767584097859327,0.8027812895069533,0.7006802721088435,0.9364341085271318
T03-k3,text-high-T0.3,3,ORACLE,40,0.8003315718578385,0.7903981859689256,0.8100988910523044,0.6703000738091267,0.6560842632192146,0.6846824483041668,0.7873598369011213,0.8137378845343447,0.7006802721088435,0.9364341085271318
T03-k3,text-high-T0.3,3,ORACLE,45,0.8079991710703555,0.7981786120151328,0.8176374895830303,0.6703000738091267,0.6560842632192146,0.6846824483041668,0.7949031600407748,0.8215339233038348,0.7006802721088435,0.9364341085271318
T03-k3,text-high-T0.3,3,ORACLE,50,0.8476058017087225,0.8388377778083633,0.8559468001624682,0.6903302334580523,0.6765278588986013,0.7039649546456184,0.8697247706422019,0.8265839953497385,0.6986379114642451,0.9531592585210285
T03-k3,text-high-T0.3,3,ORACLE,75,0.8435334309419229,0.8349272557464216,0.8517986312021464,0.6896526743754792,0.6759049468335452,0.7033553602345901,0.8809378185524974,0.8091760299625468,0.6966958486303304,0.954
T03-k3,text-high-T0.3,3,ORACLE,100,0.8413312693498451,0.8327512041607817,0.849557564523077,0.6882678782336406,0.674427263245759,0.7019465865423705,0.8864424057084608,0.8005892100902228,0.695015488594762,0.9541082164328657
T03-k3,text-high-T0.3,3,ORACLE,125,0.841233140655106,0.832666085869773,0.8494498001896024,0.6883438650191405,0.6746069757646949,0.7020322360366994,0.890112130479103,0.7974429223744293,0.6946006749156356,0.9544633901705115
T03-k3,text-high-T0.3,3,ORACLE,150,0.8413673900518532,0.8327970034748658,0.8494633868363568,0.6883438650191405,0.6746069757646949,0.7020322360366994,0.8931702344546382,0.7952441459430024,0.6946006749156356,0.9544633901705115
TM-k4,text-min,4,config,5,0.09638834049471606,0.08701728604225749,0.10565338276181649,0.6263694478766207,0.6116887816765956,0.6411462124305556,0.1073738680465718,0.08744205646860514,0.614019520851819,0.95484496124031
TM-k4,text-min,4,config,10,0.2991522471257693,0.28418158356546014,0.3141931878459302,0.6263694478766207,0.6116887816765956,0.6411462124305556,0.3332470892626132,0.2713864306784661,0.614019520851819,0.95484496124031
TM-k4,text-min,4,config,15,0.48728370688654044,0.471262800456988,0.5037190888227958,0.6263694478766207,0.6116887816765956,0.6411462124305556,0.5428201811125485,0.4420564686051412,0.614019520851819,0.95484496124031
