run,run_key,shell_m,tp_count,tp_frac_of_tps,fp_count,fp_frac_of_fps
T=0.3 text-HIGH,t0.3,"(0, 50]",308,0.7797,0,0.0
T=0.3 text-HIGH,t0.3,"(50, 75]",24,0.0608,0,0.0
T=0.3 text-HIGH,t0.3,"(75, 100]",14,0.0354,0,0.0
T=0.3 text-HIGH,t0.3,"(100, 125]",7,0.0177,1,0.0034
T=0.3 text-HIGH,t0.3,"(125, 150]",10,0.0253,0,0.0
T=0.3 text-HIGH,t0.3,"(150, 286]",32,0.081,17,0.0572
T=0.3 text-HIGH,t0.3,"(286, inf)",0,0.0,279,0.9394
T=0.7 text-HIGH,t0.7,"(0, 50]",270,0.7584,1,0.0036
T=0.7 text-HIGH,t0.7,"(50, 75]",19,0.0534,1,0.0036
T=0.7 text-HIGH,t0.7,"(75, 100]",19,0.0534,0,0.0
T=0.7 text-HIGH,t0.7,"(100, 125]",11,0.0309,0,0.0
T=0.7 text-HIGH,t0.7,"(125, 150]",5,0.014,1,0.0036
T=0.7 text-HIGH,t0.7,"(150, 286]",32,0.0899,16,0.0569
T=0.7 text-HIGH,t0.7,"(286, inf)",0,0.0,262,0.9324
image (T=0.7),image,"(0, 50]",475,0.6359,1,0.0035
image (T=0.7),image,"(50, 75]",121,0.162,2,0.0071
image (T=0.7),image,"(75, 100]",47,0.0629,0,0.0
image (T=0.7),image,"(100, 125]",19,0.0254,0,0.0
image (T=0.7),image,"(125, 150]",11,0.0147,0,0.0
image (T=0.7),image,"(150, 286]",74,0.0991,32,0.1131
image (T=0.7),image,"(286, inf)",0,0.0,248,0.8763
text-MIN,text-min,"(0, 50]",250,0.7716,1,0.0038
text-MIN,text-min,"(50, 75]",20,0.0617,0,0.0
text-MIN,text-min,"(75, 100]",7,0.0216,0,0.0
text-MIN,text-min,"(100, 125]",5,0.0154,0,0.0
text-MIN,text-min,"(125, 150]",7,0.0216,0,0.0
text-MIN,text-min,"(150, 286]",35,0.108,13,0.0498
text-MIN,text-min,"(286, inf)",0,0.0,247,0.9464
