label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper
gold-standard-text-high-era2,5,0.2073,0.1637,0.25,0.284,0.2275,0.3396,0.1632,0.1259,0.2022
gold-standard-text-high-era2,10,0.5431,0.4816,0.6006,0.744,0.6899,0.7938,0.4276,0.3638,0.4901
gold-standard-text-high-era2,15,0.6453,0.5836,0.7023,0.884,0.8398,0.9234,0.508,0.4414,0.5764
gold-standard-text-high-era2,20,0.6774,0.6172,0.7322,0.928,0.8918,0.9582,0.5333,0.4653,0.6026
gold-standard-text-high-era2,25,0.6832,0.6216,0.7376,0.936,0.903,0.9657,0.5379,0.4693,0.6066
gold-standard-text-high-era2,30,0.6832,0.6216,0.7376,0.936,0.903,0.9657,0.5379,0.4693,0.6066
gold-standard-text-high-era2,35,0.6832,0.6216,0.7376,0.936,0.903,0.9657,0.5379,0.4693,0.6066
gold-standard-text-high-era2,40,0.6832,0.6216,0.7376,0.936,0.903,0.9657,0.5379,0.4693,0.6066
gold-standard-text-high-era2,45,0.6832,0.6216,0.7376,0.936,0.903,0.9657,0.5379,0.4693,0.6066
gold-standard-text-high-era2,50,0.6861,0.6254,0.7406,0.94,0.9091,0.9689,0.5402,0.4708,0.6088
