temperature,pool_size,threshold,f1,precision,recall,f1_ci_lo,f1_ci_hi,p_ci_lo,p_ci_hi,r_ci_lo,r_ci_hi,n_detections
text-t0.7,5,1,0.4046,0.258,0.938,0.3261,0.4881,0.1975,0.3294,0.91,0.9657,1593
text-t0.7,5,2,0.5259,0.368,0.9215,0.4368,0.6086,0.2864,0.4525,0.8898,0.9517,1104
text-t0.7,5,3,0.5652,0.4109,0.905,0.4732,0.6474,0.3214,0.5038,0.8682,0.941,950
text-t0.7,5,4,0.6077,0.4641,0.8802,0.5195,0.6838,0.3697,0.5581,0.8341,0.9231,807
text-t0.7,5,5,0.647,0.5368,0.814,0.5747,0.7124,0.4464,0.6272,0.7602,0.8667,653
text-t0.7,10,1,0.3464,0.212,0.9463,0.2762,0.4242,0.1614,0.2728,0.9194,0.9715,1953
text-t0.7,10,2,0.4641,0.3087,0.9339,0.3776,0.548,0.2374,0.387,0.9024,0.9622,1334
text-t0.7,10,3,0.5161,0.3571,0.9298,0.4256,0.6013,0.2785,0.4443,0.8977,0.9588,1157
text-t0.7,10,4,0.5524,0.3937,0.9256,0.4626,0.6335,0.3091,0.4792,0.8913,0.9558,1050
text-t0.7,10,5,0.567,0.4104,0.9174,0.4763,0.6514,0.3223,0.5042,0.8808,0.9524,975
text-t0.7,10,6,0.5859,0.4322,0.9091,0.4973,0.6685,0.3408,0.5276,0.8729,0.9466,908
text-t0.7,10,7,0.5994,0.4534,0.8843,0.5125,0.6795,0.3622,0.5487,0.8405,0.9251,838
text-t0.7,10,8,0.6179,0.4836,0.8554,0.5325,0.6909,0.392,0.578,0.8077,0.9011,762
text-t0.7,10,9,0.6408,0.5266,0.8182,0.5634,0.7074,0.4351,0.6194,0.7685,0.8649,685
text-t0.7,10,10,0.6438,0.5723,0.7355,0.5777,0.705,0.4798,0.6627,0.6779,0.7952,560
text-t0.7,30,1,0.257,0.1485,0.9545,0.1976,0.324,0.1103,0.1948,0.9304,0.9777,2790
text-t0.7,30,2,0.3542,0.2179,0.9463,0.2839,0.4314,0.1672,0.2781,0.9196,0.9719,1890
text-t0.7,30,3,0.4061,0.2591,0.938,0.3282,0.487,0.1994,0.3277,0.9076,0.966,1586
text-t0.7,30,4,0.4455,0.2921,0.938,0.3638,0.5295,0.2261,0.3685,0.9076,0.966,1416
text-t0.7,30,5,0.4694,0.3135,0.9339,0.3852,0.553,0.2436,0.3924,0.9023,0.9625,1324
text-t0.7,30,6,0.4881,0.3309,0.9298,0.4009,0.573,0.2559,0.4129,0.8975,0.9587,1256
text-t0.7,30,7,0.5068,0.3483,0.9298,0.4183,0.593,0.2702,0.4323,0.8975,0.9587,1200
text-t0.7,30,8,0.5245,0.3653,0.9298,0.4346,0.6105,0.2843,0.4544,0.8975,0.9587,1149
text-t0.7,30,9,0.5376,0.3782,0.9298,0.4462,0.6234,0.2937,0.4681,0.8975,0.9587,1101
text-t0.7,30,10,0.5501,0.3906,0.9298,0.4587,0.6361,0.3041,0.4827,0.8975,0.9587,1060
text-t0.7,30,11,0.559,0.3996,0.9298,0.4669,0.6455,0.3128,0.4916,0.8975,0.9587,1028
text-t0.7,30,12,0.5614,0.4029,0.9256,0.4693,0.646,0.316,0.4947,0.8913,0.9558,1009
text-t0.7,30,13,0.567,0.4104,0.9174,0.4759,0.6501,0.3208,0.5027,0.88,0.9526,987
text-t0.7,30,14,0.5685,0.4135,0.9091,0.4767,0.6522,0.3233,0.5055,0.8701,0.9468,961
text-t0.7,30,15,0.5744,0.4198,0.9091,0.482,0.6557,0.3292,0.5132,0.8701,0.9468,941
text-t0.7,30,16,0.5851,0.4314,0.9091,0.4938,0.6667,0.3415,0.5257,0.8701,0.9468,917
text-t0.7,30,17,0.5879,0.4354,0.905,0.4993,0.6684,0.3459,0.5308,0.8655,0.9426,902
text-t0.7,30,18,0.5981,0.4476,0.9008,0.5116,0.6762,0.358,0.5432,0.8577,0.9415,876
text-t0.7,30,19,0.6025,0.4547,0.8926,0.5172,0.6793,0.3656,0.5466,0.85,0.9339,855
text-t0.7,30,20,0.611,0.4645,0.8926,0.5234,0.688,0.3738,0.5558,0.85,0.9339,833
text-t0.7,30,21,0.6194,0.4766,0.8843,0.5319,0.6965,0.3846,0.5702,0.8403,0.9265,803
text-t0.7,30,22,0.6263,0.4874,0.876,0.5399,0.702,0.3923,0.5808,0.8326,0.9223,781
text-t0.7,30,23,0.6305,0.4964,0.8636,0.5418,0.7059,0.4005,0.5918,0.8208,0.9087,753
text-t0.7,30,24,0.6348,0.5061,0.8512,0.55,0.7064,0.4102,0.601,0.8071,0.898,730
text-t0.7,30,25,0.6432,0.5248,0.8306,0.5601,0.7149,0.4256,0.6178,0.7857,0.8791,702
text-t0.7,30,26,0.6438,0.5324,0.814,0.5637,0.7122,0.4347,0.6239,0.7638,0.8659,676
text-t0.7,30,27,0.6599,0.5587,0.8058,0.5884,0.7236,0.467,0.6473,0.7561,0.8577,638
text-t0.7,30,28,0.6608,0.5772,0.7727,0.5935,0.7189,0.4878,0.6657,0.7218,0.8264,596
text-t0.7,30,29,0.6679,0.6146,0.7314,0.6019,0.727,0.5188,0.705,0.6769,0.7878,530
text-t0.7,30,30,0.66,0.6431,0.6777,0.5983,0.716,0.5487,0.7269,0.6192,0.743,455
