group,question,family,label_a,label_b,f1_a,f1_b,delta_f1,precision_a,precision_b,recall_a,recall_b,n_detections_a,n_detections_b,p_value_raw,p_value_adj,significant,wins_a,losses_a,ties,n_tiles
8,Leaderboard distinguishability,leaderboard,flash-high-text-16-of-30--flash-min-vf (t=0.2),flash-high-text-4-of-5--flash-min-vf (t=0.15),0.8902,0.8641,0.0261,0.915,0.9152,0.8667,0.8184,412,389,0.0398,0.0475,*,29,11,447,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-16-of-30--flash-min-vf (t=0.2),flash-high-text-4-of-5--flash-medium-vf (t=0.95),0.8902,0.8592,0.031,0.915,0.8777,0.8667,0.8414,412,417,0.0207,0.0255,*,31,16,440,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-16-of-30--flash-min-vf (t=0.2),flash-high-text-9-of-10--flash-min-vf (t=0.2),0.8902,0.8564,0.0338,0.915,0.9574,0.8667,0.7747,412,352,0.0017,0.0023,**,36,6,445,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-16-of-30--flash-min-vf (t=0.2),pro-high-text-3-of-5--flash-min-vf (t=0.15),0.8902,0.8491,0.0411,0.915,0.9568,0.8667,0.7632,412,347,0.0119,0.0152,*,51,21,415,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-16-of-30--flash-min-vf (t=0.2),"pro-high-text N=5 N=5, 3-of-5",0.8902,0.8404,0.0498,0.915,0.9183,0.8667,0.7747,412,367,0.0035,0.0047,**,57,32,398,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-16-of-30--flash-min-vf (t=0.2),text-baseline--flash-min-vf (t=0.15),0.8902,0.8142,0.076,0.915,0.7888,0.8667,0.8414,412,464,0.0,0.0,***,58,22,407,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-16-of-30--flash-min-vf (t=0.2),"flash-high-text N=30 N=30, 26-of-30",0.8902,0.8141,0.0761,0.915,0.8337,0.8667,0.7954,412,415,0.0,0.0,***,52,27,408,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-16-of-30--flash-min-vf (t=0.2),"flash-high-text N=10 N=10, 9-of-10",0.8902,0.7968,0.0934,0.915,0.8005,0.8667,0.7931,412,431,0.0,0.0,***,54,27,406,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-16-of-30--flash-min-vf (t=0.2),"flash-high-text N=5 N=5, 5-of-5",0.8902,0.7788,0.1114,0.915,0.7976,0.8667,0.7609,412,415,0.0,0.0,***,59,26,402,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-16-of-30--flash-min-vf (t=0.2),flash-high-image-3-of-5--flash-min-vf (t=0.15),0.8902,0.7778,0.1124,0.915,0.8005,0.8667,0.7563,412,411,0.0,0.0,***,60,20,407,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-16-of-30--flash-min-vf (t=0.2),"flash-high-image N=5 N=5, 3-of-5",0.8902,0.7269,0.1633,0.915,0.6759,0.8667,0.7862,412,506,0.0,0.0,***,71,32,384,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-16-of-30--flash-min-vf (t=0.2),image-baseline--flash-min-vf (t=0.2),0.8902,0.7167,0.1735,0.915,0.6634,0.8667,0.7793,412,511,0.0,0.0,***,86,24,377,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-16-of-30--flash-min-vf (t=0.2),"pro-high-image N=5 N=5, 3-of-5",0.8902,0.6998,0.1904,0.915,0.673,0.8667,0.7287,412,471,0.0,0.0,***,81,29,377,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-16-of-30--flash-min-vf (t=0.2),"flash-min-image N=5 N=5, 4-of-5",0.8902,0.6639,0.2263,0.915,0.608,0.8667,0.731,412,523,0.0,0.0,***,74,32,381,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-16-of-30--flash-min-vf (t=0.2),"flash-min-text-t07 N=30 N=30, 29-of-30",0.8902,0.6611,0.2291,0.915,0.6019,0.8667,0.7333,412,530,0.0,0.0,***,73,29,385,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-16-of-30--flash-min-vf (t=0.2),"flash-min-text-t07 N=5 N=5, 5-of-5",0.8902,0.6397,0.2505,0.915,0.5329,0.8667,0.8,412,653,0.0,0.0,***,60,35,392,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-16-of-30--flash-min-vf (t=0.2),"flash-min-text-t07 N=10 N=10, 10-of-10",0.8902,0.6332,0.257,0.915,0.5625,0.8667,0.7241,412,560,0.0,0.0,***,74,27,386,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-16-of-30--flash-min-vf (t=0.2),"single-pass-t0 N=10 N=10, 10-of-10",0.8902,0.5521,0.3381,0.915,0.4098,0.8667,0.846,412,898,0.0,0.0,***,47,34,406,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-16-of-30--flash-min-vf (t=0.2),"single-pass-t0 N=5 N=5, 5-of-5",0.8902,0.544,0.3462,0.915,0.3964,0.8667,0.8667,412,951,0.0,0.0,***,46,36,405,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-16-of-30--flash-min-vf (t=0.2),"flash-min-text-t10 N=5 N=5, 5-of-5",0.8902,0.4712,0.419,0.915,0.5831,0.8667,0.3954,412,295,0.0,0.0,***,126,17,344,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-16-of-30--flash-min-vf (t=0.2),"flash-min-text-t10 N=30 N=30, 22-of-30",0.8902,0.467,0.4232,0.915,0.4987,0.8667,0.4391,412,383,0.0,0.0,***,119,21,347,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-16-of-30--flash-min-vf (t=0.2),"flash-min-text-t10 N=10 N=10, 9-of-10",0.8902,0.4615,0.4287,0.915,0.5455,0.8667,0.4,412,319,0.0,0.0,***,127,17,343,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-4-of-5--flash-min-vf (t=0.15),flash-high-text-4-of-5--flash-medium-vf (t=0.95),0.8641,0.8592,0.0049,0.9152,0.8777,0.8184,0.8414,389,417,0.4701,0.4915,ns,8,12,467,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-4-of-5--flash-min-vf (t=0.15),flash-high-text-9-of-10--flash-min-vf (t=0.2),0.8641,0.8564,0.0077,0.9152,0.9574,0.8184,0.7747,389,352,0.4656,0.4888,ns,20,10,457,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-4-of-5--flash-min-vf (t=0.15),pro-high-text-3-of-5--flash-min-vf (t=0.15),0.8641,0.8491,0.015,0.9152,0.9568,0.8184,0.7632,389,347,0.4002,0.4237,ns,46,31,410,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-4-of-5--flash-min-vf (t=0.15),"pro-high-text N=5 N=5, 3-of-5",0.8641,0.8404,0.0237,0.9152,0.9183,0.8184,0.7747,389,367,0.2148,0.2363,ns,53,41,393,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-4-of-5--flash-min-vf (t=0.15),text-baseline--flash-min-vf (t=0.15),0.8641,0.8142,0.0498,0.9152,0.7888,0.8184,0.8414,389,464,0.0075,0.0097,**,50,35,402,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-4-of-5--flash-min-vf (t=0.15),"flash-high-text N=30 N=30, 26-of-30",0.8641,0.8141,0.05,0.9152,0.8337,0.8184,0.7954,389,415,0.0001,0.0001,***,36,32,419,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-4-of-5--flash-min-vf (t=0.15),"flash-high-text N=10 N=10, 9-of-10",0.8641,0.7968,0.0673,0.9152,0.8005,0.8184,0.7931,389,431,0.0,0.0,***,36,31,420,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-4-of-5--flash-min-vf (t=0.15),"flash-high-text N=5 N=5, 5-of-5",0.8641,0.7788,0.0853,0.9152,0.7976,0.8184,0.7609,389,415,0.0,0.0,***,45,30,412,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-4-of-5--flash-min-vf (t=0.15),flash-high-image-3-of-5--flash-min-vf (t=0.15),0.8641,0.7778,0.0863,0.9152,0.8005,0.8184,0.7563,389,411,0.0,0.0,***,55,25,407,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-4-of-5--flash-min-vf (t=0.15),"flash-high-image N=5 N=5, 3-of-5",0.8641,0.7269,0.1372,0.9152,0.6759,0.8184,0.7862,389,506,0.0,0.0,***,66,38,383,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-4-of-5--flash-min-vf (t=0.15),image-baseline--flash-min-vf (t=0.2),0.8641,0.7167,0.1474,0.9152,0.6634,0.8184,0.7793,389,511,0.0,0.0,***,80,30,377,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-4-of-5--flash-min-vf (t=0.15),"pro-high-image N=5 N=5, 3-of-5",0.8641,0.6998,0.1643,0.9152,0.673,0.8184,0.7287,389,471,0.0,0.0,***,80,37,370,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-4-of-5--flash-min-vf (t=0.15),"flash-min-image N=5 N=5, 4-of-5",0.8641,0.6639,0.2002,0.9152,0.608,0.8184,0.731,389,523,0.0,0.0,***,65,38,384,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-4-of-5--flash-min-vf (t=0.15),"flash-min-text-t07 N=30 N=30, 29-of-30",0.8641,0.6611,0.2029,0.9152,0.6019,0.8184,0.7333,389,530,0.0,0.0,***,62,34,391,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-4-of-5--flash-min-vf (t=0.15),"flash-min-text-t07 N=5 N=5, 5-of-5",0.8641,0.6397,0.2244,0.9152,0.5329,0.8184,0.8,389,653,0.0,0.0,***,49,43,395,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-4-of-5--flash-min-vf (t=0.15),"flash-min-text-t07 N=10 N=10, 10-of-10",0.8641,0.6332,0.2309,0.9152,0.5625,0.8184,0.7241,389,560,0.0,0.0,***,61,35,391,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-4-of-5--flash-min-vf (t=0.15),"single-pass-t0 N=10 N=10, 10-of-10",0.8641,0.5521,0.3119,0.9152,0.4098,0.8184,0.846,389,898,0.0,0.0,***,41,43,403,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-4-of-5--flash-min-vf (t=0.15),"single-pass-t0 N=5 N=5, 5-of-5",0.8641,0.544,0.3201,0.9152,0.3964,0.8184,0.8667,389,951,0.0,0.0,***,40,47,400,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-4-of-5--flash-min-vf (t=0.15),"flash-min-text-t10 N=5 N=5, 5-of-5",0.8641,0.4712,0.3928,0.9152,0.5831,0.8184,0.3954,389,295,0.0,0.0,***,113,21,353,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-4-of-5--flash-min-vf (t=0.15),"flash-min-text-t10 N=30 N=30, 22-of-30",0.8641,0.467,0.3971,0.9152,0.4987,0.8184,0.4391,389,383,0.0,0.0,***,106,24,357,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-4-of-5--flash-min-vf (t=0.15),"flash-min-text-t10 N=10 N=10, 9-of-10",0.8641,0.4615,0.4025,0.9152,0.5455,0.8184,0.4,389,319,0.0,0.0,***,114,21,352,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-4-of-5--flash-medium-vf (t=0.95),flash-high-text-9-of-10--flash-min-vf (t=0.2),0.8592,0.8564,0.0027,0.8777,0.9574,0.8414,0.7747,417,352,0.8415,0.8516,ns,29,17,441,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-4-of-5--flash-medium-vf (t=0.95),pro-high-text-3-of-5--flash-min-vf (t=0.15),0.8592,0.8491,0.01,0.8777,0.9568,0.8414,0.7632,417,347,0.5913,0.6131,ns,48,32,407,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-4-of-5--flash-medium-vf (t=0.95),"pro-high-text N=5 N=5, 3-of-5",0.8592,0.8404,0.0188,0.8777,0.9183,0.8414,0.7747,417,367,0.3345,0.3601,ns,55,44,388,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-4-of-5--flash-medium-vf (t=0.95),text-baseline--flash-min-vf (t=0.15),0.8592,0.8142,0.0449,0.8777,0.7888,0.8414,0.8414,417,464,0.0161,0.0202,*,54,36,397,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-4-of-5--flash-medium-vf (t=0.95),"flash-high-text N=30 N=30, 26-of-30",0.8592,0.8141,0.045,0.8777,0.8337,0.8414,0.7954,417,415,0.0007,0.001,***,41,31,415,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-4-of-5--flash-medium-vf (t=0.95),"flash-high-text N=10 N=10, 9-of-10",0.8592,0.7968,0.0624,0.8777,0.8005,0.8414,0.7931,417,431,0.0,0.0,***,42,29,416,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-4-of-5--flash-medium-vf (t=0.95),"flash-high-text N=5 N=5, 5-of-5",0.8592,0.7788,0.0803,0.8777,0.7976,0.8414,0.7609,417,415,0.0,0.0,***,49,27,411,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-4-of-5--flash-medium-vf (t=0.95),flash-high-image-3-of-5--flash-min-vf (t=0.15),0.8592,0.7778,0.0814,0.8777,0.8005,0.8414,0.7563,417,411,0.0,0.0,***,61,27,399,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-4-of-5--flash-medium-vf (t=0.95),"flash-high-image N=5 N=5, 3-of-5",0.8592,0.7269,0.1323,0.8777,0.6759,0.8414,0.7862,417,506,0.0,0.0,***,69,37,381,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-4-of-5--flash-medium-vf (t=0.95),image-baseline--flash-min-vf (t=0.2),0.8592,0.7167,0.1425,0.8777,0.6634,0.8414,0.7793,417,511,0.0,0.0,***,84,31,372,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-4-of-5--flash-medium-vf (t=0.95),"pro-high-image N=5 N=5, 3-of-5",0.8592,0.6998,0.1594,0.8777,0.673,0.8414,0.7287,417,471,0.0,0.0,***,79,37,371,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-4-of-5--flash-medium-vf (t=0.95),"flash-min-image N=5 N=5, 4-of-5",0.8592,0.6639,0.1953,0.8777,0.608,0.8414,0.731,417,523,0.0,0.0,***,68,36,383,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-4-of-5--flash-medium-vf (t=0.95),"flash-min-text-t07 N=30 N=30, 29-of-30",0.8592,0.6611,0.198,0.8777,0.6019,0.8414,0.7333,417,530,0.0,0.0,***,65,32,390,487
