label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper
plus-hp-greedy-t4,20,0.5835,0.5217,0.6406,0.7913,0.7398,0.8413,0.4621,0.3971,0.527
plus-hp-greedy-t4,30,0.6415,0.5828,0.6958,0.8701,0.8278,0.9103,0.508,0.442,0.5739
plus-hp-greedy-t4,40,0.6502,0.5913,0.7043,0.8819,0.8403,0.9198,0.5149,0.4473,0.5811
plus-hp-greedy-t4,50,0.6531,0.5939,0.7069,0.8858,0.8452,0.9231,0.5172,0.4499,0.5832
