,precision,recall,f1
count,1.0,1.0,1.0
mean,0.5857142857142857,0.7735849056603774,0.6666666666666666
std,,,
min,0.5857142857142857,0.7735849056603774,0.6666666666666666
25%,0.5857142857142857,0.7735849056603774,0.6666666666666666
50%,0.5857142857142857,0.7735849056603774,0.6666666666666666
75%,0.5857142857142857,0.7735849056603774,0.6666666666666666
max,0.5857142857142857,0.7735849056603774,0.6666666666666666
