condition,run,f1,precision,recall,n_detections
config-default,1,0.6201,0.5379,0.732,132
config-default,10,0.6201,0.5379,0.732,132
config-default,2,0.5823,0.4929,0.7113,140
config-default,3,0.5823,0.4929,0.7113,140
config-default,4,0.6201,0.5379,0.732,132
config-default,5,0.6201,0.5379,0.732,132
config-default,6,0.5823,0.4929,0.7113,140
config-default,7,0.6201,0.5379,0.732,132
config-default,8,0.6201,0.5379,0.732,132
config-default,9,0.6201,0.5379,0.732,132
canonical-first,1,0.5776,0.4963,0.6907,135
canonical-first,10,0.5923,0.5074,0.7113,136
canonical-first,2,0.5776,0.4963,0.6907,135
canonical-first,3,0.5776,0.4963,0.6907,135
canonical-first,4,0.5776,0.4963,0.6907,135
canonical-first,5,0.5776,0.4963,0.6907,135
canonical-first,6,0.5776,0.4963,0.6907,135
canonical-first,7,0.5776,0.4963,0.6907,135
canonical-first,8,0.5776,0.4963,0.6907,135
canonical-first,9,0.5776,0.4963,0.6907,135
canonical-last,1,0.6087,0.5263,0.7216,133
canonical-last,10,0.6087,0.5263,0.7216,133
canonical-last,2,0.6087,0.5263,0.7216,133
canonical-last,3,0.6087,0.5263,0.7216,133
canonical-last,4,0.6087,0.5263,0.7216,133
canonical-last,5,0.6087,0.5263,0.7216,133
canonical-last,6,0.6087,0.5263,0.7216,133
canonical-last,7,0.6087,0.5263,0.7216,133
canonical-last,8,0.6087,0.5263,0.7216,133
canonical-last,9,0.6087,0.5263,0.7216,133
random,1,0.4741,0.4074,0.567,135
random,10,0.6,0.5188,0.7113,133
random,2,0.5217,0.4511,0.6186,133
random,3,0.5254,0.446,0.6392,139
random,4,0.4686,0.3944,0.5773,142
random,5,0.5085,0.4317,0.6186,139
random,6,0.5088,0.4427,0.5979,131
random,7,0.5502,0.4773,0.6495,132
random,8,0.5776,0.4963,0.6907,135
random,9,0.5508,0.4676,0.6701,139
