temperature,pool_size,threshold,f1,precision,recall,f1_ci_lo,f1_ci_hi,p_ci_lo,p_ci_hi,r_ci_lo,r_ci_hi,n_detections
T0.3,5,1,0.638,0.489,0.9175,0.4774,0.7353,0.3433,0.6349,0.7561,0.9009,182
T0.3,5,2,0.6905,0.5613,0.8969,0.5243,0.7746,0.4,0.7073,0.7317,0.8908,155
T0.3,5,3,0.7436,0.635,0.8969,0.5865,0.8055,0.479,0.7651,0.7317,0.8908,137
T0.3,5,4,0.7434,0.6512,0.866,0.5889,0.7974,0.4999,0.7663,0.7059,0.8644,129
T0.3,5,5,0.7196,0.6581,0.7938,0.5573,0.7735,0.5,0.7745,0.625,0.8118,117
T0.3,10,1,0.5953,0.4406,0.9175,0.4279,0.7093,0.2923,0.6,0.7561,0.9009,202
T0.3,10,2,0.6567,0.5146,0.9072,0.4894,0.7544,0.3551,0.6724,0.746,0.8929,171
T0.3,10,3,0.6822,0.5466,0.9072,0.5173,0.7727,0.3867,0.7,0.746,0.8929,161
T0.3,10,4,0.6988,0.5724,0.8969,0.5323,0.783,0.4104,0.7178,0.7317,0.8908,152
T0.3,10,5,0.7197,0.6056,0.8866,0.5542,0.794,0.4428,0.7392,0.7195,0.8796,142
T0.3,10,6,0.7414,0.637,0.8866,0.582,0.8028,0.4818,0.7635,0.7195,0.8796,135
T0.3,10,7,0.7368,0.6412,0.866,0.5797,0.7962,0.4888,0.7648,0.7059,0.8644,131
T0.3,10,8,0.7421,0.6613,0.8454,0.5914,0.7953,0.5097,0.7738,0.6896,0.8471,124
T0.3,10,9,0.7281,0.6583,0.8144,0.5767,0.7868,0.504,0.7731,0.6518,0.8291,120
T0.3,10,10,0.7048,0.6549,0.7629,0.5466,0.7638,0.4949,0.7705,0.5974,0.7848,113
T0.3,30,1,0.1832,0.1011,0.9794,0.1129,0.2631,0.0604,0.1535,0.8247,0.9546,940
T0.3,30,2,0.3581,0.2196,0.9691,0.2456,0.4636,0.1428,0.3111,0.8113,0.946,428
T0.3,30,3,0.4833,0.3219,0.9691,0.3436,0.5933,0.2163,0.4441,0.8113,0.946,292
T0.3,30,4,0.5418,0.376,0.9691,0.3932,0.6432,0.2552,0.5022,0.8113,0.946,250
T0.3,30,5,0.5868,0.4227,0.9588,0.4295,0.6816,0.2912,0.5522,0.7966,0.9375,220
T0.3,30,6,0.6154,0.4554,0.9485,0.4633,0.7009,0.3264,0.5842,0.7938,0.9277,202
T0.3,30,7,0.6548,0.5,0.9485,0.5106,0.7323,0.3693,0.6184,0.7938,0.9277,184
T0.3,30,8,0.6866,0.538,0.9485,0.5429,0.7551,0.4012,0.6536,0.7938,0.9277,171
T0.3,30,9,0.716,0.575,0.9485,0.5762,0.7758,0.4412,0.6882,0.7938,0.9277,160
T0.3,30,10,0.7244,0.586,0.9485,0.5846,0.786,0.4531,0.7007,0.7938,0.9277,157
T0.3,30,11,0.7419,0.6093,0.9485,0.601,0.8,0.4758,0.7244,0.7938,0.9277,151
