variant,optimal_threshold,n_accepted,precision,recall,f1,f1_ci_lower,f1_ci_upper
h11-384-pv-diagnostic/pro-text-flash-verifier,0.2,397,0.8111,0.7402,0.774,0.7256,0.8161
h11-384-pv-diagnostic/pro-text-pro-verifier,0.15,399,0.8195,0.7517,0.7842,0.7366,0.8255
