precision,recall,f1,n_detections,mcc,prob_t,min_votes
0.14203730272596843,0.9252336448598131,0.24626865671641787,2788,0.20970482292161582,0.0,1
0.26846100759144237,0.9088785046728972,0.4144912093766649,1449,0.25470059703549136,0.0,2
0.3784313725490196,0.9018691588785047,0.5331491712707183,1020,0.3105022685558228,0.0,3
0.4803548795944233,0.8855140186915887,0.6228430566967953,789,0.39939629508201363,0.0,4
0.6009933774834437,0.8481308411214953,0.7034883720930233,604,0.4645668855760163,0.0,5
0.18556701030927836,0.9252336448598131,0.3091334894613583,2134,0.20033669356567405,0.01,1
0.32552301255230126,0.9088785046728972,0.4793592113370302,1195,0.2795065087251177,0.01,2
0.4416475972540046,0.9018691588785047,0.5929339477726575,874,0.3317963636221913,0.01,3
0.5445402298850575,0.8855140186915887,0.6743772241992882,696,0.4331731491897918,0.01,4
0.6624087591240876,0.8481308411214953,0.7438524590163935,548,0.4967180845769097,0.01,5
0.25764476252439816,0.9252336448598131,0.40305343511450376,1537,0.4042512386757323,0.02,1
0.40520833333333334,0.9088785046728972,0.5605187319884727,960,0.4805770399179465,0.02,2
0.530949105914718,0.9018691588785047,0.6683982683982684,727,0.5470016901460572,0.02,3
0.6254125412541254,0.8855140186915887,0.7330754352030947,606,0.5906551754354579,0.02,4
0.7333333333333333,0.8481308411214953,0.7865655471289273,495,0.6311432231434103,0.02,5
0.2625994694960212,0.9252336448598131,0.40909090909090906,1508,0.41747794837403357,0.05,1
0.41120507399577166,0.9088785046728972,0.5662299854439592,946,0.4936521971517993,0.05,2
0.5353675450762829,0.9018691588785047,0.6718885987815492,721,0.5571667926999205,0.05,3
0.6306156405990017,0.8855140186915887,0.7366375121477162,601,0.6011907215419127,0.05,4
0.7393075356415478,0.8481308411214953,0.7899891186071817,491,0.6423397326338576,0.05,5
0.3656509695290859,0.9252336448598131,0.5241561879549966,1083,0.709450450250205,0.08,1
0.5314207650273224,0.9088785046728972,0.6706896551724139,732,0.736702737874492,0.08,2
0.658703071672355,0.9018691588785047,0.7613412228796844,586,0.7602065169722516,0.08,3
0.7534791252485089,0.8855140186915887,0.8141783029001074,503,0.7728326843489771,0.08,4
0.8422273781902552,0.8481308411214953,0.8451688009313155,431,0.7778569890568501,0.08,5
0.3659889094269871,0.9252336448598131,0.5245033112582782,1082,0.7133047384977541,0.1,1
0.5321477428180574,0.9088785046728972,0.6712683347713546,731,0.7406497186714233,0.1,2
0.6598290598290598,0.9018691588785047,0.7620927936821322,585,0.7643573398895854,0.1,3
0.7534791252485089,0.8855140186915887,0.8141783029001074,503,0.7728326843489771,0.1,4
0.8422273781902552,0.8481308411214953,0.8451688009313155,431,0.7778569890568501,0.1,5
0.37218045112781956,0.9252336448598131,0.5308310991957105,1064,0.7245259894737516,0.15,1
0.541029207232267,0.9088785046728972,0.6782911944202267,719,0.7483265791192861,0.15,2
0.6678200692041523,0.9018691588785047,0.7673956262425448,578,0.7769116131752761,0.15,3
0.7595190380761523,0.8855140186915887,0.8176914778856527,499,0.7855862371751677,0.15,4
0.8461538461538461,0.8481308411214953,0.8471411901983664,429,0.7865739773437452,0.15,5
0.3811357074109721,0.9252336448598131,0.5398773006134969,1039,0.7479595169083896,0.2,1
0.5509915014164306,0.9088785046728972,0.6860670194003528,706,0.76434823014539,0.2,2
0.6795774647887324,0.9018691588785047,0.7751004016064257,568,0.7985064045361615,0.2,3
0.768762677484787,0.8855140186915887,0.8230184581976113,493,0.7945199763741144,0.2,4
0.852112676056338,0.8481308411214953,0.8501170960187353,426,0.7870163980837847,0.2,5
0.3815028901734104,0.9252336448598131,0.5402455661664394,1038,0.7479595169083896,0.25,1
0.5509915014164306,0.9088785046728972,0.6860670194003528,706,0.76434823014539,0.25,2
0.6795774647887324,0.9018691588785047,0.7751004016064257,568,0.7985064045361615,0.25,3
0.768762677484787,0.8855140186915887,0.8230184581976113,493,0.7945199763741144,0.25,4
0.852112676056338,0.8481308411214953,0.8501170960187353,426,0.7870163980837847,0.25,5
0.38223938223938225,0.9252336448598131,0.5409836065573771,1036,0.7479595169083896,0.3,1
0.5517730496453901,0.9088785046728972,0.6866725507502207,705,0.76434823014539,0.3,2
0.6807760141093474,0.9018691588785047,0.7758793969849247,567,0.7985064045361615,0.3,3
0.7703252032520326,0.8855140186915887,0.8239130434782608,492,0.7945199763741144,0.3,4
0.8541176470588235,0.8481308411214953,0.8511137162954279,425,0.7914389620342634,0.3,5
0.3826086956521739,0.9252336448598131,0.5413533834586467,1035,0.7479595169083896,0.4,1
0.5517730496453901,0.9088785046728972,0.6866725507502207,705,0.76434823014539,0.4,2
0.6807760141093474,0.9018691588785047,0.7758793969849247,567,0.7985064045361615,0.4,3
0.7703252032520326,0.8855140186915887,0.8239130434782608,492,0.7945199763741144,0.4,4
0.8541176470588235,0.8481308411214953,0.8511137162954279,425,0.7914389620342634,0.4,5
0.3829787234042553,0.9252336448598131,0.5417236662106704,1034,0.7479595169083896,0.45,1
0.5525568181818182,0.9088785046728972,0.6872791519434629,704,0.76434823014539,0.45,2
0.6807760141093474,0.9018691588785047,0.7758793969849247,567,0.7985064045361615,0.45,3
0.7703252032520326,0.8855140186915887,0.8239130434782608,492,0.7945199763741144,0.45,4
0.8541176470588235,0.8481308411214953,0.8511137162954279,425,0.7914389620342634,0.45,5
0.38334946757018395,0.9252336448598131,0.5420944558521561,1033,0.7479595169083896,0.65,1
0.5525568181818182,0.9088785046728972,0.6872791519434629,704,0.76434823014539,0.65,2
0.6807760141093474,0.9018691588785047,0.7758793969849247,567,0.7985064045361615,0.65,3
0.7703252032520326,0.8855140186915887,0.8239130434782608,492,0.7945199763741144,0.65,4
0.8541176470588235,0.8481308411214953,0.8511137162954279,425,0.7914389620342634,0.65,5
0.38372093023255816,0.9252336448598131,0.5424657534246575,1032,0.7520328921291811,0.7,1
0.5533428165007113,0.9088785046728972,0.6878868258178603,703,0.7684858928950865,0.7,2
0.6807760141093474,0.9018691588785047,0.7758793969849247,567,0.7985064045361615,0.7,3
0.7703252032520326,0.8855140186915887,0.8239130434782608,492,0.7945199763741144,0.7,4
0.8541176470588235,0.8481308411214953,0.8511137162954279,425,0.7914389620342634,0.7,5
0.38409311348205627,0.9252336448598131,0.542837559972584,1031,0.7520328921291811,0.75,1
0.5541310541310541,0.9088785046728972,0.6884955752212389,702,0.7726402446875701,0.75,2
0.6819787985865724,0.9018691588785047,0.7766599597585513,566,0.8028514700327466,0.75,3
0.7718940936863544,0.8855140186915887,0.8248095756256801,491,0.7988793736306966,0.75,4
0.8541176470588235,0.8481308411214953,0.8511137162954279,425,0.7914389620342634,0.75,5
0.3844660194174757,0.9252336448598131,0.5432098765432098,1030,0.7520328921291811,0.85,1
0.5541310541310541,0.9088785046728972,0.6884955752212389,702,0.7726402446875701,0.85,2
0.6819787985865724,0.9018691588785047,0.7766599597585513,566,0.8028514700327466,0.85,3
0.7718940936863544,0.8855140186915887,0.8248095756256801,491,0.7988793736306966,0.85,4
0.8541176470588235,0.8481308411214953,0.8511137162954279,425,0.7914389620342634,0.85,5
0.38747553816046965,0.9252336448598131,0.546206896551724,1022,0.7560722377028446,0.88,1
0.5589080459770115,0.9088785046728972,0.6921708185053381,696,0.7811311699793064,0.88,2
0.6843971631205674,0.9018691588785047,0.778225806451613,564,0.7988793736306966,0.88,3
0.7750511247443763,0.8855140186915887,0.826608505997819,489,0.7949162728916003,0.88,4
0.8561320754716981,0.8481308411214953,0.852112676056338,424,0.7875163041566897,0.88,5
0.38976377952755903,0.9252336448598131,0.5484764542936288,1016,0.7560722377028446,0.9,1
0.5613275613275613,0.9088785046728972,0.6940231935771632,693,0.7853685670121586,0.9,2
0.6868327402135231,0.9018691588785047,0.7797979797979798,562,0.7988793736306966,0.9,3
0.7766393442622951,0.8855140186915887,0.8275109170305677,488,0.7949162728916003,0.9,4
0.8581560283687943,0.8481308411214953,0.8531139835487662,423,0.7875163041566897,0.9,5
0.3901477832512315,0.9252336448598131,0.5488565488565488,1015,0.7519271410494167,0.92,1
0.5621387283236994,0.9088785046728972,0.6946428571428571,692,0.7813169101406464,0.92,2
0.6880570409982175,0.9018691588785047,0.7805864509605662,561,0.7949162728916003,0.92,3
0.7782340862422998,0.8855140186915887,0.8284153005464481,487,0.7909620025445385,0.92,4
0.8601895734597157,0.8481308411214953,0.8541176470588235,422,0.7836019821237536,0.92,5
0.3899308983218164,0.9228971962616822,0.5482303955586398,1013,0.7560744350916008,0.95,1
0.5623188405797102,0.9065420560747663,0.6940966010733453,690,0.7855862371751677,0.95,2
0.6887298747763864,0.8995327102803738,0.7801418439716312,559,0.7993099317047403,0.95,3
0.779835390946502,0.8855140186915887,0.8293216630196937,486,0.7953701171802908,0.95,4
0.8622327790973872,0.8481308411214953,0.8551236749116606,421,0.7880742965858735,0.95,5
0.41202185792349727,0.8808411214953271,0.5614296351451973,915,0.8322056510501451,0.98,1
0.5857142857142857,0.8621495327102804,0.6975425330812853,630,0.8322056510501451,0.98,2
0.7093023255813954,0.8551401869158879,0.7754237288135593,516,0.8340185635684985,0.98,3
0.804932735426009,0.8387850467289719,0.8215102974828374,446,0.8265552522392933,0.98,4
0.8937823834196891,0.8060747663551402,0.8476658476658477,386,0.8154204795091253,0.98,5
0.45263157894736844,0.3014018691588785,0.361851332398317,285,0.610221081364882,0.99,1
0.615,0.28738317757009346,0.3917197452229299,200,0.5828879188705343,0.99,2
0.7202380952380952,0.2827102803738318,0.4060402684563758,168,0.5760386970290573,0.99,3
0.8137931034482758,0.2757009345794392,0.4118673647469459,145,0.5554297115766895,0.99,4
