cell,N,prob_t,min_votes,n_detections,tp,fp,fn,precision,recall,corrected_f1
g384_ov192_55map,1,0.0,1,24923,4679,20244,481,0.18773823375998075,0.9067829457364341,0.31107269886646943
g384_ov192_55map,1,0.01,1,19555,4673,14882,487,0.23896701610841217,0.9056201550387597,0.3781509204936274
g384_ov192_55map,1,0.02,1,13125,4661,8464,499,0.3551238095238095,0.9032945736434108,0.5098167897183483
g384_ov192_55map,1,0.05,1,12622,4659,7963,501,0.3691174140389796,0.9029069767441861,0.524013046901361
g384_ov192_55map,1,0.08,1,7123,4636,2487,524,0.6508493612242033,0.8984496124031007,0.7548644467963853
g384_ov192_55map,1,0.1,1,7122,4636,2486,524,0.6509407469811851,0.8984496124031007,0.7549259078326006
g384_ov192_55map,1,0.15,1,6923,4633,2290,527,0.6692185468727431,0.8978682170542636,0.7668625341388727
g384_ov192_55map,1,0.2,1,6709,4632,2077,528,0.6904158592934864,0.8976744186046511,0.7805206841351419
g384_ov192_55map,1,0.25,1,6682,4631,2051,529,0.693055971266088,0.8974806201550387,0.7821313967235264
g384_ov192_55map,1,0.3,1,6650,4631,2019,529,0.696390977443609,0.8974806201550387,0.7842506350550381
g384_ov192_55map,1,0.35,1,6649,4631,2018,529,0.696495713641149,0.8974806201550387,0.7843170463206031
g384_ov192_55map,1,0.4,1,6627,4630,1997,530,0.6986570092047684,0.8972868217054264,0.7856112666496988
g384_ov192_55map,1,0.45,1,6607,4629,1978,531,0.7006205539579234,0.897093023255814,0.7867765785671794
g384_ov192_55map,1,0.55,1,6591,4628,1963,532,0.7021696252465484,0.8968992248062015,0.787677644455791
g384_ov192_55map,1,0.65,1,6588,4628,1960,532,0.7024893746205222,0.8968992248062015,0.787878787878788
g384_ov192_55map,1,0.7,1,6583,4628,1955,532,0.7030229378702719,0.8968992248062015,0.7882142553010304
g384_ov192_55map,1,0.75,1,6579,4627,1952,533,0.7032983736130111,0.8967054263565891,0.7883124627310674
g384_ov192_55map,1,0.8,1,6561,4627,1934,533,0.7052278616064624,0.8967054263565891,0.7895230782356455
g384_ov192_55map,1,0.85,1,6558,4627,1931,533,0.705550472705093,0.8967054263565891,0.7897252090800478
g384_ov192_55map,1,0.88,1,6415,4620,1795,540,0.7201870615744349,0.8953488372093024,0.7982721382289418
g384_ov192_55map,1,0.9,1,6354,4619,1735,541,0.7269436575385584,0.8951550387596899,0.8023276011811709
