buffer_m,n_matched,accuracy,macro_f1,weighted_f1,level1_accuracy,level2_accuracy,kappa_unweighted,kappa_linear_hier,mcc_multi
20,366,0.9044,0.7754,0.8875,1.0,0.9038,0.7314,0.7394,0.7473
30,375,0.904,0.7718,0.887,1.0,0.9035,0.728,0.7359,0.7441
50,377,0.9045,0.7719,0.8876,1.0,0.904,0.7282,0.7361,0.7442
